"","player_game_number","season","season_game","game_date","age","team","game_location","opponent","game_result","game_started","pass_completions","pass_attempts","completion_percentage","passing_yards","passing_touchdowns","interceptions_thrown","qb_rating","yards_per_pass","adjusted_yards_per_pass","rushing_attempts","rushing_yards","rushing_yards_per_attempt","rushing_touchdowns","receiptions","receiving_yards","yards_per_receiption","receiving_touchdowns","receiving_rushing_touchdowns","receiving_rushing_points","player","started","outcome","score","team_score","opponent_score"
"17",15,1984,4,"1984-09-23","23-008","MIA","","IND","W 44-7","*",14,29,0.326,257,2,0,102.2,8.86,10.24,1,-1,-1,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","44-7",44,7
"18",16,1984,5,"1984-09-30","23-015","MIA","@","STL","W 36-28","*",24,36,0.4,429,3,0,135.1,11.92,13.58,1,-2,-2,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","36-28",36,28
"19",17,1984,6,"1984-10-07","23-022","MIA","@","PIT","W 31-7","*",16,24,0.4,226,2,1,107.3,9.42,9.21,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","31-7",31,7
"20",18,1984,7,"1984-10-14","23-029","MIA","","HOU","W 28-10","*",25,32,0.439,321,3,0,139.7,10.03,11.91,1,4,4,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","28-10",28,10
"21",19,1984,8,"1984-10-21","23-036","MIA","@","NWE","W 44-24","*",24,39,0.381,316,4,1,110.6,8.1,9,1,9,9,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","44-24",44,24
"22",20,1984,9,"1984-10-28","23-043","MIA","","BUF","W 38-7","*",19,28,0.404,282,3,3,96.7,10.07,7.39,1,7,7,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","38-7",38,7
"23",21,1984,10,"1984-11-04","23-050","MIA","@","NYJ","W 31-17","*",23,42,0.354,422,2,2,85.6,10.05,8.86,4,4,1,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","31-17",31,17
"24",22,1984,11,"1984-11-11","23-057","MIA","","PHI","W 24-23","*",20,34,0.37,246,1,1,78.8,7.24,6.5,2,0,0,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","24-23",24,23
"25",23,1984,12,"1984-11-18","23-064","MIA","@","SDG","L 28-34","*",28,41,0.406,338,2,1,99.4,8.24,8.12,0,0,NA,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"L","28-34",28,34
"26",24,1984,13,"1984-11-26","23-072","MIA","","NYJ","W 28-17","*",19,31,0.38,192,4,0,118.5,6.19,8.77,2,-2,-1,0,0,0,NA,0,0,0,"Dan Marino",TRUE,"W","28-17",28,17
