Year,unitid,Institution_Name,Major,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.AI,T.AI.M,T.AI.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.C,T.C.M,T.C.F,T.AS,T.AS.M,T.AS.W,T.PI,T.PI.M,T.PI.W,T.MIX,T.MIX.M,T.MIX.W,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2009-2010,131496,Georgetown University,First major,Liberal Arts and Sciences- General Studies and Humanities,'24',Bachelor's degree,21,11,10,0,0,0,1,0,1,1,1,0,1,1,0,15,7,8,1,0,1,0,0,0,1,1,0,2,1,1,0,0,0
2009-2010,131496,Georgetown University,First major,Philosophy and Religious Studies,'38',Bachelor's degree,26,18,8,0,0,0,1,0,1,2,2,0,2,1,1,20,14,6,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
2009-2010,131496,Georgetown University,First major,Psychology,'42',Bachelor's degree,69,11,58,0,0,0,3,1,2,8,4,4,9,1,8,41,5,36,3,1,2,0,0,0,4,0,4,1,0,1,3,0,3
2009-2010,131496,Georgetown University,First major,Visual and Performing Arts,'50',Bachelor's degree,36,6,30,0,0,0,2,0,2,2,1,1,2,0,2,29,5,24,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0
2009-2010,131496,Georgetown University,First major,Area- Ethnic- Cultural- Gender- and Group Studies,'05',Bachelor's degree,28,7,21,0,0,0,2,0,2,2,0,2,0,0,0,21,6,15,2,0,2,0,0,0,0,0,0,3,1,2,0,0,0
2009-2010,131496,Georgetown University,First major,Business- Management- Marketing- and Related Support Services,'52',Bachelor's degree,357,218,139,0,0,0,30,11,19,18,10,8,21,14,7,249,156,93,30,11,19,0,0,0,5,4,1,9,6,3,25,17,8
2009-2010,131496,Georgetown University,First major,Computer and Information Sciences and Support Services,'11',Bachelor's degree,12,11,1,0,0,0,2,2,0,0,0,0,1,1,0,5,4,1,2,2,0,0,0,0,1,1,0,2,2,0,1,1,0
2009-2010,131496,Georgetown University,First major,History,'54',Bachelor's degree,43,25,18,0,0,0,1,0,1,3,0,3,2,1,1,33,22,11,0,0,0,1,0,1,1,1,0,3,1,2,0,0,0
2009-2010,131496,Georgetown University,First major,Multi/Interdisciplinary Studies,'30',Bachelor's degree,68,20,48,0,0,0,6,2,4,5,1,4,0,0,0,50,14,36,6,2,4,0,0,0,3,2,1,0,0,0,4,1,3
2009-2010,155399,Kansas State University,First major,Business- Management- Marketing- and Related Support Services,'52',Bachelor's degree,578,322,256,3,2,1,7,2,5,9,8,1,12,7,5,522,286,236,,,,,,,,,,14,10,4,11,7,4
2009-2010,155399,Kansas State University,First major,Engineering Technologies and Engineering-related Fields,'15',Bachelor's degree,127,112,15,0,0,0,1,1,0,0,0,0,4,2,2,116,106,10,,,,,,,,,,1,1,0,5,2,3
