Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.NON,T.NON.M,T.NON.F
1988-1999,155399,Kansas State University,Communications,'09.0000',Bachelor's degree,145,57,88,136,50,86,7,6,1,0,0,0,0,0,0,0,0,0,2,1,1
1988-1999,155399,Kansas State University,Computer and Information Sciences,'11.0000',Bachelor's degree,35,25,10,30,21,9,1,1,,1,1,,1,1,,0,0,0,2,1,1
1988-1999,155399,Kansas State University,Conservation and Renewable Natural Resources,'03.0000',Bachelor's degree,10,9,1,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,155399,Kansas State University,Education,'13.0000',Bachelor's degree,274,72,202,266,69,197,3,,3,2,1,1,0,,,0,,,3,2,1
1988-1999,155399,Kansas State University,Engineering,'14.0000',Bachelor's degree,390,342,48,353,308,45,4,3,1,6,5,1,6,5,1,0,0,0,21,21,
1988-1999,155399,Kansas State University,Engineering-Related Technologies,'15.0000',Bachelor's degree,60,56,4,59,55,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
1988-1999,155399,Kansas State University,English Language and Literature/Letters,'23.0000',Bachelor's degree,32,9,23,31,9,22,1,,1,0,0,0,0,0,0,0,0,0,0,,
1988-1999,155399,Kansas State University,Foreign Languages and Literatures,'16.0000',Bachelor's degree,28,3,25,23,2,21,0,0,0,2,1,1,0,0,0,0,0,0,3,,3
1988-1999,155399,Kansas State University,Health Sciences,'18.0000',Bachelor's degree,15,3,12,14,2,12,1,1,,0,0,0,0,0,0,0,0,0,0,,
1988-1999,155399,Kansas State University,Home Economics,'19.0000',Bachelor's degree,134,9,125,127,8,119,3,,3,2,1,1,0,0,0,0,0,0,2,,2
1988-1999,155399,Kansas State University,Mathematics,'27.0000',Bachelor's degree,34,15,19,32,15,17,0,0,0,0,0,0,1,,1,0,0,0,1,,1
1988-1999,155399,Kansas State University,Multi/Interdisciplinary Studies,'30.0000',Bachelor's degree,41,22,19,39,20,19,0,0,0,2,2,,0,0,0,0,0,0,0,0,0
1988-1999,155399,Kansas State University,Parks- Recreation- Leisure and Fitness,'31.0000',Bachelor's degree,13,4,9,13,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,155399,Kansas State University,Philosophy and Religion,'38.0000',Bachelor's degree,1,,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,155399,Kansas State University,Physical Sciences,'40.0000',Bachelor's degree,41,29,12,39,27,12,0,0,0,2,2,,0,,,0,0,0,0,,
1988-1999,155399,Kansas State University,Psychology,'42.0000',Bachelor's degree,58,18,40,54,18,36,1,,1,1,,1,1,,1,0,0,0,1,,1
1988-1999,155399,Kansas State University,Public Administration and Services,'44.0000',Bachelor's degree,39,3,36,37,3,34,2,,2,0,0,0,0,0,0,0,0,0,0,,
1988-1999,155399,Kansas State University,Social Sciences and History,'45.0000',Bachelor's degree,188,108,80,171,99,72,9,5,4,4,2,2,1,1,,0,0,0,3,1,2
1988-1999,155399,Kansas State University,Visual and Performing Arts,'50.0000',Bachelor's degree,45,24,21,43,22,21,0,0,0,0,0,0,1,1,,1,1,,0,,
1988-1999,155399,Kansas State University,Vocational Home Economics,'20.0000',Bachelor's degree,22,5,17,21,5,16,1,,1,0,0,0,0,0,0,0,0,0,0,0,0
1988-1999,159391,Louisiana State University and Agricultural & Mechanical College,Agricultural Business and Production,'01.0000',Bachelor's degree,38,32,6,33,27,6,2,2,0,0,0,0,0,0,0,0,0,0,3,3,0
1988-1999,159391,Louisiana State University and Agricultural & Mechanical College,Agricultural Sciences,'02.0000',Bachelor's degree,19,13,6,14,10,4,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2
1988-1999,159391,Louisiana State University and Agricultural & Mechanical College,Architecture and Related Programs,'04.0000',Bachelor's degree,123,70,53,99,54,45,3,2,1,1,0,1,3,1,2,0,0,0,17,13,4
1988-1999,159391,Louisiana State University and Agricultural & Mechanical College,Biological Sciences/Life Sciences,'26.0000',Bachelor's degree,100,57,43,85,53,32,6,1,5,3,1,2,2,1,1,0,0,0,4,1,3
