Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Major,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2000-2001,134097,Florida State University,Engineering,'14',Bachelor's degree,First major,134,107,27,87,68,19,24,20,4,7,7,0,11,9,2,1,1,0,0,0,0,4,2,2
2000-2001,134097,Florida State University,English Language and Literature/Letters,'23',Bachelor's degree,First major,258,79,179,210,72,138,30,6,24,16,1,15,2,0,2,0,0,0,0,0,0,0,0,0
2000-2001,134097,Florida State University,Foreign Languages and Literatures,'16',Bachelor's degree,First major,57,26,31,43,22,21,4,0,4,8,4,4,1,0,1,0,0,0,0,0,0,1,0,1
2000-2001,134097,Florida State University,Health Professions and Related Sciences,'51',Bachelor's degree,First major,263,21,242,214,18,196,25,1,24,15,1,14,6,0,6,3,1,2,0,0,0,0,0,0
2000-2001,134097,Florida State University,Mathematics,'27',Bachelor's degree,First major,11,5,6,8,3,5,0,0,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0
2000-2001,134097,Florida State University,Communications,'09',Bachelor's degree,First major,398,118,280,327,101,226,20,6,14,37,9,28,9,1,8,0,0,0,0,0,0,5,1,4
2000-2001,134097,Florida State University,Computer and Information Sciences,'11',Bachelor's degree,First major,189,128,61,137,95,42,28,18,10,11,7,4,7,4,3,1,0,1,0,0,0,5,4,1
2000-2001,134097,Florida State University,Education,'13',Bachelor's degree,First major,432,116,316,364,93,271,36,10,26,22,11,11,5,2,3,3,0,3,0,0,0,2,0,2
2000-2001,134097,Florida State University,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,First major,40,12,28,38,11,27,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,134097,Florida State University,Philosophy and Religion,'38',Bachelor's degree,First major,31,19,12,25,16,9,1,0,1,1,1,0,4,2,2,0,0,0,0,0,0,0,0,0
2000-2001,134097,Florida State University,Psychology,'42',Bachelor's degree,First major,270,59,211,200,44,156,30,5,25,27,5,22,11,4,7,1,1,0,0,0,0,1,0,1
2000-2001,134097,Florida State University,Public Administration and Services,'44',Bachelor's degree,First major,98,7,91,65,4,61,22,1,21,8,1,7,1,1,0,2,0,2,0,0,0,0,0,0
2000-2001,134097,Florida State University,Area- Ethnic and Cultural Studies,'05',Bachelor's degree,First major,17,6,11,10,3,7,1,0,1,1,1,0,3,1,2,0,0,0,0,0,0,2,1,1
2000-2001,134097,Florida State University,Biological Science/Life Sciences,'26',Bachelor's degree,First major,132,48,84,104,38,66,11,2,9,8,6,2,7,2,5,0,0,0,0,0,0,2,0,2
2000-2001,134097,Florida State University,Business Management and Administrative Services,'52',Bachelor's degree,First major,1288,734,554,1011,600,411,126,50,76,81,40,41,32,20,12,6,5,1,0,0,0,32,19,13
2000-2001,134097,Florida State University,Home Economics- General,'19',Bachelor's degree,First major,360,61,299,256,42,214,60,9,51,29,5,24,10,4,6,2,1,1,0,0,0,3,0,3
2000-2001,134097,Florida State University,Liberal Arts and Studies- General Sciences and Humanities,'24',Bachelor's degree,First major,25,8,17,20,6,14,1,0,1,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
2000-2001,134097,Florida State University,Physical Sciences,'40',Bachelor's degree,First major,65,45,20,49,33,16,4,2,2,7,6,1,5,4,1,0,0,0,0,0,0,0,0,0
2000-2001,134097,Florida State University,Social Sciences and History,'45',Bachelor's degree,First major,694,404,290,550,328,222,56,24,32,54,35,19,15,6,9,5,3,2,0,0,0,14,8,6
2000-2001,134097,Florida State University,Visual and Performing Arts,'50',Bachelor's degree,First major,349,126,223,277,92,185,27,11,16,29,16,13,9,3,6,0,0,0,0,0,0,7,4,3
2000-2001,131496,Georgetown University,Biological Science/Life Sciences,'26',Bachelor's degree,First major,69,35,34,52,23,29,2,1,1,1,1,0,7,4,3,0,0,0,0,0,0,7,6,1
2000-2001,131496,Georgetown University,Business Management and Administrative Services,'52',Bachelor's degree,First major,337,198,139,217,134,83,28,15,13,14,6,8,26,13,13,3,1,2,2,1,1,47,28,19
2000-2001,131496,Georgetown University,Foreign Languages and Literatures,'16',Bachelor's degree,First major,134,28,106,107,22,85,2,1,1,10,1,9,4,2,2,0,0,0,3,1,2,8,1,7
2000-2001,131496,Georgetown University,Mathematics,'27',Bachelor's degree,First major,9,6,3,7,4,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
2000-2001,131496,Georgetown University,Social Sciences and History,'45',Bachelor's degree,First major,572,292,280,369,195,174,18,5,13,46,25,21,43,18,25,1,1,0,30,16,14,65,32,33
2000-2001,131496,Georgetown University,Computer and Information Sciences,'11',Bachelor's degree,First major,13,7,6,7,4,3,2,0,2,1,1,0,2,1,1,0,0,0,0,0,0,1,1,0
