"","Sport","Facet_Type","Facet_Value","Fangraph_URL","Date","Variable","Value","NA."
"91","Football","Entity","Missouri University Footb...","http://www.sportsfangraph.com/team/missouri-university-football",2012-12-06,"Rank",91,NA
"92","Football","Entity","Edmonton Eskimos","http://www.sportsfangraph.com/team/edmonton-eskimos",2012-12-06,"Rank",92,NA
"93","Football","Entity","University of North Carol...","http://www.sportsfangraph.com/team/university-of-north-carolina-football",2012-12-06,"Rank",93,NA
"94","Football","Entity","Oregon State University F...","http://www.sportsfangraph.com/team/oregon-state-university-football",2012-12-06,"Rank",94,NA
"95","Football","Entity","Omaha Nighthawks","http://www.sportsfangraph.com/team/omaha-nighthawks",2012-12-06,"Rank",95,NA
"96","Football","Entity","Philadelphia Soul","http://www.sportsfangraph.com/team/philadelphia-soul",2012-12-06,"Rank",96,NA
"97","Football","Entity","Arena Football League","http://www.sportsfangraph.com/team/arena-football-league",2012-12-06,"Rank",97,NA
"98","Football","Entity","North Carolina State Univ...","http://www.sportsfangraph.com/team/north-carolina-state-university-football",2012-12-06,"Rank",98,NA
"99","Football","Entity","University of Louisville ...","http://www.sportsfangraph.com/team/university-of-louisville-football",2012-12-06,"Rank",99,NA
"100","Football","Entity","University of Cincinnati ...","http://www.sportsfangraph.com/team/university-of-cincinnati-football",2012-12-06,"Rank",100,NA
"101","Football","Entity","Purdue University Footbal...","http://www.sportsfangraph.com/team/purdue-university-football",2012-12-06,"Rank",101,NA
"102","Football","Entity","Baylor University Footbal...","http://www.sportsfangraph.com/team/baylor-university-football",2012-12-06,"Rank",102,NA
"103","Football","Entity","Jacksonville Sharks","http://www.sportsfangraph.com/team/jacksonville-sharks",2012-12-06,"Rank",103,NA
"104","Football","Entity","University of Minnesota F...","http://www.sportsfangraph.com/team/university-of-minnesota-football",2012-12-06,"Rank",104,NA
"105","Football","Entity","Oklahoma State University...","http://www.sportsfangraph.com/team/oklahoma-state-university-football",2012-12-06,"Rank",105,NA
"106","Football","Entity","Kansas City Command","http://www.sportsfangraph.com/team/kansas-city-command",2012-12-06,"Rank",106,NA
"107","Football","Entity","Utah Blaze","http://www.sportsfangraph.com/team/utah-blaze",2012-12-06,"Rank",107,NA
