Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F
1983-1984,204796,Ohio State University-Main Campus,Bachelor's degrees,Agricultural Sciences,2',296,166,130
1983-1984,204796,Ohio State University-Main Campus,Bachelor's degrees,Life Sciences,26',270,159,111
1983-1984,204796,Ohio State University-Main Campus,Bachelor's degrees,Architecture and Environmental Design,4',131,107,24
1983-1984,204796,Ohio State University-Main Campus,Bachelor's degrees,Psychology,42',172,64,108
1983-1984,204796,Ohio State University-Main Campus,Bachelor's degrees,Social Sciences,45',396,222,174
1983-1984,204796,Ohio State University-Main Campus,Bachelor's degrees,Area and Ethnic Studies,5',3,3,0
1983-1984,204796,Ohio State University-Main Campus,Bachelor's degrees,Business (Administrative Support),7',203,127,76
1983-1984,207388,Oklahoma State University-Main Campus,Bachelor's degrees,Education,13',317,114,203
1983-1984,207388,Oklahoma State University-Main Campus,Bachelor's degrees,Home Economics,19',145,7,138
1983-1984,207388,Oklahoma State University-Main Campus,Bachelor's degrees,Foreign Languages,16',14,3,11
1983-1984,207388,Oklahoma State University-Main Campus,Bachelor's degrees,Health Sciences,18',28,6,22
1983-1984,207388,Oklahoma State University-Main Campus,Bachelor's degrees,Liberal/General Studies,24',8,5,3
1983-1984,207388,Oklahoma State University-Main Campus,Bachelor's degrees,Life Sciences,26',127,69,58
1983-1984,207388,Oklahoma State University-Main Campus,Bachelor's degrees,Military Services,28',2,2,0
1983-1984,207388,Oklahoma State University-Main Campus,Bachelor's degrees,Renewable Natural Resources,3',19,13,6
1983-1984,207388,Oklahoma State University-Main Campus,Bachelor's degrees,Philosophy and Religion,38',2,2,0
1983-1984,207388,Oklahoma State University-Main Campus,Bachelor's degrees,Psychology,42',73,26,47
1983-1984,207388,Oklahoma State University-Main Campus,Bachelor's degrees,Business (Administrative Support),7',31,0,31
1983-1984,207388,Oklahoma State University-Main Campus,Bachelor's degrees,Agricultural Business and Production,1',113,85,28
1983-1984,207388,Oklahoma State University-Main Campus,Bachelor's degrees,Computer and Information Sciences,11',45,34,11
1983-1984,207388,Oklahoma State University-Main Campus,Bachelor's degrees,Engineering,14',317,272,45
1983-1984,207388,Oklahoma State University-Main Campus,Bachelor's degrees,Agricultural Sciences,2',180,130,50
1983-1984,207388,Oklahoma State University-Main Campus,Bachelor's degrees,Parks and Recreation,31',42,10,32
1983-1984,207388,Oklahoma State University-Main Campus,Bachelor's degrees,Architecture and Environmental Design,4',34,31,3
1983-1984,207388,Oklahoma State University-Main Campus,Bachelor's degrees,Social Sciences,45',124,53,71
1983-1984,207388,Oklahoma State University-Main Campus,Bachelor's degrees,Visual and Performing Arts,50',11,3,8
1983-1984,207388,Oklahoma State University-Main Campus,Bachelor's degrees,Business and Management,6',834,491,343
1983-1984,207388,Oklahoma State University-Main Campus,Bachelor's degrees,Engineering and Engineering Related Technologies,15',251,237,14
1983-1984,207388,Oklahoma State University-Main Campus,Bachelor's degrees,Physical Sciences,40',52,39,13
1983-1984,207388,Oklahoma State University-Main Campus,Bachelor's degrees,Communications,9',82,38,44
1983-1984,207388,Oklahoma State University-Main Campus,Bachelor's degrees,Letters,23',41,16,25
1983-1984,207388,Oklahoma State University-Main Campus,Bachelor's degrees,Mathematics,27',23,13,10
1983-1984,207388,Oklahoma State University-Main Campus,Bachelor's degrees,Multi/Interdisciplinary Studies,30',5,2,3
1983-1984,209542,Oregon State University,Bachelor's degrees,Computer and Information Sciences,11',117,91,26
1983-1984,209542,Oregon State University,Bachelor's degrees,Allied Health,17',5,0,5
1983-1984,209542,Oregon State University,Bachelor's degrees,Agricultural Sciences,2',90,46,44
1983-1984,209542,Oregon State University,Bachelor's degrees,Renewable Natural Resources,3',105,78,27
1983-1984,209542,Oregon State University,Bachelor's degrees,Parks and Recreation,31',20,8,12
1983-1984,209542,Oregon State University,Bachelor's degrees,Physical Sciences,40',73,61,12
1983-1984,209542,Oregon State University,Bachelor's degrees,Agricultural Business and Production,1',68,35,33
1983-1984,209542,Oregon State University,Bachelor's degrees,Engineering,14',357,309,48
1983-1984,209542,Oregon State University,Bachelor's degrees,Engineering and Engineering Related Technologies,15',50,47,3
1983-1984,209542,Oregon State University,Bachelor's degrees,Home Economics,19',167,1,166
1983-1984,209542,Oregon State University,Bachelor's degrees,Mathematics,27',43,36,7
1983-1984,209542,Oregon State University,Bachelor's degrees,Multi/Interdisciplinary Studies,30',76,54,22
1983-1984,209542,Oregon State University,Bachelor's degrees,Psychology,42',38,16,22
1983-1984,209542,Oregon State University,Bachelor's degrees,Social Sciences,45',222,110,112
1983-1984,209542,Oregon State University,Bachelor's degrees,Area and Ethnic Studies,5',6,2,4
1983-1984,209542,Oregon State University,Bachelor's degrees,Visual and Performing Arts,50',62,23,39
1983-1984,209542,Oregon State University,Bachelor's degrees,Health Sciences,18',20,11,9
1983-1984,209542,Oregon State University,Bachelor's degrees,Vocational Home Economics,20',13,1,12
1983-1984,209542,Oregon State University,Bachelor's degrees,Life Sciences,26',133,63,70
1983-1984,209542,Oregon State University,Bachelor's degrees,Philosophy and Religion,38',4,0,4
1983-1984,209542,Oregon State University,Bachelor's degrees,Education,13',336,113,223
1983-1984,209542,Oregon State University,Bachelor's degrees,Foreign Languages,16',23,5,18
1983-1984,209542,Oregon State University,Bachelor's degrees,Letters,23',92,41,51
1983-1984,209542,Oregon State University,Bachelor's degrees,Business and Management,6',709,425,284
1983-1984,209542,Oregon State University,Bachelor's degrees,Communications,9',41,18,23
1983-1984,186380,Rutgers University-New Brunswick,Bachelor's degrees,Computer and Information Sciences,11',207,124,83
1983-1984,186380,Rutgers University-New Brunswick,Bachelor's degrees,Education,13',54,13,41
1983-1984,186380,Rutgers University-New Brunswick,Bachelor's degrees,Health Sciences,18',21,0,21
1983-1984,186380,Rutgers University-New Brunswick,Bachelor's degrees,Agricultural Sciences,2',86,32,54
1983-1984,186380,Rutgers University-New Brunswick,Bachelor's degrees,Architecture and Environmental Design,4',47,21,26
1983-1984,186380,Rutgers University-New Brunswick,Bachelor's degrees,Business and Management,6',375,200,175
1983-1984,186380,Rutgers University-New Brunswick,Bachelor's degrees,Engineering,14',578,470,108
1983-1984,186380,Rutgers University-New Brunswick,Bachelor's degrees,Home Economics,19',67,6,61
1983-1984,186380,Rutgers University-New Brunswick,Bachelor's degrees,Letters,23',281,111,170
1983-1984,186380,Rutgers University-New Brunswick,Bachelor's degrees,Life Sciences,26',256,123,133
1983-1984,186380,Rutgers University-New Brunswick,Bachelor's degrees,Philosophy and Religion,38',18,13,5
1983-1984,186380,Rutgers University-New Brunswick,Bachelor's degrees,Psychology,42',273,68,205
1983-1984,186380,Rutgers University-New Brunswick,Bachelor's degrees,Area and Ethnic Studies,5',38,12,26
1983-1984,186380,Rutgers University-New Brunswick,Bachelor's degrees,Visual and Performing Arts,50',148,53,95
1983-1984,186380,Rutgers University-New Brunswick,Bachelor's degrees,Agricultural Business and Production,1',88,53,35
1983-1984,186380,Rutgers University-New Brunswick,Bachelor's degrees,Foreign Languages,16',100,29,71
1983-1984,186380,Rutgers University-New Brunswick,Bachelor's degrees,Mathematics,27',83,45,38
1983-1984,186380,Rutgers University-New Brunswick,Bachelor's degrees,Multi/Interdisciplinary Studies,30',88,9,79
1983-1984,186380,Rutgers University-New Brunswick,Bachelor's degrees,Social Sciences,45',957,461,496
