Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1996-1997,134097,Florida State University,Home Economics- General,'19',Bachelor's degree,372,70,302,307,52,255,33,9,24,16,7,9,10,2,8,1,0,1,0,0,0,5,0,5
1996-1997,134097,Florida State University,Liberal Arts and Studies- General Sciences and Humanities,'24',Bachelor's degree,24,5,19,21,3,18,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,134097,Florida State University,Mathematics,'27',Bachelor's degree,32,21,11,27,18,9,3,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1996-1997,134097,Florida State University,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,39,15,24,35,12,23,2,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
1996-1997,134097,Florida State University,Philosophy and Religion,'38',Bachelor's degree,28,17,11,26,16,10,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,134097,Florida State University,Physical Sciences,'40',Bachelor's degree,85,57,28,66,45,21,9,5,4,7,4,3,2,2,0,1,1,0,0,0,0,0,0,0
1996-1997,134097,Florida State University,Protective Services,'43',Bachelor's degree,488,296,192,381,247,134,67,24,43,31,18,13,9,7,2,0,0,0,0,0,0,0,0,0
1996-1997,134097,Florida State University,Psychology,'42',Bachelor's degree,274,70,204,213,56,157,26,2,24,25,8,17,10,4,6,0,0,0,0,0,0,0,0,0
1996-1997,134097,Florida State University,Public Administration and Services,'44',Bachelor's degree,135,19,116,109,11,98,19,8,11,5,0,5,2,0,2,0,0,0,0,0,0,0,0,0
1996-1997,134097,Florida State University,Social Sciences and History,'45',Bachelor's degree,744,431,313,616,376,240,65,26,39,42,20,22,13,5,8,2,0,2,0,0,0,6,4,2
1996-1997,134097,Florida State University,Visual and Performing Arts,'50',Bachelor's degree,294,105,189,257,90,167,11,5,6,17,8,9,5,0,5,0,0,0,0,0,0,4,2,2
1996-1997,131496,Georgetown University,Area- Ethnic and Cultural Studies,'05',Bachelor's degree,19,6,13,16,5,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
1996-1997,131496,Georgetown University,Biological Science/Life Sciences,'26',Bachelor's degree,61,28,33,34,13,21,2,0,2,4,2,2,16,9,7,0,0,0,0,0,0,5,4,1
1996-1997,131496,Georgetown University,Business Management and Administrative Services,'52',Bachelor's degree,351,214,137,206,137,69,24,13,11,24,9,15,32,15,17,0,0,0,3,1,2,62,39,23
1996-1997,131496,Georgetown University,Computer and Information Sciences,'11',Bachelor's degree,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,131496,Georgetown University,English Language and Literature/Letters,'23',Bachelor's degree,120,49,71,99,45,54,7,1,6,3,1,2,6,1,5,0,0,0,3,0,3,2,1,1
1996-1997,131496,Georgetown University,Foreign Languages and Literatures,'16',Bachelor's degree,130,38,92,101,32,69,6,2,4,6,1,5,5,1,4,0,0,0,1,0,1,11,2,9
1996-1997,131496,Georgetown University,Health Professions and Related Sciences,'51',Bachelor's degree,88,3,85,70,2,68,5,0,5,3,0,3,7,1,6,0,0,0,0,0,0,3,0,3
