Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1999-2000,134097,Florida State University,Bachelor's degree,Home Economics- General,'19',345,54,291,249,43,206,57,7,50,24,2,22,9,2,7,1,0,1,0,0,0,5,0,5
1999-2000,134097,Florida State University,Bachelor's degree,Liberal Arts and Studies- General Sciences and Humanities,'24',40,2,38,36,2,34,0,0,0,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0
1999-2000,134097,Florida State University,Bachelor's degree,Library Science,'25',101,72,29,74,51,23,19,14,5,6,6,0,1,0,1,1,1,0,0,0,0,0,0,0
1999-2000,134097,Florida State University,Bachelor's degree,Mathematics,'27',12,7,5,9,5,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
1999-2000,134097,Florida State University,Bachelor's degree,Parks- Recreation- Leisure and Fitness Studies,'31',51,12,39,47,12,35,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,134097,Florida State University,Bachelor's degree,Philosophy and Religion,'38',29,21,8,25,19,6,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
1999-2000,134097,Florida State University,Bachelor's degree,Physical Sciences,'40',83,60,23,68,51,17,4,2,2,5,3,2,3,2,1,1,1,0,0,0,0,2,1,1
1999-2000,134097,Florida State University,Bachelor's degree,Protective Services,'43',324,188,136,233,143,90,59,23,36,26,19,7,4,2,2,2,1,1,0,0,0,0,0,0
1999-2000,134097,Florida State University,Bachelor's degree,Psychology,'42',247,57,190,182,42,140,31,7,24,22,6,16,8,1,7,2,1,1,0,0,0,2,0,2
1999-2000,134097,Florida State University,Bachelor's degree,Public Administration and Services,'44',120,20,100,83,16,67,22,2,20,11,2,9,1,0,1,1,0,1,0,0,0,2,0,2
1999-2000,134097,Florida State University,Bachelor's degree,Social Sciences and History,'45',646,361,285,527,295,232,55,24,31,36,26,10,16,10,6,3,2,1,0,0,0,9,4,5
1999-2000,134097,Florida State University,Bachelor's degree,Visual and Performing Arts,'50',309,124,185,256,107,149,22,7,15,21,8,13,7,1,6,0,0,0,0,0,0,3,1,2
1999-2000,131496,Georgetown University,Bachelor's degree,Area- Ethnic and Cultural Studies,'05',16,9,7,13,7,6,0,0,0,0,0,0,2,1,1,0,0,0,1,1,0,0,0,0
1999-2000,131496,Georgetown University,Bachelor's degree,Biological Science/Life Sciences,'26',68,32,36,47,25,22,3,0,3,4,1,3,10,4,6,0,0,0,0,0,0,4,2,2
1999-2000,131496,Georgetown University,Bachelor's degree,Business Management and Administrative Services,'52',335,194,141,208,131,77,24,8,16,23,15,8,27,12,15,1,0,1,7,4,3,45,24,21
1999-2000,131496,Georgetown University,Bachelor's degree,Computer and Information Sciences,'11',15,12,3,8,6,2,3,3,0,0,0,0,2,1,1,0,0,0,0,0,0,2,2,0
1999-2000,131496,Georgetown University,Bachelor's degree,English Language and Literature/Letters,'23',194,82,112,160,71,89,13,4,9,6,3,3,7,1,6,0,0,0,5,2,3,3,1,2
1999-2000,131496,Georgetown University,Bachelor's degree,Foreign Languages and Literatures,'16',137,27,110,100,19,81,4,0,4,9,3,6,7,1,6,0,0,0,2,0,2,15,4,11
1999-2000,131496,Georgetown University,Bachelor's degree,Health Professions and Related Sciences,'51',64,2,62,53,1,52,3,1,2,2,0,2,4,0,4,0,0,0,0,0,0,2,0,2
1999-2000,131496,Georgetown University,Bachelor's degree,Liberal Arts and Studies- General Sciences and Humanities,'24',18,5,13,12,3,9,2,0,2,0,0,0,0,0,0,0,0,0,3,2,1,1,0,1
1999-2000,131496,Georgetown University,Bachelor's degree,Mathematics,'27',2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1999-2000,131496,Georgetown University,Bachelor's degree,Multi/Interdisciplinary Studies,'30',43,21,22,29,12,17,3,2,1,4,3,1,7,4,3,0,0,0,0,0,0,0,0,0
1999-2000,131496,Georgetown University,Bachelor's degree,Philosophy and Religion,'38',38,28,10,31,24,7,1,1,0,0,0,0,5,2,3,0,0,0,1,1,0,0,0,0
1999-2000,131496,Georgetown University,Bachelor's degree,Physical Sciences,'40',20,13,7,16,13,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,2,0,2
1999-2000,131496,Georgetown University,Bachelor's degree,Psychology,'42',59,19,40,46,13,33,2,1,1,1,0,1,5,1,4,0,0,0,2,2,0,3,2,1
1999-2000,131496,Georgetown University,Bachelor's degree,Social Sciences and History,'45',543,260,283,353,176,177,25,8,17,37,16,21,42,14,28,0,0,0,20,13,7,66,33,33
1999-2000,131496,Georgetown University,Bachelor's degree,Visual and Performing Arts,'50',12,3,9,10,2,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
1999-2000,155399,Kansas State University,Bachelor's degree,Agricultural Business and Production,'01',143,116,27,140,113,27,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
1999-2000,155399,Kansas State University,Bachelor's degree,Agricultural Sciences,'02',199,119,80,190,116,74,0,0,0,5,1,4,1,1,0,2,0,2,0,0,0,1,1,0
1999-2000,155399,Kansas State University,Bachelor's degree,Architecture and Related Programs,'04',107,72,35,97,67,30,0,0,0,1,1,0,3,2,1,2,1,1,0,0,0,4,1,3
1999-2000,155399,Kansas State University,Bachelor's degree,Biological Science/Life Sciences,'26',191,90,101,172,80,92,4,3,1,6,3,3,0,0,0,3,0,3,4,2,2,2,2,0
1999-2000,155399,Kansas State University,Bachelor's degree,Business Management and Administrative Services,'52',639,349,290,590,318,272,9,6,3,10,8,2,15,6,9,4,4,0,3,3,0,8,4,4
1999-2000,155399,Kansas State University,Bachelor's degree,Communications,'09',147,48,99,135,44,91,3,1,2,3,2,1,2,0,2,3,0,3,1,1,0,0,0,0
1999-2000,155399,Kansas State University,Bachelor's degree,Computer and Information Sciences,'11',32,28,4,30,26,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1999-2000,155399,Kansas State University,Bachelor's degree,Education,'13',293,95,198,283,89,194,1,1,0,6,3,3,1,1,0,1,0,1,1,1,0,0,0,0
1999-2000,155399,Kansas State University,Bachelor's degree,Engineering,'14',293,250,43,264,227,37,2,1,1,8,6,2,7,7,0,0,0,0,1,1,0,11,8,3
1999-2000,155399,Kansas State University,Bachelor's degree,Engineering-Related Technologies,'15',85,77,8,82,75,7,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,155399,Kansas State University,Bachelor's degree,English Language and Literature/Letters,'23',36,6,30,34,6,28,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1999-2000,155399,Kansas State University,Bachelor's degree,Foreign Languages and Literatures,'16',31,8,23,25,6,19,0,0,0,3,1,2,0,0,0,0,0,0,3,1,2,0,0,0
1999-2000,155399,Kansas State University,Bachelor's degree,Health Professions and Related Sciences,'51',78,14,64,76,14,62,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,155399,Kansas State University,Bachelor's degree,Home Economics- General,'19',183,9,174,169,9,160,4,0,4,2,0,2,4,0,4,3,0,3,0,0,0,1,0,1
1999-2000,155399,Kansas State University,Bachelor's degree,Liberal Arts and Studies- General Sciences and Humanities,'24',3,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1999-2000,155399,Kansas State University,Bachelor's degree,Mathematics,'27',16,11,5,14,11,3,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1999-2000,155399,Kansas State University,Bachelor's degree,Parks- Recreation- Leisure and Fitness Studies,'31',100,52,48,93,47,46,2,1,1,1,1,0,1,1,0,1,1,0,2,1,1,0,0,0
1999-2000,155399,Kansas State University,Bachelor's degree,Philosophy and Religion,'38',8,3,5,6,3,3,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1999-2000,155399,Kansas State University,Bachelor's degree,Physical Sciences,'40',37,30,7,33,28,5,0,0,0,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
1999-2000,155399,Kansas State University,Bachelor's degree,Psychology,'42',79,24,55,70,23,47,3,0,3,3,1,2,2,0,2,0,0,0,0,0,0,1,0,1
1999-2000,155399,Kansas State University,Bachelor's degree,Public Administration and Services,'44',35,5,30,29,4,25,4,1,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,155399,Kansas State University,Bachelor's degree,Social Sciences and History,'45',304,160,144,255,137,118,26,12,14,10,5,5,5,2,3,4,1,3,2,1,1,2,2,0
1999-2000,155399,Kansas State University,Bachelor's degree,Transporation and Material Moving Workers,'49',17,17,0,16,16,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,155399,Kansas State University,Bachelor's degree,Visual and Performing Arts,'50',98,29,69,87,27,60,3,1,2,1,1,0,1,0,1,3,0,3,0,0,0,3,0,3
1999-2000,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Agricultural Business and Production,'01',28,22,6,20,14,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,7,0
1999-2000,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Agricultural Sciences,'02',93,47,46,75,36,39,1,0,1,5,2,3,1,1,0,2,1,1,1,1,0,8,6,2
1999-2000,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Architecture and Related Programs,'04',97,49,48,74,42,32,5,1,4,5,1,4,3,0,3,0,0,0,5,4,1,5,1,4
1999-2000,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Area- Ethnic and Cultural Studies,'05',3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1999-2000,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Biological Science/Life Sciences,'26',290,141,149,226,117,109,24,6,18,4,1,3,21,9,12,2,1,1,8,5,3,5,2,3
1999-2000,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Business Management and Administrative Services,'52',813,461,352,639,374,265,54,19,35,16,10,6,42,21,21,0,0,0,12,6,6,50,31,19
1999-2000,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Communications,'09',180,64,116,157,59,98,10,2,8,4,1,3,3,0,3,0,0,0,3,2,1,3,0,3
1999-2000,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Computer and Information Sciences,'11',59,48,11,40,34,6,2,2,0,2,1,1,8,7,1,0,0,0,2,2,0,5,2,3
1999-2000,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Conservation and Renewable Natural Resources,'03',81,44,37,77,43,34,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0
