Year,unitid,Institution_Name,Award_Level,cipcode,CIP_Classificaiton,Total,T.M,T.F
1987-1988,198419,Duke University,Bachelor's degree,'06.0000',Business and Management,1,1,0
1987-1988,209551,University of Oregon,Bachelor's degree,'06.0000',Business and Management,473,288,185
1987-1988,186380,Rutgers University-New Brunswick,Bachelor's degree,'06.0000',Business and Management,434,180,254
1987-1988,228723,Texas A & M University-College Station,Bachelor's degree,'06.0000',Business and Management,1123,551,572
1987-1988,100858,Auburn University,Bachelor's degree,'06.0000',Business and Management,830,538,292
1987-1988,122755,San Jose State University,Bachelor's degree,'06.0000',Business and Management,904,433,471
1987-1988,218663,University of South Carolina-Columbia,Bachelor's degree,'06.0000',Business and Management,613,339,274
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,'06.0000',Business and Management,711,424,287
1987-1988,100751,The University of Alabama,Bachelor's degree,'06.0000',Business and Management,500,282,218
1987-1988,207500,University of Oklahoma Norman Campus,Bachelor's degree,'09.0000',Communications,195,85,110
1987-1988,123961,University of Southern California,Bachelor's degree,'09.0000',Communications,236,81,155
1987-1988,147767,Northwestern University,Bachelor's degree,'09.0000',Communications,319,111,208
1987-1988,218663,University of South Carolina-Columbia,Bachelor's degree,'09.0000',Communications,267,95,172
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,'09.0000',Communications,158,56,102
1987-1988,209542,Oregon State University,Bachelor's degree,'09.0000',Communications,37,24,13
1987-1988,139959,University of Georgia,Bachelor's degree,'09.0000',Communications,302,73,229
1987-1988,228246,Southern Methodist University,Bachelor's degree,'09.0000',Communications,234,70,164
1987-1988,135726,University of Miami,Bachelor's degree,'09.0000',Communications,120,33,87
1987-1988,122755,San Jose State University,Bachelor's degree,'09.0000',Communications,258,92,166
1987-1988,204796,Ohio State University-Main Campus,Bachelor's degree,'09.0000',Communications,546,200,346
1987-1988,155399,Kansas State University,Bachelor's degree,'09.0000',Communications,158,63,95
1987-1988,170976,University of Michigan-Ann Arbor,Bachelor's degree,'09.0000',Communications,229,66,163
1987-1988,181464,University of Nebraska-Lincoln,Bachelor's degree,'09.0000',Communications,220,84,136
1987-1988,228778,The University of Texas at Austin,Bachelor's degree,'09.0000',Communications,822,269,553
1987-1988,230728,Utah State University,Bachelor's degree,'09.0000',Communications,22,8,14
1987-1988,100751,The University of Alabama,Bachelor's degree,'09.0000',Communications,291,132,159
1987-1988,142115,Boise State University,Bachelor's degree,'09.0000',Communications,49,20,29
1987-1988,207388,Oklahoma State University-Main Campus,Bachelor's degree,'09.0000',Communications,135,61,74
1987-1988,186380,Rutgers University-New Brunswick,Bachelor's degree,'09.0000',Communications,284,87,197
1987-1988,199120,University of North Carolina at Chapel Hill,Bachelor's degree,'09.0000',Communications,347,107,240
1987-1988,209551,University of Oregon,Bachelor's degree,'09.0000',Communications,284,105,179
1987-1988,228723,Texas A & M University-College Station,Bachelor's degree,'09.0000',Communications,121,29,92
1987-1988,100858,Auburn University,Bachelor's degree,'09.0000',Communications,103,27,76
1987-1988,157289,University of Louisville,Bachelor's degree,'09.0000',Communications,95,39,56
1987-1988,243744,Stanford University,Bachelor's degree,'09.0000',Communications,38,16,22
1987-1988,134130,University of Florida,Bachelor's degree,'09.0000',Communications,644,238,406
1987-1988,123961,University of Southern California,Bachelor's degree,'10.0000',Communications Technologies,42,27,15
1987-1988,139959,University of Georgia,Bachelor's degree,'10.0000',Communications Technologies,77,38,39
1987-1988,207500,University of Oklahoma Norman Campus,Bachelor's degree,'10.0000',Communications Technologies,67,34,33
1987-1988,217882,Clemson University,Bachelor's degree,'11.0000',Computer and Information Sciences,93,53,40
1987-1988,135726,University of Miami,Bachelor's degree,'11.0000',Computer and Information Sciences,66,37,29
1987-1988,123961,University of Southern California,Bachelor's degree,'11.0000',Computer and Information Sciences,66,42,24
1987-1988,243744,Stanford University,Bachelor's degree,'11.0000',Computer and Information Sciences,28,22,6
1987-1988,207500,University of Oklahoma Norman Campus,Bachelor's degree,'11.0000',Computer and Information Sciences,53,40,13
1987-1988,209551,University of Oregon,Bachelor's degree,'11.0000',Computer and Information Sciences,64,47,17
1987-1988,204796,Ohio State University-Main Campus,Bachelor's degree,'11.0000',Computer and Information Sciences,166,120,46
1987-1988,100751,The University of Alabama,Bachelor's degree,'11.0000',Computer and Information Sciences,38,23,15
1987-1988,228778,The University of Texas at Austin,Bachelor's degree,'11.0000',Computer and Information Sciences,130,98,32
1987-1988,142115,Boise State University,Bachelor's degree,'11.0000',Computer and Information Sciences,32,14,18
1987-1988,221999,Vanderbilt University,Bachelor's degree,'11.0000',Computer and Information Sciences,14,12,2
1987-1988,228723,Texas A & M University-College Station,Bachelor's degree,'11.0000',Computer and Information Sciences,160,110,50
1987-1988,218663,University of South Carolina-Columbia,Bachelor's degree,'11.0000',Computer and Information Sciences,48,37,11
1987-1988,198419,Duke University,Bachelor's degree,'11.0000',Computer and Information Sciences,33,20,13
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,'11.0000',Computer and Information Sciences,45,32,13
1987-1988,155399,Kansas State University,Bachelor's degree,'11.0000',Computer and Information Sciences,56,41,15
1987-1988,209542,Oregon State University,Bachelor's degree,'11.0000',Computer and Information Sciences,88,70,18
1987-1988,131496,Georgetown University,Bachelor's degree,'11.0000',Computer and Information Sciences,1,1,0
1987-1988,181464,University of Nebraska-Lincoln,Bachelor's degree,'11.0000',Computer and Information Sciences,73,61,12
1987-1988,186380,Rutgers University-New Brunswick,Bachelor's degree,'11.0000',Computer and Information Sciences,163,120,43
1987-1988,139959,University of Georgia,Bachelor's degree,'11.0000',Computer and Information Sciences,64,45,19
1987-1988,157289,University of Louisville,Bachelor's degree,'11.0000',Computer and Information Sciences,28,11,17
1987-1988,207388,Oklahoma State University-Main Campus,Bachelor's degree,'11.0000',Computer and Information Sciences,118,74,44
1987-1988,134130,University of Florida,Bachelor's degree,'11.0000',Computer and Information Sciences,168,116,52
1987-1988,170976,University of Michigan-Ann Arbor,Bachelor's degree,'11.0000',Computer and Information Sciences,78,54,24
1987-1988,230728,Utah State University,Bachelor's degree,'11.0000',Computer and Information Sciences,89,58,31
1987-1988,228246,Southern Methodist University,Bachelor's degree,'11.0000',Computer and Information Sciences,15,11,4
1987-1988,147767,Northwestern University,Bachelor's degree,'11.0000',Computer and Information Sciences,49,34,15
1987-1988,100858,Auburn University,Bachelor's degree,'11.0000',Computer and Information Sciences,9,2,7
1987-1988,186380,Rutgers University-New Brunswick,Bachelor's degree,'03.0000',Conservation and Renewable Natural Resources,15,8,7
1987-1988,134130,University of Florida,Bachelor's degree,'03.0000',Conservation and Renewable Natural Resources,27,18,9
1987-1988,181464,University of Nebraska-Lincoln,Bachelor's degree,'03.0000',Conservation and Renewable Natural Resources,28,26,2
1987-1988,204796,Ohio State University-Main Campus,Bachelor's degree,'03.0000',Conservation and Renewable Natural Resources,46,33,13
1987-1988,155399,Kansas State University,Bachelor's degree,'03.0000',Conservation and Renewable Natural Resources,10,8,2
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,'03.0000',Conservation and Renewable Natural Resources,12,6,6
1987-1988,209542,Oregon State University,Bachelor's degree,'03.0000',Conservation and Renewable Natural Resources,77,63,14
1987-1988,228723,Texas A & M University-College Station,Bachelor's degree,'03.0000',Conservation and Renewable Natural Resources,15,13,2
1987-1988,230728,Utah State University,Bachelor's degree,'03.0000',Conservation and Renewable Natural Resources,43,31,12
1987-1988,207388,Oklahoma State University-Main Campus,Bachelor's degree,'03.0000',Conservation and Renewable Natural Resources,10,8,2
1987-1988,217882,Clemson University,Bachelor's degree,'03.0000',Conservation and Renewable Natural Resources,19,17,2
1987-1988,170976,University of Michigan-Ann Arbor,Bachelor's degree,'03.0000',Conservation and Renewable Natural Resources,22,14,8
