Year,unitid,Institution_Name,Sport,Cohort_Data,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),21,21,0,11,11,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Football,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),9,9,0,5,5,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,9,9,0,5,5,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,147767,Northwestern University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),33,12,21,32,11,21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,147767,Northwestern University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),31,10,21,30,9,21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,147767,Northwestern University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,31,10,21,30,9,21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,147767,Northwestern University,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,147767,Northwestern University,Baseball,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,147767,Northwestern University,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
