Year,unitid,Institution_Name,Major,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.AI,T.AI.M,T.AI.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.C,T.C.M,T.C.F,T.AS,T.AS.M,T.AS.W,T.PI,T.PI.M,T.PI.W,T.MIX,T.MIX.M,T.MIX.M,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2008-2009,134097,Florida State University,First major,Area- ethnic- cultural- and gender studies.,'05',Bachelor's degree,33,19,14,1,1,0,4,2,2,2,1,1,4,1,3,22,14,8,,,,,,,,,,0,0,0,0,0,0
2008-2009,134097,Florida State University,First major,Business- management- marketing- and related support services.,'52',Bachelor's degree,1452,796,656,8,4,4,43,22,21,129,56,73,125,74,51,1119,628,491,,,,,,,,,,5,2,3,23,10,13
2008-2009,134097,Florida State University,First major,Education.,'13',Bachelor's degree,515,139,376,2,0,2,7,2,5,42,19,23,35,10,25,428,107,321,,,,,,,,,,0,0,0,1,1,0
2008-2009,134097,Florida State University,First major,Engineering.,'14',Bachelor's degree,253,196,57,1,1,0,19,10,9,20,12,8,31,27,4,161,130,31,,,,,,,,,,4,2,2,17,14,3
2008-2009,134097,Florida State University,First major,Family and consumer sciences/human sciences.,'19',Bachelor's degree,450,30,420,1,0,1,6,0,6,72,4,68,31,2,29,337,24,313,,,,,,,,,,1,0,1,2,0,2
2008-2009,134097,Florida State University,First major,Mathematics and statistics.,'27',Bachelor's degree,30,20,10,0,0,0,3,2,1,5,2,3,2,1,1,19,14,5,,,,,,,,,,0,0,0,1,1,0
2008-2009,134097,Florida State University,First major,Philosophy and religious studies.,'38',Bachelor's degree,65,36,29,0,0,0,0,0,0,3,1,2,6,3,3,52,30,22,,,,,,,,,,4,2,2,0,0,0
2008-2009,134097,Florida State University,First major,Physical sciences.,'40',Bachelor's degree,88,54,34,1,1,0,2,1,1,8,4,4,10,5,5,65,41,24,,,,,,,,,,2,2,0,0,0,0
2008-2009,134097,Florida State University,First major,Public administration and social service professions.,'44',Bachelor's degree,99,7,92,2,1,1,0,0,0,30,1,29,5,0,5,62,5,57,,,,,,,,,,0,0,0,0,0,0
2008-2009,134097,Florida State University,First major,Social sciences.,'45',Bachelor's degree,1365,715,650,9,3,6,34,17,17,153,60,93,161,83,78,967,538,429,,,,,,,,,,9,5,4,32,9,23
