Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1994-1995,123961,University of Southern California,Bachelor's degree,Public Administration and Services,'44.0000',102,64,38,55,40,15,17,8,9,17,7,10,13,9,4,0,0,0,0,0,0,0,0,0
1994-1995,123961,University of Southern California,Bachelor's degree,Social Sciences and History,'45.0000',503,294,209,342,201,141,14,4,10,41,24,17,59,33,26,5,3,2,12,8,4,30,21,9
1994-1995,134097,Florida State University,Bachelor's degree,Biological Sciences/Life Sciences,'26.0000',210,136,74,180,115,65,10,6,4,9,7,2,9,6,3,1,1,0,0,0,0,1,1,0
1994-1995,134097,Florida State University,Bachelor's degree,Communications,'09.0000',293,99,194,257,89,168,22,5,17,11,5,6,2,0,2,1,0,1,0,0,0,0,0,0
1994-1995,134097,Florida State University,Bachelor's degree,Protective Services,'43.0000',470,296,174,402,271,131,40,10,30,23,13,10,3,1,2,1,1,0,0,0,0,1,0,1
1994-1995,134097,Florida State University,Bachelor's degree,Psychology,'42.0000',283,79,204,242,74,168,23,1,22,15,4,11,1,0,1,1,0,1,0,0,0,1,0,1
1994-1995,134130,University of Florida,Bachelor's degree,Agricultural Business and Production,'01.0000',98,73,25,67,55,12,18,8,10,2,2,0,0,0,0,0,0,0,0,0,0,11,8,3
1994-1995,134130,University of Florida,Bachelor's degree,Education,'13.0000',514,134,380,435,112,323,40,12,28,28,6,22,7,1,6,0,0,0,0,0,0,4,3,1
1994-1995,134130,University of Florida,Bachelor's degree,Engineering-Related Technologies,'15.0000',129,120,9,116,109,7,3,2,1,9,8,1,0,0,0,0,0,0,0,0,0,1,1,0
1994-1995,135726,University of Miami,Bachelor's degree,English Language and Literature/Letters,'23.0000',65,21,44,45,16,29,2,1,1,16,3,13,0,0,0,1,1,0,0,0,0,1,0,1
