,player,season,salary,agency,agent,salary_amnesty,league,team,player_off_roster_13_14,id_contract_type
64,Andrew Bynum,2014-2015,12540000,David Lee Services,David Lee,FALSE,nba,Cavaliers,FALSE,U
71,Anthony Bennett,2013-2014,5324280,Excel Sports Management,Jeff Schwartz,FALSE,nba,Cavaliers,FALSE,G
72,Anthony Bennett,2014-2015,5563920,Excel Sports Management,Jeff Schwartz,FALSE,nba,Cavaliers,FALSE,G
73,Anthony Bennett,2015-2016,5803560,Excel Sports Management,Jeff Schwartz,FALSE,nba,Cavaliers,FALSE,TO
74,Anthony Bennett,2016-2017,7318289,Excel Sports Management,Jeff Schwartz,FALSE,nba,Cavaliers,FALSE,TO
75,Anthony Bennett,2017-2018,9513776,Excel Sports Management,Jeff Schwartz,FALSE,nba,Cavaliers,FALSE,QO
170,C.J. Miles,2013-2014,2225000,Independent,Billy Ceisler,FALSE,nba,Cavaliers,FALSE,G
185,Carrick Felix,2013-2014,510000,Stratosphere Sports,Todd Eley,FALSE,nba,Cavaliers,FALSE,G
186,Carrick Felix,2014-2015,816482,Stratosphere Sports,Todd Eley,FALSE,nba,Cavaliers,FALSE,U
187,Carrick Felix,2015-2016,947276,Stratosphere Sports,Todd Eley,FALSE,nba,Cavaliers,FALSE,U
188,Carrick Felix,2016-2017,1015696,Stratosphere Sports,Todd Eley,FALSE,nba,Cavaliers,FALSE,TO
300,Dion Waiters,2013-2014,3894240,Landmark Sports Agency,Rob Pelinka,FALSE,nba,Cavaliers,FALSE,G
301,Dion Waiters,2014-2015,4062000,Landmark Sports Agency,Rob Pelinka,FALSE,nba,Cavaliers,FALSE,TO
302,Dion Waiters,2015-2016,5138430,Landmark Sports Agency,Rob Pelinka,FALSE,nba,Cavaliers,FALSE,TO
303,Dion Waiters,2016-2017,6777589,Landmark Sports Agency,Rob Pelinka,FALSE,nba,Cavaliers,FALSE,QO
333,Earl Clark,2013-2014,4250000,BDA Sports Management,Kevin Bradbury,FALSE,nba,Cavaliers,FALSE,G
334,Earl Clark,2014-2015,4250000,BDA Sports Management,Kevin Bradbury,FALSE,nba,Cavaliers,FALSE,U
499,Jarrett Jack,2013-2014,6300000,Excel Sports Management,Jeff Schwartz,FALSE,nba,Cavaliers,FALSE,G
500,Jarrett Jack,2014-2015,6300000,Excel Sports Management,Jeff Schwartz,FALSE,nba,Cavaliers,FALSE,G
501,Jarrett Jack,2015-2016,6300000,Excel Sports Management,Jeff Schwartz,FALSE,nba,Cavaliers,FALSE,QO
502,Jarrett Jack,2016-2017,6300000,Excel Sports Management,Jeff Schwartz,FALSE,nba,Cavaliers,FALSE,U
698,Kyrie Irving,2013-2014,5607240,24/7 Sports Management,Jeff Wechsler,FALSE,nba,Cavaliers,FALSE,G
699,Kyrie Irving,2014-2015,7070730,24/7 Sports Management,Jeff Wechsler,FALSE,nba,Cavaliers,FALSE,TO
700,Kyrie Irving,2015-2016,9191949,24/7 Sports Management,Jeff Wechsler,FALSE,nba,Cavaliers,FALSE,QO
774,Matthew Dellavedova,2013-2014,490180,BDA Sports Management,Bill Duffy,FALSE,nba,Cavaliers,FALSE,U
775,Matthew Dellavedova,2014-2015,816482,BDA Sports Management,Bill Duffy,FALSE,nba,Cavaliers,FALSE,G
776,Matthew Dellavedova,2015-2016,1147276,BDA Sports Management,Bill Duffy,FALSE,nba,Cavaliers,FALSE,QO
1002,Sergey Karasev,2013-2014,1467840,ASM Sports,Andy Miller,FALSE,nba,Cavaliers,FALSE,G
1003,Sergey Karasev,2014-2015,1533840,ASM Sports,Andy Miller,FALSE,nba,Cavaliers,FALSE,G
1004,Sergey Karasev,2015-2016,1599840,ASM Sports,Andy Miller,FALSE,nba,Cavaliers,FALSE,TO
1005,Sergey Karasev,2016-2017,2463754,ASM Sports,Andy Miller,FALSE,nba,Cavaliers,FALSE,TO
1006,Sergey Karasev,2017-2018,3513313,ASM Sports,Andy Miller,FALSE,nba,Cavaliers,FALSE,QO
1128,Tristan Thompson,2013-2014,4062000,Klutch Sports Management,Rich Paul,FALSE,nba,Cavaliers,FALSE,G
1129,Tristan Thompson,2014-2015,5138430,Klutch Sports Management,Rich Paul,FALSE,nba,Cavaliers,FALSE,TO
1130,Tristan Thompson,2015-2016,6777589,Klutch Sports Management,Rich Paul,FALSE,nba,Cavaliers,FALSE,QO
1138,Tyler Zeller,2013-2014,1633440,Excel Sports Management,Jeff Schwartz,FALSE,nba,Cavaliers,FALSE,G
1139,Tyler Zeller,2014-2015,1703760,Excel Sports Management,Jeff Schwartz,FALSE,nba,Cavaliers,FALSE,TO
1140,Tyler Zeller,2015-2016,2616975,Excel Sports Management,Jeff Schwartz,FALSE,nba,Cavaliers,FALSE,TO
1141,Tyler Zeller,2016-2017,3695169,Excel Sports Management,Jeff Schwartz,FALSE,nba,Cavaliers,FALSE,QO
108,Avery Bradley,2013-2014,2511432,Lagardere Unlimited,Mitchell Butler,FALSE,nba,Celtics,FALSE,G
109,Avery Bradley,2014-2015,3581302,Lagardere Unlimited,Mitchell Butler,FALSE,nba,Celtics,FALSE,QO
138,Brandon Bass,2013-2014,6450000,Rival Sports Group,Tony Dutt,FALSE,nba,Celtics,FALSE,G
139,Brandon Bass,2014-2015,6900000,Rival Sports Group,Tony Dutt,FALSE,nba,Celtics,FALSE,G
235,Courtney Lee,2013-2014,5225000,Relativity Sports,Dan Fegan,FALSE,nba,Celtics,FALSE,G
236,Courtney Lee,2014-2015,5450000,Relativity Sports,Dan Fegan,FALSE,nba,Celtics,FALSE,G
237,Courtney Lee,2015-2016,5675000,Relativity Sports,Dan Fegan,FALSE,nba,Celtics,FALSE,G
311,Donte Greene,2013-2014,1027424,Blackwave Media Group,Bill Strickland,FALSE,nba,Celtics,FALSE,U
312,Donte Greene,2014-2015,1145685,Blackwave Media Group,Bill Strickland,FALSE,nba,Celtics,FALSE,U
396,Gerald Wallace,2013-2014,10105855,Landmark Sports Agency,Rob Pelinka,FALSE,nba,Celtics,FALSE,G
397,Gerald Wallace,2014-2015,10105855,Landmark Sports Agency,Rob Pelinka,FALSE,nba,Celtics,FALSE,G
398,Gerald Wallace,2015-2016,10105855,Landmark Sports Agency,Rob Pelinka,FALSE,nba,Celtics,FALSE,G
495,Jared Sullinger,2013-2014,1365720,FAME,David Falk,FALSE,nba,Celtics,FALSE,G
496,Jared Sullinger,2014-2015,1424520,FAME,David Falk,FALSE,nba,Celtics,FALSE,TO
497,Jared Sullinger,2015-2016,2269260,FAME,David Falk,FALSE,nba,Celtics,FALSE,TO
498,Jared Sullinger,2016-2017,3270004,FAME,David Falk,FALSE,nba,Celtics,FALSE,QO
520,Jeff Green,2013-2014,8700000,FAME,David Falk,FALSE,nba,Celtics,FALSE,G
521,Jeff Green,2014-2015,9200000,FAME,David Falk,FALSE,nba,Celtics,FALSE,G
522,Jeff Green,2015-2016,9200000,FAME,David Falk,FALSE,nba,Celtics,FALSE,PO
595,Jordan Crawford,2013-2014,2162419,Creative Artists Agency,Aaron Mintz,FALSE,nba,Celtics,FALSE,G
596,Jordan Crawford,2014-2015,3206867,Creative Artists Agency,Aaron Mintz,FALSE,nba,Celtics,FALSE,QO
633,Keith Bogans,2013-2014,5058198,Relativity Sports,Dan Fegan,FALSE,nba,Celtics,FALSE,G
634,Keith Bogans,2014-2015,5285817,Relativity Sports,Dan Fegan,FALSE,nba,Celtics,FALSE,U
635,Keith Bogans,2015-2016,5513435,Relativity Sports,Dan Fegan,FALSE,nba,Celtics,FALSE,U
636,Kelly Olynyk,2013-2014,1986360,Wasserman Media Group,Arn Tellem,FALSE,nba,Celtics,FALSE,G
637,Kelly Olynyk,2014-2015,2075760,Wasserman Media Group,Arn Tellem,FALSE,nba,Celtics,FALSE,G
638,Kelly Olynyk,2015-2016,2165160,Wasserman Media Group,Arn Tellem,FALSE,nba,Celtics,FALSE,TO
639,Kelly Olynyk,2016-2017,3094013,Wasserman Media Group,Arn Tellem,FALSE,nba,Celtics,FALSE,TO
