,Sport,School_ID,Year,Number,Player,Last_Name,First_Name,Position,Height,Weight,Class,Hometown,City,State,High_School,Prior_College,URL,Height_Inches
106,FBALL,OKState,2012-2013,81,Jhajuan Seales,Seales,Jhajuan,WR,6'2'',180,FR,"Port Arthur, TX",Port Arthur,TX,Memorial,,http://www.okstate.com/sports/m-footbl/mtt/jhajuan_seales_804180.html,74
107,FBALL,OKState,2012-2013,44,Jeremy Seaton,Seaton,Jeremy,TE/FB,6'2'',247,RS FR,"Cashion, OK",Cashion,OK,Cashion,,http://www.okstate.com/sports/m-footbl/mtt/jeremy_seaton_764708.html,74
108,FBALL,OKState,2012-2013,13,Quinn Sharp,Sharp,Quinn,P/K,6'1'',205,SR,"Mansfield, TX",Mansfield,TX,Summit,,http://www.okstate.com/sports/m-footbl/mtt/quinn_sharp_410817.html,73
109,FBALL,OKState,2012-2013,7,Brandon Sheperd,Sheperd,Brandon,WR,6'1'',195,FR,"St. Louis, MO",St. Louis,MO,Parkway Central,,http://www.okstate.com/sports/m-footbl/mtt/brandon_sheperd_804183.html,73
110,FBALL,OKState,2012-2013,42,DeMarcus Sherod,Sherod,DeMarcus,LB,6'1'',220,RS FR,"Decatur, GA",Decatur,GA,Columbia,,http://www.okstate.com/sports/m-footbl/mtt/demarcus_sherod_761802.html,73
111,FBALL,OKState,2012-2013,52,Ryan Simmons,Simmons,Ryan,LB,6'1'',238,RS FR,"Cibolo, TX",Cibolo,TX,Steele,,http://www.okstate.com/sports/m-footbl/mtt/ryan_simmons_761803.html,73
112,FBALL,OKState,2012-2013,56,Connor Sinko,Sinko,Connor,LS,6'3'',266,JR,"Tulsa, OK",Tulsa,OK,Cascia Hall,,http://www.okstate.com/sports/m-footbl/mtt/connor_sinko_459121.html,75
113,FBALL,OKState,2012-2013,31,Jeremy Smith,Smith,Jeremy,RB,5'10'',208,JR,"Tulsa, OK",Tulsa,OK,Union,,http://www.okstate.com/sports/m-footbl/mtt/jeremy_smith_440500.html,70
114,FBALL,OKState,2012-2013,9,Kye Staley,Staley,Kye,FB,5'10'',236,SR,"Guthrie, OK",Guthrie,OK,Guthrie,,http://www.okstate.com/sports/m-footbl/mtt/kye_staley_410737.html,70
115,FBALL,OKState,2012-2013,20,Larry Stephens,Stephens,Larry,CB,5'10'',182,JR,"Houston, TX",Houston,TX,North Shore,,http://www.okstate.com/sports/m-footbl/mtt/larry_stephens_652945.html,70
116,FBALL,OKState,2012-2013,5,Josh Stewart,Stewart,Josh,IR,5'10'',178,SO,"Denton, TX",Denton,TX,Guyer,,http://www.okstate.com/sports/m-footbl/mtt/josh_stewart_761805.html,70
117,FBALL,OKState,2012-2013,90,Bobby Stonebraker,Stonebraker,Bobby,K,6'1'',165,SO,"Tuttle, OK",Tuttle,OK,Tuttle,,http://www.okstate.com/sports/m-footbl/mtt/bobby_stonebraker_713803.html,73
118,FBALL,OKState,2012-2013,17,Steve Sumpter,Sumpter,Steve,RB,5'10'',200,JR,"Edmond, OK",Edmond,OK,Edmond Sante Fe,Missouri Southern,http://www.okstate.com/sports/m-footbl/mtt/steve_sumpter_819703.html,70
119,FBALL,OKState,2012-2013,53,Andrew Suter,Suter,Andrew,LS,6'2'',268,JR,"Sugar Land, TX",Sugar Land,TX,Clements,,http://www.okstate.com/sports/m-footbl/mtt/andrew_suter_713804.html,74
120,FBALL,OKState,2012-2013,68,Lane Taylor,Taylor,Lane,OL,6'3'',328,SR,"Arlington, TX",Arlington,TX,Martin,,http://www.okstate.com/sports/m-footbl/mtt/lane_taylor_421837.html,75
