,unitid,DOE.Institution_Name,Year,ID_School,ID_Conference,Sport,ID_Variable,Variable,Total,M,W,C,C.M,C.W,AA,AA.M,AA.W,H,H.M,H.W,AS.PI,AS.PI.M,AS.PI.W,AI,AI.M,AI.W,UNK,UNK.M,UNK.W,NON,NON.M,NON.W,fname
572,134097,Florida State University,1996-1997,FSU,ACC,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),12,3,9,10,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1997Sports.csv
574,134097,Florida State University,1996-1997,FSU,ACC,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),21,4,17,17,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,1997Sports.csv
582,134097,Florida State University,1996-1997,FSU,ACC,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),3,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1997Sports.csv
588,134097,Florida State University,1996-1997,FSU,ACC,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,12,3,9,10,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1997Sports.csv
592,134097,Florida State University,1996-1997,FSU,ACC,Cross-country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),8,4,4,3,2,1,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
597,134097,Florida State University,1996-1997,FSU,ACC,Cross-country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),6,2,4,1,0,1,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
606,134097,Florida State University,1996-1997,FSU,ACC,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
609,134097,Florida State University,1996-1997,FSU,ACC,Cross-country and/or track,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,6,2,4,1,0,1,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
612,134097,Florida State University,1996-1997,FSU,ACC,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,7,0,6,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
613,134097,Florida State University,1996-1997,FSU,ACC,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),3,3,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
650,134097,Florida State University,1996-1997,FSU,ACC,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),16,16,0,7,7,0,6,6,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
652,134097,Florida State University,1996-1997,FSU,ACC,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,10,10,0,4,4,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
664,134097,Florida State University,1996-1997,FSU,ACC,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),10,10,0,4,4,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
680,134097,Florida State University,1996-1997,FSU,ACC,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
713,134130,University of Florida,1996-1997,FLA,SEC,Football,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),20,20,0,7,7,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
755,134130,University of Florida,1996-1997,FLA,SEC,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),32,12,20,27,10,17,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,2,1997Sports.csv
758,134130,University of Florida,1996-1997,FLA,SEC,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,3,4,1,1,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1997Sports.csv
770,134130,University of Florida,1996-1997,FLA,SEC,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,5,0,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
772,134130,University of Florida,1996-1997,FLA,SEC,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),5,2,3,1,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1997Sports.csv
776,134130,University of Florida,1996-1997,FLA,SEC,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Completers of bachelor's or equivalent degrees (150% of normal time),13,2,11,10,2,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,1997Sports.csv
794,134130,University of Florida,1996-1997,FLA,SEC,Basketball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,2,3,1,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1997Sports.csv
797,134130,University of Florida,1996-1997,FLA,SEC,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Transfer-out students,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
798,134130,University of Florida,1996-1997,FLA,SEC,Baseball,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,4,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Sports.csv
800,134130,University of Florida,1996-1997,FLA,SEC,All other sports,Cohort,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,13,2,11,10,2,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,1997Sports.csv
