"","games_name","rk","flag.bearer","participants","men","women","sports","gold","silver","bronze","total","top.medalist.s.","country_url","country","table_name","country_games_url","year","games"
"132","2006 Winter","4","Aleksandr Popov","28","14","14","7",NA,"1",NA,"1","Dmitry Dashchinsky (1 medal)","http://www.sports-reference.com/olympics/countries/BLR/","Belarus","country_medals","http://www.sports-reference.com/olympics/countries/BLR/winter/2006/",2006,"Winter"
"133","2006 Winter","4","Andrey Drygin","1","1","0","1",NA,NA,NA,NA,"","http://www.sports-reference.com/olympics/countries/TJK/","Tajikistan","country_medals","http://www.sports-reference.com/olympics/countries/TJK/winter/2006/",2006,"Winter"
"134","2006 Winter","4","ArtÌÉåÇrs Irbe","57","49","8","8",NA,NA,"1","1","MÌãåÅrtiÌÉå ÌÉåÁ Rubenis (1 medal)","http://www.sports-reference.com/olympics/countries/LAT/","Latvia","country_medals","http://www.sports-reference.com/olympics/countries/LAT/winter/2006/",2006,"Winter"
"135","2006 Winter","4","Dmitry Dorofeyev","174","100","74","15","8","6","8","22","Albina Akhatova (3 medals)","http://www.sports-reference.com/olympics/countries/RUS/","Russia","country_medals","http://www.sports-reference.com/olympics/countries/RUS/winter/2006/",2006,"Winter"
"136","2006 Winter","4","Eveli Saue","26","17","9","6","3",NA,NA,"3","Kristina ÌÉåÊmigun-VÌÄå_hi (2 medals)","http://www.sports-reference.com/olympics/countries/EST/","Estonia","country_medals","http://www.sports-reference.com/olympics/countries/EST/winter/2006/",2006,"Winter"
"137","2006 Winter","4","Ivan Borisov","1","1","0","1",NA,NA,NA,NA,"","http://www.sports-reference.com/olympics/countries/KGZ/","Kyrgyzstan","country_medals","http://www.sports-reference.com/olympics/countries/KGZ/winter/2006/",2006,"Winter"
"138","2006 Winter","4","Kayrat Ermetov","4","2","2","2",NA,NA,NA,NA,"","http://www.sports-reference.com/olympics/countries/UZB/","Uzbekistan","country_medals","http://www.sports-reference.com/olympics/countries/UZB/winter/2006/",2006,"Winter"
"139","2006 Winter","4","Mikhail Rakimov","2","1","1","1",NA,NA,NA,NA,"","http://www.sports-reference.com/olympics/countries/AZE/","Azerbaijan","country_medals","http://www.sports-reference.com/olympics/countries/AZE/winter/2006/",2006,"Winter"
"140","2006 Winter","4","Natalia Levcencova","6","3","3","3",NA,NA,NA,NA,"","http://www.sports-reference.com/olympics/countries/MDA/","Moldova","country_medals","http://www.sports-reference.com/olympics/countries/MDA/winter/2006/",2006,"Winter"
"141","2006 Winter","4","Nataliya Yakushenko","52","30","22","9",NA,NA,"2","2","3 athletes with 1 medal","http://www.sports-reference.com/olympics/countries/UKR/","Ukraine","country_medals","http://www.sports-reference.com/olympics/countries/UKR/winter/2006/",2006,"Winter"
