"","A","B","C","D","Season","F","G","H","I","J","Source","Season.Type"
"371",691,"Stuckey","Stuckey, Rodney","NBA","DET","2009-2010","1.4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"372",693,"Yi","Jianlian, Yi","NBA","NJN","2009-2010","4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"373",693,"Jianlian","Jianlian, Yi","NBA","NJN","2009-2010","4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"374",694,"Sessions","Sessions, Ramon","NBA","MIN","2009-2010","1.2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"375",695,"Horford","Horford, Al","NBA","ATL","2009-2010","3.6","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"376",696,"Law","Law, Acie","NBA","CHA","2009-2010","1.2","20091125TORCHA","2009-11-16","2010-02-18","Basketball Value","Regular Season"
"377",696,"Law","Law, Acie","NBA","CHI","2009-2010","1.2","20100220PHICHI","2010-02-18","2010-07-01","Basketball Value","Regular Season"
"378",696,"Law","Law, Acie","NBA","GSW","2009-2010","1.2","SeasonStart","2009-10-26","2009-11-16","Basketball Value","Regular Season"
"379",697,"West","West, Mario","NBA","ATL","2009-2010","2.4","20100113WASATL","2010-01-12","2010-07-01","Basketball Value","Regular Season"
"380",699,"Dudley","Dudley, Jared","NBA","PHX","2009-2010","4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"381",700,"Anthony","Anthony, Joel","NBA","MIA","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"382",701,"Cook","Cook, Daequan","NBA","MIA","2009-2010","2.8","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"383",702,"Gortat","Gortat, Marcin","NBA","ORL","2009-2010","4.8","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"384",703,"McGuire","McGuire, Dominic","NBA","SAC","2009-2010","3","20100221SACPHX","2010-02-18","2010-07-01","Basketball Value","Regular Season"
"385",703,"McGuire","McGuire, Dominic","NBA","WAS","2009-2010","3","SeasonStart","2009-10-26","2010-02-18","Basketball Value","Regular Season"
"386",704,"Pecherov","Pecherov, Oleksiy","NBA","MIN","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"387",705,"Young","Young, Nick","NBA","WAS","2009-2010","2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"388",707,"Conley","Conley, Mike","NBA","MEM","2009-2010","1","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"389",711,"Wright","Wright, Julian","NBA","NOH","2009-2010","3.6","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
