"","PlayerName","PlayerTrueName","League","TeamName3","Season","Position","Comment","StartDate","EndDate","Source","Season.Type"
"518","Boozer","Boozer, Carlos","NBA","UTA","2010 playoffs",4.5,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"537","Stoudemire","Stoudemire, Amare","NBA","PHX","2010 playoffs",4,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"551","Williams","Williams, Shelden","NBA","BOS","2010 playoffs",4.51,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"552","Powe","Powe, Leon","NBA","CLE","2010 playoffs",4.01,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"553","Rondo","Rondo, Rajon","NBA","BOS","2010 playoffs",1,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"555","Morrison","Morrison, Adam","NBA","LAL","2010 playoffs",2.5,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"558","Sefolosha","Sefolosha, Thabo","NBA","OKC","2010 playoffs",2.01,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"559","Thomas","Thomas, Tyrus","NBA","CHA","2010 playoffs",4,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"560","Brown","Brown, Shannon","NBA","LAL","2010 playoffs",1.99,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"561","Gibson","Gibson, Daniel","NBA","CLE","2010 playoffs",1.5,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"563","Barea","Barea, Jose","NBA","DAL","2010 playoffs",1.02,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"565","Diawara","Diawara, Yakhouba","NBA","MIA","2010 playoffs",3.01,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"575","Farmar","Farmar, Jordan","NBA","LAL","2010 playoffs",1.01,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"597","Balkman","Balkman, Renaldo","NBA","DEN","2010 playoffs",4.02,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"599","Redick","Redick, J.J.","NBA","ORL","2010 playoffs",1.99,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"606","Roy","Roy, Brandon","NBA","POR","2010 playoffs",2,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"607","Aldridge","Aldridge, LaMarcus","NBA","POR","2010 playoffs",4,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"614","Parker","Parker, Anthony","NBA","CLE","2010 playoffs",2,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"622","Mason","Mason, Roger","NBA","SAS","2010 playoffs",2,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"629","Millsap","Millsap, Paul","NBA","UTA","2010 playoffs",4,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"653","Amundson","Amundson, Louis","NBA","PHX","2010 playoffs",4.5,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"655","Morris","Morris, Randolph","NBA","ATL","2010 playoffs",4.49,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"660","Mahinmi","Mahinmi, Ian","NBA","SAS","2010 playoffs",5,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"661","Oden","Oden, Greg","NBA","POR","2010 playoffs",5,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"669","Fesenko","Fesenko, Kyrylo","NBA","UTA","2010 playoffs",5,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
