Year,unitid,Institution_Name,Sport,Cohort,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
1997-1998,218663,University of South Carolina-Columbia,Cross-country and/or track,Scholarship Awards,37,16,21,13,6,7,14,5,9,0,0,0,1,0,1,0,0,0,0,0,0,9,5,4
1997-1998,218663,University of South Carolina-Columbia,Football,Scholarship Awards,76,76,0,25,25,0,50,50,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,123961,University of Southern California,All other sports combined,Scholarship Awards,122,39,83,85,23,62,3,1,2,4,0,4,3,1,2,0,0,0,4,2,2,23,12,11
1997-1998,123961,University of Southern California,Baseball,Scholarship Awards,17,17,0,11,11,0,1,1,0,3,3,0,0,0,0,1,1,0,1,1,0,0,0,0
1997-1998,123961,University of Southern California,Basketball,Scholarship Awards,26,15,11,5,2,3,16,11,5,1,1,0,0,0,0,0,0,0,3,0,3,1,1,0
1997-1998,123961,University of Southern California,Cross-country and/or track,Scholarship Awards,15,11,4,1,1,0,5,5,0,0,0,0,0,0,0,1,0,1,0,0,0,8,5,3
1997-1998,123961,University of Southern California,Football,Scholarship Awards,84,84,0,29,29,0,47,47,0,3,3,0,2,2,0,1,1,0,2,2,0,0,0,0
1997-1998,230728,Utah State University,All other sports combined,Scholarship Awards,75,17,58,71,17,54,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,1
1997-1998,230728,Utah State University,Basketball,Scholarship Awards,13,13,0,5,5,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,230728,Utah State University,Cross-country and/or track,Scholarship Awards,55,23,32,50,20,30,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,2,0,2
1997-1998,230728,Utah State University,Football,Scholarship Awards,77,77,0,39,39,0,28,28,0,3,3,0,5,5,0,0,0,0,1,1,0,1,1,0
1997-1998,221999,Vanderbilt University,All other sports combined,Scholarship Awards,86,33,53,70,31,39,1,0,1,1,0,1,1,0,1,0,0,0,10,1,9,3,1,2
1997-1998,221999,Vanderbilt University,Baseball,Scholarship Awards,21,21,0,19,19,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1997-1998,221999,Vanderbilt University,Basketball,Scholarship Awards,27,13,14,14,7,7,12,5,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1997-1998,221999,Vanderbilt University,Cross-country and/or track,Scholarship Awards,24,0,24,16,0,16,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0
1997-1998,221999,Vanderbilt University,Football,Scholarship Awards,91,91,0,38,38,0,50,50,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0
