Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1991-1992,155399,Kansas State University,Bachelor's degree,Engineering,'14.0000',339,290,49,302,258,44,3,2,1,3,3,0,13,9,4,0,0,0,0,0,0,18,18,0
1991-1992,155399,Kansas State University,Bachelor's degree,Engineering-Related Technologies,'15.0000',81,75,6,78,72,6,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0
1991-1992,155399,Kansas State University,Bachelor's degree,English Language and Literature/Letters,'23.0000',24,8,16,23,8,15,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1991-1992,155399,Kansas State University,Bachelor's degree,Foreign Languages and Literatures,'16.0000',24,4,20,20,3,17,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,1,1,0
1991-1992,155399,Kansas State University,Bachelor's degree,Health Professions and Related Sciences,'51.0000',45,10,35,41,8,33,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,1,0,1
1991-1992,155399,Kansas State University,Bachelor's degree,Home Economics,'19.0000',120,4,116,114,3,111,1,1,0,0,0,0,1,0,1,2,0,2,0,0,0,2,0,2
1991-1992,155399,Kansas State University,Bachelor's degree,Liberal/General Studies and Humanities,'24.0000',5,2,3,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-1992,155399,Kansas State University,Bachelor's degree,Mathematics,'27.0000',25,15,10,21,13,8,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,1,0,1
1991-1992,155399,Kansas State University,Bachelor's degree,Multi/Interdisciplinary Studies,'30.0000',25,12,13,25,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-1992,155399,Kansas State University,Bachelor's degree,Parks- Recreation- Leisure and Fitness,'31.0000',30,21,9,30,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-1992,155399,Kansas State University,Bachelor's degree,Philosophy and Religion,'38.0000',5,5,0,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-1992,155399,Kansas State University,Bachelor's degree,Physical Sciences,'40.0000',21,16,5,18,13,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-1992,155399,Kansas State University,Bachelor's degree,Psychology,'42.0000',80,22,58,74,21,53,1,0,1,3,0,3,2,1,1,0,0,0,0,0,0,0,0,0
1991-1992,155399,Kansas State University,Bachelor's degree,Public Administration and Services,'44.0000',36,3,33,34,3,31,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-1992,155399,Kansas State University,Bachelor's degree,Social Sciences and History,'45.0000',255,159,96,233,145,88,15,8,7,2,2,0,3,2,1,0,0,0,0,0,0,2,2,0
1991-1992,155399,Kansas State University,Bachelor's degree,Visual and Performing Arts,'50.0000',112,26,86,104,23,81,0,0,0,2,1,1,2,1,1,1,0,1,0,0,0,3,1,2
1991-1992,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Agricultural Business and Production,'01.0000',20,15,5,19,15,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1991-1992,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Agricultural Sciences,'02.0000',27,19,8,25,18,7,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1991-1992,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Architecture and Related Programs,'04.0000',101,60,41,87,55,32,4,0,4,1,0,1,1,1,0,1,0,1,0,0,0,7,4,3
1991-1992,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Area- Ethnic and Cultural Studies,'05.0000',4,1,3,3,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1991-1992,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Biological Sciences/Life Sciences,'26.0000',139,79,60,104,65,39,15,3,12,1,1,0,15,7,8,0,0,0,1,1,0,3,2,1
1991-1992,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Business Management and Admin. Services,'52.0000',587,323,264,508,286,222,39,14,25,8,5,3,18,7,11,3,3,0,0,0,0,11,8,3
1991-1992,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Communications,'09.0000',175,62,113,157,57,100,14,4,10,2,1,1,1,0,1,1,0,1,0,0,0,0,0,0
1991-1992,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Computer and Information Sciences,'11.0000',30,22,8,24,17,7,1,1,0,1,1,0,2,2,0,0,0,0,0,0,0,2,1,1
