"","Year","Sport","ID_School","Males","Females","White.Males","White.Females","Black.Males","Black.Females","Hispanic.Males","Hispanic.Females"
"320","1998-1999","Baseball","BAMA",26,0,23,0,2,0,1,0
"321","1998-1999","Basketball","BAMA",13,14,3,3,10,10,0,0
"322","1998-1999","Cross-country and/or track","BAMA",16,20,5,9,8,6,0,0
"323","1998-1999","Football","BAMA",90,0,25,0,64,0,1,0
"324","1998-1999","All other sports combined","BOS.ST",6,15,6,11,0,0,0,1
"325","1998-1999","Basketball","BOS.ST",3,3,1,1,2,2,0,0
"326","1998-1999","Cross-country and/or track","BOS.ST",6,3,4,1,0,0,0,0
"327","1998-1999","Football","BOS.ST",20,0,8,0,7,0,0,0
"328","1998-1999","All other sports combined","CLEM",68,67,52,56,3,1,1,1
"329","1998-1999","Baseball","CLEM",35,0,34,0,1,0,0,0
"330","1998-1999","Basketball","CLEM",13,15,2,3,8,10,0,0
"331","1998-1999","Cross-country and/or track","CLEM",28,26,17,15,7,9,0,0
"332","1998-1999","Football","CLEM",85,0,32,0,53,0,0,0
"333","1998-1999","All other sports combined","DUKE",56,85,48,77,4,3,0,0
"334","1998-1999","Baseball","DUKE",19,0,17,0,1,0,1,0
"335","1998-1999","Basketball","DUKE",11,14,4,8,6,4,0,0
"336","1998-1999","Football","DUKE",82,0,48,0,32,0,0,0
"337","1998-1999","All other sports combined","FLA",37,101,25,82,1,7,3,4
"338","1998-1999","Baseball","FLA",32,0,26,0,1,0,4,0
"339","1998-1999","Basketball","FLA",12,12,5,2,7,9,0,0
"340","1998-1999","Cross-country and/or track","FLA",38,32,25,16,13,11,0,1
"341","1998-1999","Football","FLA",86,0,26,0,58,0,0,0
"342","1998-1999","All other sports combined","FSU",26,75,13,48,2,7,0,5
"343","1998-1999","Baseball","FSU",28,0,25,0,0,0,3,0
"344","1998-1999","Basketball","FSU",6,14,1,9,5,5,0,0
"345","1998-1999","Cross-country and/or track","FSU",19,27,11,9,6,13,0,0
"346","1998-1999","Football","FSU",81,0,17,0,63,0,0,0
"347","1998-1999","All other sports combined","GTOWN",41,50,40,37,1,2,0,4
"348","1998-1999","Baseball","GTOWN",1,0,1,0,0,0,0,0
"349","1998-1999","Basketball","GTOWN",11,13,0,6,8,6,0,0
"350","1998-1999","Cross-country and/or track","GTOWN",20,22,12,14,7,7,0,0
"351","1998-1999","All other sports combined","KAN.ST",13,69,13,66,0,0,0,1
"352","1998-1999","Baseball","KAN.ST",37,0,32,0,3,0,2,0
"353","1998-1999","Basketball","KAN.ST",15,14,6,10,9,4,0,0
"354","1998-1999","Cross-country and/or track","KAN.ST",25,25,18,14,7,9,0,0
"355","1998-1999","Football","KAN.ST",79,0,33,0,43,0,2,0
"356","1998-1999","All other sports combined","LOUIS",67,81,44,65,5,7,1,1
"357","1998-1999","Baseball","LOUIS",25,0,21,0,0,0,2,0
"358","1998-1999","Basketball","LOUIS",13,13,4,7,9,5,0,0
"359","1998-1999","Cross-country and/or track","LOUIS",8,13,6,9,2,3,0,0
"360","1998-1999","Football","LOUIS",71,0,22,0,47,0,2,0
"361","1998-1999","All other sports combined","LSU",35,92,25,73,0,3,1,0
"362","1998-1999","Baseball","LSU",26,0,24,0,2,0,0,0
"363","1998-1999","Basketball","LSU",13,13,2,2,11,10,0,0
"364","1998-1999","Cross-country and/or track","LSU",18,21,7,3,4,12,0,0
"365","1998-1999","Football","LSU",85,0,24,0,60,0,0,0
"366","1998-1999","All other sports combined","ND",77,104,63,96,2,1,2,3
"367","1998-1999","Baseball","ND",27,0,26,0,0,0,1,0
"368","1998-1999","Basketball","ND",12,11,8,5,3,6,0,0
"369","1998-1999","Cross-country and/or track","ND",22,15,16,10,4,2,1,0
"370","1998-1999","Football","ND",85,0,34,0,48,0,0,0
"371","1998-1999","All other sports combined","NEB",74,130,42,92,2,5,7,1
"372","1998-1999","Baseball","NEB",32,0,26,0,0,0,0,0
"373","1998-1999","Basketball","NEB",15,16,6,11,9,4,0,0
"374","1998-1999","Cross-country and/or track","NEB",39,35,26,25,9,5,0,0
"375","1998-1999","Football","NEB",96,0,56,0,35,0,2,0
"376","1998-1999","All other sports combined","NWST",56,109,48,96,2,5,0,1
"377","1998-1999","Baseball","NWST",21,0,20,0,0,0,1,0
"378","1998-1999","Basketball","NWST",13,13,8,10,3,2,0,1
"379","1998-1999","Football","NWST",78,0,43,0,33,0,1,0
"380","1998-1999","All other sports combined","OK",58,81,43,58,3,5,4,5
"381","1998-1999","Baseball","OK",23,0,19,0,0,0,1,0
"382","1998-1999","Basketball","OK",13,15,2,4,8,6,0,0
"383","1998-1999","Cross-country and/or track","OK",19,28,5,13,7,6,1,0
"384","1998-1999","Football","OK",87,0,29,0,54,0,1,0
