ID_Sport,ID_School,Season,Number,Player,Player,First_Name,Last_Name,Position,Height,Weight,Class,Experience,Hometown/Prior_School,Player_URL
MBBALL,UF,2010-2011,14,Adam Allen,Adam Allen,Adam,Allen,F,"6' 8""",222,RSJr.,1L,"Milton, Fla./Milton",http://gatorzone.com/basketball/men/bios.php?player_id=15
MBBALL,UF,2010-2011,1,Kenny Boynton,Kenny Boynton,Kenny,Boynton,G,"6' 2""",183,So.,1L,"Pompano Beach, Fla./American Heritage",http://gatorzone.com/basketball/men/bios.php?player_id=30
MBBALL,UF,2010-2011,34,Cody Larson,Cody Larson,Cody,Larson,F,"6' 9""",225,Fr.,HS,"Sioux Falls, S.D./Roosevelt",http://gatorzone.com/basketball/men/bios.php?player_id=33
MBBALL,UF,2010-2011,32,Vernon Macklin,Vernon Macklin,Vernon,Macklin,C,"6' 10""",240,RSSr.,1L,"Portsmouth, Va./Georgetown",http://gatorzone.com/basketball/men/bios.php?player_id=25
MBBALL,UF,2010-2011,20,Kyle McClanahan,Kyle McClanahan,Kyle,McClanahan,G,"6' 1""",185,Jr.,2L,"Maitland, Fla./Winter Park",http://gatorzone.com/basketball/men/bios.php?player_id=26
MBBALL,UF,2010-2011,33,Erik Murphy,Erik Murphy,Erik,Murphy,F,"6' 10""",229,So.,1L,"South Kingstown, R.I./St. Mark’s (Mass.)",http://gatorzone.com/basketball/men/bios.php?player_id=31
MBBALL,UF,2010-2011,25,Chandler Parsons,Chandler Parsons,Chandler,Parsons,F,"6' 10""",215,Sr.,3L,"Casselberry, Fla./Lake Howell",http://gatorzone.com/basketball/men/bios.php?player_id=19
MBBALL,UF,2010-2011,24,Casey Prather,Casey Prather,Casey,Prather,G/F,"6' 6""",195,Fr.,HS,"Jackson, Tenn./North Side",http://gatorzone.com/basketball/men/bios.php?player_id=34
MBBALL,UF,2010-2011,3,Mike Rosario,Mike Rosario,Mike,Rosario,G,"6' 3""",180,RSJr.,TR,"Jersey City, N.J./Rutgers",http://gatorzone.com/basketball/men/bios.php?player_id=35
MBBALL,UF,2010-2011,23,Alex Tyus,Alex Tyus,Alex,Tyus,F,"6' 8""",220,Sr.,3L,"St. Louis, Mo./Harmony Community",http://gatorzone.com/basketball/men/bios.php?player_id=21
MBBALL,UF,2010-2011,11,Erving Walker,Erving Walker,Erving,Walker,G,"5' 8""",171,Jr.,2L,"Brooklyn, N.Y./Christ the King",http://gatorzone.com/basketball/men/bios.php?player_id=29
MBBALL,UF,2010-2011,5,Scottie Wilbekin,Scottie Wilbekin,Scottie,Wilbekin,G,"6' 2""",175,Fr.,HS,"Gainesville, Fla./The Rock",http://gatorzone.com/basketball/men/bios.php?player_id=36
MBBALL,UF,2010-2011,15,Will Yeguete,Will Yeguete,Will,Yeguete,F,"6' 7""",210,Fr.,HS,"Bourdeaux, France/Florida Air Academy",http://gatorzone.com/basketball/men/bios.php?player_id=37
MBBALL,UF,2010-2011,4,Patric Young,Patric Young,Patric,Young,F/C,"6' 9""",245,Fr.,HS,"Jacksonville, Fla./Providence (H.S.)",http://gatorzone.com/basketball/men/bios.php?player_id=38
MBBALL,UF,2011-2012,23,Bradley Beal,Bradley Beal,Bradley,Beal,G,"6' 3""",207,Fr.,HS,"St. Louis, Mo./Chaminade Prep",http://gatorzone.com/basketball/men/bios.php?player_id=39
MBBALL,UF,2011-2012,1,Kenny Boynton,Kenny Boynton,Kenny,Boynton,G,"6' 2""",189,Jr.,2L,"Pompano Beach, Fla./American Heritage",http://gatorzone.com/basketball/men/bios.php?player_id=30
MBBALL,UF,2011-2012,34,Cody Larson,Cody Larson,Cody,Larson,F/C,"6' 9""",231,RSFr.,SQ,"Sioux Falls, S.D./Roosevelt",http://gatorzone.com/basketball/men/bios.php?player_id=33
MBBALL,UF,2011-2012,33,Erik Murphy,Erik Murphy,Erik,Murphy,F/C,"6' 10""",230,Jr.,2L,"South Kingstown, R.I./St. Mark’s (Mass.)",http://gatorzone.com/basketball/men/bios.php?player_id=31
MBBALL,UF,2011-2012,35,Walter Pitchford V,Walter Pitchford V,Walter,Pitchford V,F,"6' 10""",221,Fr.,HS,"Grand Rapids, Mich./Summit Christian Academy",http://gatorzone.com/basketball/men/bios.php?player_id=40
MBBALL,UF,2011-2012,24,Casey Prather,Casey Prather,Casey,Prather,G/F,"6' 6""",212,So.,1L,"Jackson, Tenn./North Side",http://gatorzone.com/basketball/men/bios.php?player_id=34
MBBALL,UF,2011-2012,3,Mike Rosario,Mike Rosario,Mike,Rosario,G,"6' 3""",191,RSJr.,TR,"Jersey City, N.J./Rutgers",http://gatorzone.com/basketball/men/bios.php?player_id=35
MBBALL,UF,2011-2012,11,Erving Walker,Erving Walker,Erving,Walker,G,"5' 8""",177,Sr.,3L,"Brooklyn, N.Y./Christ the King",http://gatorzone.com/basketball/men/bios.php?player_id=29
MBBALL,UF,2011-2012,5,Scottie Wilbekin,Scottie Wilbekin,Scottie,Wilbekin,G,"6' 2""",178,So.,1L,"Gainesville, Fla./The Rock",http://gatorzone.com/basketball/men/bios.php?player_id=36
MBBALL,UF,2011-2012,15,Will Yeguete,Will Yeguete,Will,Yeguete,F,"6' 7""",222,So.,1L,"Bourdeaux, France/Florida Air Academy",http://gatorzone.com/basketball/men/bios.php?player_id=37
MBBALL,UF,2011-2012,4,Patric Young,Patric Young,Patric,Young,F/C,"6' 9""",247,So.,1L,"Jacksonville, Fla./Providence (H.S.)",http://gatorzone.com/basketball/men/bios.php?player_id=38
MBBALL,UF,2012-2013,1,Kenny Boynton,Kenny Boynton,Kenny,Boynton,G,"6' 2""",190,Sr.,3L,"Pompano Beach, Fla./American Heritage",http://gatorzone.com/basketball/men/bios.php?player_id=30
MBBALL,UF,2012-2013,42,Billy Donovan,Billy Donovan,Billy,Donovan,G,"6' 2""",203,Jr.,TR,"Gainesville, Fla./Catholic University",http://gatorzone.com/basketball/men/bios.php?player_id=48
MBBALL,UF,2012-2013,10,Dorian Finney-Smith,Dorian Finney-Smith,Dorian,Finney-Smith,F,"6' 8""",205,So.,TR,"Portsmouth, Va./Virginia Tech",http://gatorzone.com/basketball/men/bios.php?player_id=47
MBBALL,UF,2012-2013,20,Michael Frazier II,Michael Frazier II,Michael,Frazier II,G,"6' 4""",200,Fr.,HS,"Tampa, Fla./Montverde Academy",http://gatorzone.com/basketball/men/bios.php?player_id=45
MBBALL,UF,2012-2013,12,Dillon Graham,Dillon Graham,Dillon,Graham,G,"6' 4""",179,Fr.,HS,"Orlando, Fla./First Academy",http://gatorzone.com/basketball/men/bios.php?player_id=44
MBBALL,UF,2012-2013,2,Damontre Harris,Damontre Harris,Damontre,Harris,F/C,"6' 10""",228,Jr.,TR,"Fayetteville, N.C./South Carolina",http://gatorzone.com/basketball/men/bios.php?player_id=46
