CombineYear,Player,ReconciledCollege,Position,gradeNFL,Height.numeric,Weight,fortyYardDash,benchPress,verticalJump,broadJump,twentyYardShuttle,threeConeDrill,Wonderlic,Division,Conference,College
2011,Allen Reisner,University of Iowa,TE,NA,6.1666642,248,4.9,14,28,108,4.59,7.31,NA,Division I,Big Ten,Iowa
2007,Alonzo Coleman,Hampton University,RB,NA,5.833331,207,4.49,27,NA,120,NA,NA,NA,Division I-AA,Mid-Eastern,Hampton
2002,Alonzo Cunningham,University of Iowa,OG,NA,6.3333308,316,5.46,NA,24,98,4.73,8.52,NA,Division I,Big Ten,Iowa
2003,Alonzo Jackson,Florida State University,DE,NA,6.3333308,266,4.86,14,37,114,4.5,7.69,NA,Division I,Atlantic Coast,Florida State
1999,Alphonso Collins,East Carolina University,TE,NA,6.1666642,281,4.83,20,32.5,108,4.41,7.37,NA,Division I,Big East,East Carolina
2005,Alphonso Hodge,Miami University,CB,NA,5.9166643,203,4.44,20,34,NA,3.99,NA,NA,Division I,Mid-American,Miami of Ohio
2009,Alphonso Smith,Wake Forest University,CB,NA,5.7499977,193,4.47,13,34,125,4.38,7.09,NA,Division I,Atlantic Coast,Wake Forest
2010,Alric Arnett,University of West Virginia,WR,NA,6.1666642,188,4.52,NA,40,122,4.43,7.03,NA,Division I,Big 12,West Virginia
2012,Alshon Jeffery,University of South Carolina,WR,NA,6.2499975,216,NA,NA,NA,NA,NA,NA,NA,Division I,Southeastern,South Carolina
2010,Alterraun Verner,"University of California, Los Angeles",CB,NA,5.833331,189,4.52,11,32,116,4.12,6.7,NA,Division I,Pacific-12,UCLA
1999,Alton Weaver,Oklahoma State Universityâ€“Stillwater,DE,NA,6.3333308,296,5.02,17,29.5,106,4.44,7.62,NA,Division I,Big 12,Oklahoma State
2013,Alvin Bailey,University of Arkansas,OG,67,6.2499975,312,4.95,27,NA,NA,NA,NA,NA,Division I,Southeastern,Arkansas
2008,Alvin Bowen,Iowa State University,OLB,NA,6.0833309,223,4.79,15,34,119,4.3,7.21,NA,Division I,Big 12,Iowa State
2000,Alvin McKinley,Mississippi State University,DT,NA,6.3333308,289,5.09,22,27.5,102,4.61,7.73,NA,Division I,Southeastern,Mississippi State
2005,Alvin Pearman,University of Virginia,RB,NA,5.833331,208,4.63,24,34,114,4.1,7.07,NA,Division I,Atlantic Coast,Virginia
2010,Amari Spievey,University of Iowa,CB,NA,5.9166643,195,4.52,NA,35,116,NA,NA,NA,Division I,Big Ten,Iowa
2012,Amini Silatolu,Midwestern State University,OG,NA,6.2499975,311,5.43,28,31,107,4.87,7.95,NA,Division II,Lone Star,Midwestern State
2007,Amobi Okoye,University of Louisville,DT,NA,6.1666642,302,5.07,29,30,111,NA,7.46,NA,Division I,Big East,Louisville
1999,Amos Zereoue,University of West Virginia,RB,NA,5.6666644,203,4.53,NA,NA,NA,4.09,NA,NA,Division I,Big 12,West Virginia
2002,Andra Davis,University of Florida,ILB,NA,6.0833309,244,4.77,20,31.5,112,NA,NA,NA,Division I,Southeastern,Florida
2004,Andrae Thurman,Southern Oregon University,WR,NA,5.9166643,192,4.54,NA,34.5,121,4.33,7.32,NA,NAIA,Cascade Collegiate Conference,Southern Oregon
2012,Andre Branch,Clemson University,DE,NA,6.3333308,259,4.7,NA,32,120,4,7.19,NA,Division I,Atlantic Coast,Clemson
2009,Andre Brown,North Carolina State University,RB,NA,6.0833309,224,4.37,24,37,115,4.33,7.35,NA,Division I,Atlantic Coast,North Carolina State
2008,Andre Caldwell,University of Florida,WR,NA,6.0833309,204,4.35,NA,33,124,4.11,6.75,NA,Division I,Southeastern,Florida
2001,Andre Carter,University of California,DE,NA,6.4166641,249,4.84,20,38.5,132,4.24,NA,NA,Division I,Pacific-12,California
2010,Andre Dixon,University of Connecticut,RB,NA,6.0833309,205,4.56,NA,40,117,4.19,6.99,NA,Division I,Big East,Connecticut
2013,Andre Ellington,Clemson University,RB,79.7,5.75,199,4.61,NA,34,122,NA,NA,NA,Division I,Atlantic Coast,Clemson
2005,Andre Frazier,University of Cincinnati,DE,NA,6.4166641,234,4.66,19,38,124,4.12,7.09,NA,Division I,Big East,Cincinnati
2002,Andre Gurode,University of Colorado System,OG,NA,6.4166641,316,5.34,NA,30.5,100,5.05,8.15,NA,Division I,Pacific-12,Colorado
2006,Andre Hall,University of South Florida,RB,NA,5.7499977,208,4.4,18,33,113,NA,7.39,NA,Division I,Big East,South Florida
