Pick,Round,Player,Position,DraftFranchise,CurrentDayFranchise,DBPediaCollege_Name,Conference,Division,FormalStatedMajor,CollegeMajor,DraftYear,gradeNFL,Height.numeric,Weight,fortyYardDash,benchPress,verticalJump,broadJump,twentyYardShuttle,threeConeDrill,Wonderlic,DBPediaURI_College,DBPediaData_College,Conference.1,DBPediaURI_Conference,DBPediaData_Conference,DBPediaURI_Player,DBPediaData_Player,DBpediaURI_Position,DBpediaData_Position,DBPediaURI_DraftYear,DBPediaData_DraftYear
36,2,Darius Slay,CB,Detroit Lions,Detroit Lions,Mississippi State University,Southeastern Conference,Division I,Undisclosed,Undeclared/Undisclosed,2013,71,6,192,4.36,14,35.5,124,4.21,6.9,NA,http://live.dbpedia.org/resource/Mississippi_State_University,http://live.dbpedia.org/data/Mississippi_State_University.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Darius_Slay,live.dbpedia.org/data/Darius_Slay.json,live.dbpedia.org/resource/Cornerback,live.dbpedia.org/data/Cornerback.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
37,2,Giovani Bernard,RB,Cincinnati Bengals,Cincinnati Bengals,University of North Carolina at Chapel Hill,Atlantic Coast Conference,Division I,Exercise and Sport Science,"Physical Therapy, Sports Science, Kinesiology",2013,84,5.67,202,4.53,19,33.5,122,4.12,6.91,NA,http://live.dbpedia.org/resource/University_of_North_Carolina_at_Chapel_Hill,http://live.dbpedia.org/data/University_of_North_Carolina_at_Chapel_Hill.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,live.dbpedia.org/resource/Giovani_Bernard,live.dbpedia.org/data/Giovani_Bernard.json,live.dbpedia.org/resource/Running_back,live.dbpedia.org/data/Running_back.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
38,2,Manti Te'o,ILB,San Diego Chargers,San Diego Chargers,Notre Dame University,NCAA Division I FBS independent schools,Division I,Graphic Design,"Industrial, and Graphic Design",2013,87.5,6.08,241,4.82,NA,33,113,4.27,7.13,NA,http://live.dbpedia.org/resource/University_of_Notre_Dame,http://live.dbpedia.org/data/University_of_Notre_Dame.json,NCAA Division I FBS independent schools,http://live.dbpedia.org/resource/NCAA_Division_I_FBS_independent_schools,http://live.dbpedia.org/data/NCAA_Division_I_FBS_independent_schools.json,live.dbpedia.org/resource/Manti_Te%27o,live.dbpedia.org/data/Manti_Te%27o.json,live.dbpedia.org/resource/Linebacker,live.dbpedia.org/data/Linebacker.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
39,2,Geno Smith,QB,New York Jets,New York Jets,West Virginia University,Big 12 Conference,Division I,English,English,2013,91,6.17,218,4.59,NA,33.5,124,NA,NA,NA,http://live.dbpedia.org/resource/West_Virginia_University,http://live.dbpedia.org/data/West_Virginia_University.json,Big 12 Conference,http://live.dbpedia.org/resource/Big_12_Conference,http://live.dbpedia.org/data/Big_12_Conference.json,live.dbpedia.org/resource/Geno_Smith,live.dbpedia.org/data/Geno_Smith.json,live.dbpedia.org/resource/Quarterback,live.dbpedia.org/data/Quarterback.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
40,2,Cornellius Carradine,DE,San Francisco 49ers,San Francisco 49ers,Florida State University,Atlantic Coast Conference,Division I,Undisclosed,Undeclared/Undisclosed,2013,85.4,6.33,276,4.75,28,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/Florida_State_University,http://live.dbpedia.org/data/Florida_State_University.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,live.dbpedia.org/resource/Cornellius_Carradine,live.dbpedia.org/data/Cornellius_Carradine.json,live.dbpedia.org/resource/Defensive_end,live.dbpedia.org/data/Defensive_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
41,2,Robert Woods,WR,Buffalo Bills,Buffalo Bills,University of Southern California,Pacific-12 Conference,Division I,"Policy, Planning, and Development",Political Science,2013,83.1,6,201,4.51,14,33.5,117,4.47,7.15,NA,http://live.dbpedia.org/resource/University_of_Southern_California,http://live.dbpedia.org/data/University_of_Southern_California.json,Pacific-12 Conference,http://live.dbpedia.org/resource/Pacific-12_Conference,http://live.dbpedia.org/data/Pacific-12_Conference.json,live.dbpedia.org/resource/Robert_Woods_(wide_receiver),live.dbpedia.org/data/Robert_Woods_(wide_receiver).json,live.dbpedia.org/resource/Wide_receiver,live.dbpedia.org/data/Wide_receiver.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
42,2,Menelik Watson,OT,Oakland Raiders,Oakland Raiders,Florida State University,Atlantic Coast Conference,Division I,Undisclosed,Undeclared/Undisclosed,2013,76,6.42,310,5.29,NA,24.5,103,5.01,8.31,NA,http://live.dbpedia.org/resource/Florida_State_University,http://live.dbpedia.org/data/Florida_State_University.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,live.dbpedia.org/resource/Menelik_Watson,live.dbpedia.org/data/Menelik_Watson.json,live.dbpedia.org/resource/Tackle_(American_football)#Offensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Offensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
43,2,Johnthan Banks,CB,Tampa Bay Buccaneers,Tampa Bay Buccaneers,Mississippi State University,Southeastern Conference,Division I,Undisclosed,Undeclared/Undisclosed,2013,84.4,6.17,185,4.61,10,34,125,4.27,6.97,NA,http://live.dbpedia.org/resource/Mississippi_State_University,http://live.dbpedia.org/data/Mississippi_State_University.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Johnthan_Banks,live.dbpedia.org/data/Johnthan_Banks.json,live.dbpedia.org/resource/Cornerback,live.dbpedia.org/data/Cornerback.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
44,2,Kawann Short,DT,Carolina Panthers,Carolina Panthers,Purdue University,Big Ten Conference,Division I,Organizational Leadership and Supervision,"Business Administration, Management",2013,80.6,6.25,299,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/Purdue_University,http://live.dbpedia.org/data/Purdue_University.json,Big Ten Conference,http://live.dbpedia.org/resource/Big_Ten_Conference,http://live.dbpedia.org/data/Big_Ten_Conference.json,live.dbpedia.org/resource/Kawann_Short,live.dbpedia.org/data/Kawann_Short.json,live.dbpedia.org/resource/Tackle_(American_football)#Defensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Defensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
45,2,Kevin Minter,ILB,Arizona Cardinals,Arizona Cardinals,Louisiana State University,Southeastern Conference,Division I,Sport Administration,"Leisure, Sport, Recreation Studies and Management",2013,84,6,246,4.81,25,33,119,NA,NA,NA,http://live.dbpedia.org/resource/Louisiana_State_University,http://live.dbpedia.org/data/Louisiana_State_University.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Kevin_Minter,live.dbpedia.org/data/Kevin_Minter.json,live.dbpedia.org/resource/Linebacker,live.dbpedia.org/data/Linebacker.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
46,2,Kiko Alonso,ILB,Buffalo Bills,Buffalo Bills,University of Oregon,Pacific-12 Conference,Division I,Undeclared,Undeclared/Undisclosed,2013,67.1,6.25,238,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/University_of_Oregon,http://live.dbpedia.org/data/University_of_Oregon.json,Pacific-12 Conference,http://live.dbpedia.org/resource/Pacific-12_Conference,http://live.dbpedia.org/data/Pacific-12_Conference.json,live.dbpedia.org/resource/Kiko_Alonso,live.dbpedia.org/data/Kiko_Alonso.json,live.dbpedia.org/resource/Linebacker,live.dbpedia.org/data/Linebacker.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
47,2,Gavin Escobar,TE,Dallas Cowboys,Dallas Cowboys,San Diego State University,Mountain West Conference,Division I,Public Administration,Public Policy,2013,79,6.5,254,4.84,NA,32,114,4.31,7.07,NA,http://live.dbpedia.org/resource/San_Diego_State_University,http://live.dbpedia.org/data/San_Diego_State_University.json,Mountain West Conference,http://live.dbpedia.org/resource/Mountain_West_Conference,http://live.dbpedia.org/data/Mountain_West_Conference.json,live.dbpedia.org/resource/Gavin_Escobar,live.dbpedia.org/data/Gavin_Escobar.json,live.dbpedia.org/resource/Tight_end,live.dbpedia.org/data/Tight_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
48,2,Le'Veon Bell,RB,Pittsburgh Steelers,Pittsburgh Steelers,Michigan State University,Big Ten Conference,Division I,Sociology,Sociology,2013,71.2,6.08,230,4.6,24,31.5,118,4.24,6.75,NA,http://live.dbpedia.org/resource/Michigan_State_University,http://live.dbpedia.org/data/Michigan_State_University.json,Big Ten Conference,http://live.dbpedia.org/resource/Big_Ten_Conference,http://live.dbpedia.org/data/Big_Ten_Conference.json,live.dbpedia.org/resource/Le%27Veon_Bell,live.dbpedia.org/data/Le%27Veon_Bell.json,live.dbpedia.org/resource/Running_back,live.dbpedia.org/data/Running_back.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
49,2,Johnathan Hankins,DT,New York Giants,New York Giants,Ohio State University,Big Ten Conference,Division I,Criminology,Criminal Justice,2013,88.6,6.25,320,5.31,NA,26,104,4.61,7.59,NA,http://live.dbpedia.org/resource/Ohio_State_University,http://live.dbpedia.org/data/Ohio_State_University.json,Big Ten Conference,http://live.dbpedia.org/resource/Big_Ten_Conference,http://live.dbpedia.org/data/Big_Ten_Conference.json,live.dbpedia.org/resource/Johnathan_Hankins,live.dbpedia.org/data/Johnathan_Hankins.json,live.dbpedia.org/resource/Tackle_(American_football)#Defensive_tackle,live.dbpedia.org/data/Tackle_(American_football)#Defensive_tackle.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
50,2,Jon Bostic,ILB,Chicago Bears,Chicago Bears,University of Florida,Southeastern Conference,Division I,Undisclosed,Undeclared/Undisclosed,2013,62.2,6.08,245,4.61,22,32.5,118,4.24,6.99,NA,http://live.dbpedia.org/resource/University_of_Florida,http://live.dbpedia.org/data/University_of_Florida.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Jon_Bostic,live.dbpedia.org/data/Jon_Bostic.json,live.dbpedia.org/resource/Linebacker,live.dbpedia.org/data/Linebacker.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
51,2,David Amerson,CB,Washington Redskins,Washington Redskins,North Carolina State University,Atlantic Coast Conference,Division I,Undisclosed,Undeclared/Undisclosed,2013,74.4,6.08,205,4.44,15,35.5,127,NA,NA,NA,http://live.dbpedia.org/resource/North_Carolina_State_University,http://live.dbpedia.org/data/North_Carolina_State_University.json,Atlantic Coast Conference,http://live.dbpedia.org/resource/Atlantic_Coast_Conference,http://live.dbpedia.org/data/Atlantic_Coast_Conference.json,live.dbpedia.org/resource/David_Amerson,live.dbpedia.org/data/David_Amerson.json,live.dbpedia.org/resource/Cornerback,live.dbpedia.org/data/Cornerback.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
52,2,Jamie Collins,OLB,New England Patriots,New England Patriots,University of Southern Mississippi,Conference USA,Division I,Undisclosed,Undeclared/Undisclosed,2013,68.8,6.25,250,4.64,19,41.5,139,4.32,7.1,NA,http://live.dbpedia.org/resource/University_of_Southern_Mississippi,http://live.dbpedia.org/data/University_of_Southern_Mississippi.json,Conference USA,http://live.dbpedia.org/resource/Conference_USA,http://live.dbpedia.org/data/Conference_USA.json,live.dbpedia.org/resource/Jamie_Collins_(American_football),live.dbpedia.org/data/Jamie_Collins_(American_football).json,live.dbpedia.org/resource/Linebacker,live.dbpedia.org/data/Linebacker.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
53,2,Margus Hunt,DE,Cincinnati Bengals,Cincinnati Bengals,Southern Methodist University,Conference USA,Division I,Business,"Business Administration, Management",2013,82.4,6.67,277,4.6,38,34.5,121,4.51,7.07,NA,http://live.dbpedia.org/resource/Southern_Methodist_University,http://live.dbpedia.org/data/Southern_Methodist_University.json,Conference USA,http://live.dbpedia.org/resource/Conference_USA,http://live.dbpedia.org/data/Conference_USA.json,live.dbpedia.org/resource/Margus_Hunt,live.dbpedia.org/data/Margus_Hunt.json,live.dbpedia.org/resource/Defensive_end,live.dbpedia.org/data/Defensive_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
54,2,Jamar Taylor,CB,Miami Dolphins,Miami Dolphins,Boise State University,Mountain West Conference,Division I,Communication,Communications,2013,79.5,5.92,192,4.39,22,35,127,4.06,6.82,NA,http://live.dbpedia.org/resource/Boise_State_University,http://live.dbpedia.org/data/Boise_State_University.json,Mountain West Conference,http://live.dbpedia.org/resource/Mountain_West_Conference,http://live.dbpedia.org/data/Mountain_West_Conference.json,live.dbpedia.org/resource/Jamar_Taylor,live.dbpedia.org/data/Jamar_Taylor.json,live.dbpedia.org/resource/Cornerback,live.dbpedia.org/data/Cornerback.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
55,2,Vance McDonald,TE,San Francisco 49ers,San Francisco 49ers,Rice University,Conference USA,Division I,Kinesiology,"Physical Therapy, Sports Science, Kinesiology",2013,76,6.33,267,4.69,31,33.5,119,4.53,7.08,NA,http://live.dbpedia.org/resource/Rice_University,http://live.dbpedia.org/data/Rice_University.json,Conference USA,http://live.dbpedia.org/resource/Conference_USA,http://live.dbpedia.org/data/Conference_USA.json,live.dbpedia.org/resource/Vance_McDonald,live.dbpedia.org/data/Vance_McDonald.json,live.dbpedia.org/resource/Tight_end,live.dbpedia.org/data/Tight_end.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
56,2,Arthur Brown,OLB,Baltimore Ravens,Baltimore Ravens,Kansas State University,Big 12 Conference,Division I,Social Sciences,Sociology,2013,90.3,6,241,4.62,NA,NA,116,NA,NA,NA,http://live.dbpedia.org/resource/Kansas_State_University,http://live.dbpedia.org/data/Kansas_State_University.json,Big 12 Conference,http://live.dbpedia.org/resource/Big_12_Conference,http://live.dbpedia.org/data/Big_12_Conference.json,live.dbpedia.org/resource/Arthur_Brown_(American_football),live.dbpedia.org/data/Arthur_Brown_(American_football).json,live.dbpedia.org/resource/Linebacker,live.dbpedia.org/data/Linebacker.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
57,2,D.J. Swearinger,SS,Houston Texans,Houston Texans,University of South Carolina,Southeastern Conference,Division I,Retailing,Retailing,2013,81.4,5.83,208,4.67,17,37,124,4.11,6.7,NA,http://live.dbpedia.org/resource/University_of_South_Carolina,http://live.dbpedia.org/data/University_of_South_Carolina.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/D._J._Swearinger,live.dbpedia.org/data/D._J._Swearinger.json,live.dbpedia.org/resource/Safety_(American_and_Cadian_football_position),live.dbpedia.org/data/Safety_(American_and_Cadian_football_position).json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
58,2,Montee Ball,RB,Denver Broncos,Denver Broncos,University of Wisconsin at Madison,Big Ten Conference,Division I,Sociology,Sociology,2013,75.6,5.83,214,4.66,15,32,118,4.4,6.88,NA,http://live.dbpedia.org/resource/University_of_Wisconsin%E2%80%93Madison,http://live.dbpedia.org/data/University_of_Wisconsin%E2%80%93Madison.json,Big Ten Conference,http://live.dbpedia.org/resource/Big_Ten_Conference,http://live.dbpedia.org/data/Big_Ten_Conference.json,live.dbpedia.org/resource/Montee_Ball,live.dbpedia.org/data/Montee_Ball.json,live.dbpedia.org/resource/Running_back,live.dbpedia.org/data/Running_back.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
59,2,Aaron Dobson,WR,New England Patriots,New England Patriots,Marshall University,Conference USA,Division I,Undisclosed,Undeclared/Undisclosed,2013,71.7,6.25,210,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/Marshall_University,http://live.dbpedia.org/data/Marshall_University.json,Conference USA,http://live.dbpedia.org/resource/Conference_USA,http://live.dbpedia.org/data/Conference_USA.json,live.dbpedia.org/resource/Aaron_Dobson,live.dbpedia.org/data/Aaron_Dobson.json,live.dbpedia.org/resource/Wide_receiver,live.dbpedia.org/data/Wide_receiver.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
60,2,Robert Alford,CB,Atlanta Falcons,Atlanta Falcons,Southeastern Louisiana University,Southland Conference,Division I-AA,Psychology,Psychology,2013,81,5.83,188,4.39,17,40,132,4.23,6.89,NA,http://live.dbpedia.org/resource/Southeastern_Louisiana_University,http://live.dbpedia.org/data/Southeastern_Louisiana_University.json,Southland Conference,http://live.dbpedia.org/resource/Southland_Conference,http://live.dbpedia.org/data/Southland_Conference.json,live.dbpedia.org/resource/Robert_Alford_(American_football),live.dbpedia.org/data/Robert_Alford_(American_football).json,live.dbpedia.org/resource/Cornerback,live.dbpedia.org/data/Cornerback.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
61,2,Eddie Lacy,RB,Green Bay Packers,Green Bay Packers,University of Alabama,Southeastern Conference,Division I,Undisclosed,Undeclared/Undisclosed,2013,NA,5.92,231,NA,NA,NA,NA,NA,NA,NA,http://live.dbpedia.org/resource/University_of_Alabama,http://live.dbpedia.org/data/University_of_Alabama.json,Southeastern Conference,http://live.dbpedia.org/resource/Southeastern_Conference,http://live.dbpedia.org/data/Southeastern_Conference.json,live.dbpedia.org/resource/Eddie_Lacy,live.dbpedia.org/data/Eddie_Lacy.json,live.dbpedia.org/resource/Running_back,live.dbpedia.org/data/Running_back.json,http://live.dbpedia.org/resource/2013_NFL_Draft,live.dbpedia.org/data/2013_NFL_Draft.json
