School_Label,ID_Race,CBB,CAB,A,BD,MA,DR,DPP,DO,Year
South Carolina,H,1,4,1,121,40,10,12,0,2010-2011
South Carolina,PI,0,0,0,14,1,0,0,0,2010-2011
South Carolina,O,0,3,0,54,167,65,0,0,2010-2011
South Carolina,UN,0,0,0,36,11,4,5,0,2010-2011
South Carolina,MI,0,2,0,129,30,6,10,0,2010-2011
South Carolina,C,13,92,4,3519,1225,171,338,0,2010-2011
Texas,IND,0,0,0,51,8,3,2,0,2010-2011
Texas,AS,0,0,0,1642,290,61,48,0,2010-2011
Texas,AA,0,0,0,353,76,22,26,0,2010-2011
Texas,H,0,0,0,1561,269,52,92,0,2010-2011
Texas,PI,0,0,0,1,1,0,0,0,2010-2011
Texas,O,0,0,0,357,627,289,4,0,2010-2011
Texas,UN,0,0,0,23,71,20,30,0,2010-2011
Texas,MI,0,0,0,37,7,1,1,0,2010-2011
