Season,League,Team,Arena,Capacity,"City, State/Province",Wikipedia_URL,Nickname,Address,Latitude-Longitude,Date Opened,Date Closed,Date Demolished,Year Renovated
1993-94,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
1992-93,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
1991-92,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
1990-91,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
1989-90,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
1988-89,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
1987-88,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
1986-87,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
1985-86,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
1984-85,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
