Year,unitid,Institution_Name,Sport,Cohort_Data,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
1999-2000,139959,University of Georgia,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,10,10,0,3,3,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,142115,Boise State University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),13,9,4,10,7,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,1
1999-2000,142115,Boise State University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,8,4,4,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1999-2000,142115,Boise State University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),8,2,6,7,2,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,142115,Boise State University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,0,5,4,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,142115,Boise State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,2,3,4,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,142115,Boise State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,142115,Boise State University,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),13,13,0,7,7,0,3,3,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0
1999-2000,142115,Boise State University,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,7,0,3,3,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
1999-2000,147767,Northwestern University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),32,10,22,29,8,21,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
1999-2000,147767,Northwestern University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,31,10,21,28,8,20,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
1999-2000,147767,Northwestern University,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,147767,Northwestern University,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,147767,Northwestern University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,3,4,3,0,3,3,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1999-2000,147767,Northwestern University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,1,4,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1999-2000,147767,Northwestern University,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),18,18,0,10,10,0,7,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1999-2000,147767,Northwestern University,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,15,15,0,9,9,0,5,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1999-2000,152080,University of Notre Dame,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),39,17,22,34,14,20,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,2,2,0
1999-2000,152080,University of Notre Dame,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,34,15,19,30,12,18,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,2,2,0
1999-2000,152080,University of Notre Dame,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,6,0,4,4,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1999-2000,152080,University of Notre Dame,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1999-2000,152080,University of Notre Dame,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,3,4,6,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,152080,University of Notre Dame,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,2,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,152080,University of Notre Dame,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,3,3,3,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1999-2000,152080,University of Notre Dame,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,6,3,3,3,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1999-2000,152080,University of Notre Dame,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),20,20,0,8,8,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1999-2000,152080,University of Notre Dame,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,11,11,0,3,3,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1999-2000,155399,Kansas State University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),12,5,7,12,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,155399,Kansas State University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,12,5,7,12,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
