,Sport,Governing_Body,Period,Value,Source,Variable,Value_Type
197,Men's College Basketball,NCAA Men's Basketball,2004,0.06,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
198,Men's Professional Golf,PGA,2004,0.04,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
199,Men's Professional Basketball,NBA,2004,0.07,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
200,Men's Professional Soccer,NA,2004,0.03,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
201,Men's Professional Tennis,USTA,2004,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
202,Not sure,NA,2004,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
203,Professional Football,NFL,2004,0.3,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
204,Swimming,NA,2004,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
205,Track & Field,NA,2004,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
206,Women's College Basketball,NCAA Women's Basketball,2004,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
207,Women's Professional Golf,LPGA,2004,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
208,Women's Professional Basketball,WNBA,2004,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
209,Women's Professional Soccer,NA,2004,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
210,Women's Professional Tennis,WTA,2004,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
211,Auto Racing,NA,2005,0.11,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
212,Professional Baseball,MLB,2005,0.14,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
213,Bowling,NA,2005,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
214,Boxing,NA,2005,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
215,College Football,NCAA Men's Football,2005,0.13,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
216,Professional Hockey,NHL,2005,0.05,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
217,Horse Racing,NA,2005,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
218,Men's College Basketball,NCAA Men's Basketball,2005,0.05,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
219,Men's Professional Golf,PGA,2005,0.04,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
220,Men's Professional Basketball,NBA,2005,0.04,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
221,Men's Professional Soccer,NA,2005,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
222,Men's Professional Tennis,USTA,2005,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
223,Not sure,NA,2005,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
224,Professional Football,NFL,2005,0.33,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
225,Swimming,NA,2005,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
226,Track & Field,NA,2005,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
227,Women's College Basketball,NCAA Women's Basketball,2005,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
228,Women's Professional Golf,LPGA,2005,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
229,Women's Professional Basketball,WNBA,2005,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
230,Women's Professional Soccer,NA,2005,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
231,Women's Professional Tennis,WTA,2005,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
232,Auto Racing,NA,2006,0.09,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
233,Professional Baseball,MLB,2006,0.14,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
234,Bowling,NA,2006,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
235,Boxing,NA,2006,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
236,College Football,NCAA Men's Football,2006,0.13,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
237,Professional Hockey,NHL,2006,0.04,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
238,Horse Racing,NA,2006,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
239,Men's College Basketball,NCAA Men's Basketball,2006,0.05,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
240,Men's Professional Golf,PGA,2006,0.04,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
241,Men's Professional Basketball,NBA,2006,0.07,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
242,Men's Professional Soccer,NA,2006,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
243,Men's Professional Tennis,USTA,2006,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
244,Not sure,NA,2006,0.03,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
245,Professional Football,NFL,2006,0.29,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
246,Swimming,NA,2006,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
247,Track & Field,NA,2006,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
248,Women's College Basketball,NCAA Women's Basketball,2006,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
249,Women's Professional Golf,LPGA,2006,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
250,Women's Professional Basketball,WNBA,2006,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
251,Women's Professional Soccer,NA,2006,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
252,Women's Professional Tennis,WTA,2006,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
253,Auto Racing,NA,2007,0.1,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
254,Professional Baseball,MLB,2007,0.15,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
255,Bowling,NA,2007,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
256,Boxing,NA,2007,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
257,College Football,NCAA Men's Football,2007,0.12,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
258,Professional Hockey,NHL,2007,0.05,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
259,Horse Racing,NA,2007,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
260,Men's College Basketball,NCAA Men's Basketball,2007,0.04,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
261,Men's Professional Golf,PGA,2007,0.04,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
262,Men's Professional Basketball,NBA,2007,0.04,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
263,Men's Professional Soccer,NA,2007,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
264,Men's Professional Tennis,USTA,2007,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
265,Not sure,NA,2007,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
266,Professional Football,NFL,2007,0.3,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
267,Swimming,NA,2007,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
268,Track & Field,NA,2007,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
269,Women's College Basketball,NCAA Women's Basketball,2007,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
270,Women's Professional Golf,LPGA,2007,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
271,Women's Professional Basketball,WNBA,2007,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
272,Women's Professional Soccer,NA,2007,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
273,Women's Professional Tennis,WTA,2007,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
