School_Label,CIPFamily,CIPFamilyTitle,Value_Type,Value,Percentage_School
Notre Dame,45,SOCIAL SCIENCES.,College Major,5,0.128205128
Notre Dame,50,VISUAL AND PERFORMING ARTS.,College Major,14,0.358974359
Notre Dame,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,17,0.435897436
Ohio State,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,3,0.046153846
Ohio State,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,10,0.153846154
Ohio State,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,2,0.030769231
Ohio State,13,EDUCATION.,College Major,1,0.015384615
Ohio State,14,ENGINEERING.,College Major,4,0.061538462
Ohio State,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,10,0.153846154
Ohio State,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,2,0.030769231
Ohio State,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,4,0.061538462
Ohio State,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,10,0.153846154
Ohio State,45,SOCIAL SCIENCES.,College Major,13,0.2
Ohio State,49,TRANSPORTATION AND MATERIALS MOVING.,College Major,1,0.015384615
Ohio State,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,5,0.076923077
Oklahoma,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,1,0.01754386
Oklahoma,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,9,0.157894737
Oklahoma,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS.,College Major,1,0.01754386
Oklahoma,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,28,0.49122807
Oklahoma,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.01754386
Oklahoma,42,PSYCHOLOGY.,College Major,1,0.01754386
Oklahoma,45,SOCIAL SCIENCES.,College Major,11,0.192982456
Oklahoma,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,5,0.087719298
Oregon,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,6,0.06
Oregon,13,EDUCATION.,College Major,1,0.01
Oregon,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,52,0.52
Oregon,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,6,0.06
Oregon,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,7,0.07
Oregon,42,PSYCHOLOGY.,College Major,4,0.04
Oregon,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,1,0.01
