Year,unitid,Institution_Name,Sport,Cohort_Data,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W,idxtable_flags2006.idx_gr:vl-unitid of parent institution reporting graduation rates
2005-2006,134130,University of Florida,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,3,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,-2
2005-2006,134130,University of Florida,Baseball,Degree/certificate-seeking students (4-yr institution) Transfer-out students,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,134130,University of Florida,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,2,2,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,134130,University of Florida,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,1,2,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,134130,University of Florida,Basketball,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,134130,University of Florida,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),17,8,9,7,4,3,7,2,5,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,-2
2005-2006,134130,University of Florida,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,12,6,6,5,4,1,5,1,4,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-2
2005-2006,134130,University of Florida,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,134130,University of Florida,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),23,23,0,4,4,0,17,17,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,-2
2005-2006,134130,University of Florida,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,8,8,0,3,3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,134130,University of Florida,Football,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,135726,University of Miami,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),23,1,22,16,1,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,6,-2
2005-2006,135726,University of Miami,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,16,1,15,12,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,-2
2005-2006,135726,University of Miami,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,6,0,4,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,135726,University of Miami,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,3,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,135726,University of Miami,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,3,4,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,-2
2005-2006,135726,University of Miami,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2005-2006,135726,University of Miami,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,2,3,3,2,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,135726,University of Miami,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,2,3,3,2,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,135726,University of Miami,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),19,19,0,4,4,0,13,13,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,-2
2005-2006,135726,University of Miami,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,10,10,0,4,4,0,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,139959,University of Georgia,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),39,10,29,35,9,26,3,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,139959,University of Georgia,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,31,9,22,27,8,19,3,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,139959,University of Georgia,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),11,11,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,139959,University of Georgia,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,139959,University of Georgia,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,3,2,1,0,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,139959,University of Georgia,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,1,2,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,139959,University of Georgia,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),21,11,10,7,3,4,11,5,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,-2
2005-2006,139959,University of Georgia,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,8,3,5,4,1,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2005-2006,139959,University of Georgia,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),15,15,0,2,2,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,139959,University of Georgia,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,8,8,0,2,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2005-2006,142115,Boise State University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),33,10,23,17,3,14,0,0,0,2,1,1,2,0,2,0,0,0,2,0,2,10,6,4,-2
2005-2006,142115,Boise State University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,14,2,12,9,0,9,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,3,2,1,-2
2005-2006,142115,Boise State University,All other sports,Degree/certificate-seeking students (4-yr institution) Transfer-out students,10,2,8,5,1,4,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,2,1,1,-2
2005-2006,142115,Boise State University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),8,3,5,5,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2005-2006,142115,Boise State University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
