"","player","date","season","pst_team","notes","new_contract_source","pst_contract_value_millions","contract_term","contract_start_season","contract_end_season","contract_option","year","player_bref_url"
"150","Moises Alou","12/12/96",1997,"Marlins","signed free agent (from Expos) to a 5-year contract","free agency",0,5,1997,2002,"",1996,"http://www.baseball-reference.com/players/a/aloumo01.shtml"
"151","Nick Markakis","1/20/09",2009,"Orioles","re-signed to a 6-year contract extension through 2014 with a 1-year option for 2015","re-signinging",0,6,2009,2014,"1-year option for 2015",2009,"http://www.baseball-reference.com/players/m/markani01.shtml"
"152","Nick Swisher","5/11/07",2007,"Athletics","re-signed to a 5-year contract extension through 2011 with a team option for 2012","re-signinging",0,5,2007,2011,"team option for 2012",2007,"http://www.baseball-reference.com/players/s/swishni01.shtml"
"153","Noel Arguelles","1/7/10",2010,"Royals","signed free agent to a 5-year contract through 2014","free agency",0,5,2010,2014,"",2010,"http://www.baseball-reference.com/minors/player.cgi?id=arguel000noe"
"154","Nolan Ryan","2/24/04",2004,"Astros","signed to a 5-year personal services agreement","free agency",0,5,2004,2009,"",2004,"http://www.baseball-reference.com/players/r/ryanno01.shtml"
"155","Nomar Garciaparra","3/10/98",1998,"Red Sox","re-signed to a 5-year contract","re-signinging",0,5,1998,2003,"",1998,"http://www.baseball-reference.com/players/g/garcino01.shtml"
"156","Omar Moreno","12/10/82",1983,"Astros","signed free agent (from Pirates) to a 5-year, $3.25M contract","free agency",3.25,5,1983,1988,"",1982,"http://www.baseball-reference.com/players/m/morenom01.shtml"
"157","Omar Vizquel","12/12/95",1996,"Indians","re-signed to a 5-year contract extension","re-signinging",0,5,1996,2001,"",1995,"http://www.baseball-reference.com/players/v/vizquom01.shtml"
"158","Pat Burrell","2/3/03",2003,"Phillies","signed to a 6-year, $50M contract","free agency",50,6,2003,2009,"",2003,"http://www.baseball-reference.com/players/b/burrepa01.shtml"
"159","Paul Goldschmidt","3/29/13",2013,"Diamondbacks","re-signed to a 5-year contract extension through 2018 with a 1-year option for 2019","re-signinging",0,5,2013,2018,"1-year option for 2019",2013,"http://www.baseball-reference.com/players/g/goldspa01.shtml"
"160","Paul Konerko","11/30/05",2006,"White Sox","re-signed free agent to a 5-year, $60M contract through 2010","re-signinging",60,5,2006,2010,"",2005,"http://www.baseball-reference.com/players/k/konerpa01.shtml"
"161","Preston Wilson","3/11/01",2001,"Marlins","re-signed to a 5-year contract through 2005","re-signinging",0,5,2001,2005,"",2001,"http://www.baseball-reference.com/players/w/wilsopr01.shtml"
"162","Prince Fielder","1/24/12",2012,"Tigers","signed free agent to a 9-year contract through 2020","free agency",0,9,2012,2020,"",2012,"http://www.baseball-reference.com/players/f/fieldpr01.shtml"
"163","Reggie Jackson","11/29/76",1977,"Yankees","signed free agent to a 5-year contract","free agency",0,5,1977,1982,"",1976,"http://www.baseball-reference.com/players/j/jacksre01.shtml"
"164","Reid Nichols","1/24/84",1984,"Red Sox","re-signed to a 5-year contract","re-signinging",0,5,1984,1989,"",1984,"http://www.baseball-reference.com/players/n/nichore01.shtml"
"165","Rich Dauer","12/21/80",1981,"Orioles","re-signed to a 5-year contract","re-signinging",0,5,1981,1986,"",1980,"http://www.baseball-reference.com/players/d/dauerri01.shtml"
"166","Rick Dempsey","9/5/78",1978,"Orioles","re-signed to a 5-year contract","re-signinging",0,5,1978,1983,"",1978,"http://www.baseball-reference.com/players/d/dempsri01.shtml"
"167","Rick Wise","11/19/79",1980,"Padres","signed free agent (from Indians) to a 5-year contract","free agency",0,5,1980,1985,"",1979,"http://www.baseball-reference.com/players/w/wiseri01.shtml"
"168","Ricky Romero","8/14/10",2010,"Blue Jays","re-signed to a 5-year contract extension through 2015 with an option for 2016","re-signinging",0,5,2010,2015,"an option for 2016",2010,"http://www.baseball-reference.com/players/r/romerri01.shtml"
"169","Rocco Baldelli","11/9/05",2006,"Devil Rays","re-signed to a 6-year contract extension","re-signinging",0,6,2006,2012,"",2005,"http://www.baseball-reference.com/players/b/baldero01.shtml"
