Year,unitid,Institution_Name,Cohort,Sport,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2005-2006,209551,University of Oregon,Scholarship Awards,All other sports combined,135,40,95,94,30,64,1,0,1,4,1,3,6,1,5,0,0,0,9,2,7,21,6,15
2005-2006,209551,University of Oregon,Scholarship Awards,Basketball,25,13,12,9,5,4,9,7,2,0,0,0,0,0,0,0,0,0,1,1,0,6,0,6
2005-2006,209551,University of Oregon,Scholarship Awards,Cross-country and/or track,44,24,20,33,17,16,4,3,1,1,1,0,0,0,0,0,0,0,1,1,0,5,2,3
2005-2006,209551,University of Oregon,Scholarship Awards,Football,78,78,0,27,27,0,38,38,0,2,2,0,9,9,0,1,1,0,1,1,0,0,0,0
2005-2006,217882,Clemson University,Scholarship Awards,All other sports combined,42,19,23,36,15,21,3,2,1,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1
2005-2006,217882,Clemson University,Scholarship Awards,Baseball,7,7,0,6,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,217882,Clemson University,Scholarship Awards,Basketball,8,3,5,2,0,2,5,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2005-2006,217882,Clemson University,Scholarship Awards,Cross-country and/or track,8,7,1,6,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,217882,Clemson University,Scholarship Awards,Football,12,12,0,2,2,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,218663,University of South Carolina-Columbia,Scholarship Awards,All other sports combined,178,58,120,111,34,77,7,1,6,8,3,5,3,1,2,0,0,0,24,7,17,25,12,13
2005-2006,218663,University of South Carolina-Columbia,Scholarship Awards,Baseball,35,35,0,28,28,0,2,2,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
2005-2006,218663,University of South Carolina-Columbia,Scholarship Awards,Basketball,26,12,14,1,1,0,17,8,9,0,0,0,0,0,0,0,0,0,1,1,0,7,2,5
2005-2006,218663,University of South Carolina-Columbia,Scholarship Awards,Cross-country and/or track,43,19,24,13,6,7,28,11,17,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2005-2006,218663,University of South Carolina-Columbia,Scholarship Awards,Football,84,84,0,18,18,0,59,59,0,0,0,0,0,0,0,0,0,0,3,3,0,4,4,0
2005-2006,221999,Vanderbilt University,Scholarship Awards,All other sports combined,90,35,55,72,23,49,2,2,0,1,1,0,2,1,1,1,1,0,12,7,5,0,0,0
2005-2006,221999,Vanderbilt University,Scholarship Awards,Baseball,22,22,0,16,16,0,2,2,0,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0
2005-2006,221999,Vanderbilt University,Scholarship Awards,Basketball,25,13,12,10,3,7,13,8,5,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
2005-2006,221999,Vanderbilt University,Scholarship Awards,Cross-country and/or track,17,0,17,10,0,10,6,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2005-2006,221999,Vanderbilt University,Scholarship Awards,Football,84,84,0,32,32,0,49,49,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0
2005-2006,228246,Southern Methodist University,Scholarship Awards,All other sports combined,13,3,10,12,3,9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2005-2006,228246,Southern Methodist University,Scholarship Awards,Basketball,8,3,5,4,1,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,228246,Southern Methodist University,Scholarship Awards,Cross-country and/or track,3,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2005-2006,228246,Southern Methodist University,Scholarship Awards,Football,17,17,0,9,9,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2005-2006,228723,Texas A & M University-College Station,Scholarship Awards,All other sports combined,220,49,171,184,35,149,1,0,1,10,2,8,3,0,3,1,0,1,3,0,3,18,12,6
2005-2006,228723,Texas A & M University-College Station,Scholarship Awards,Baseball,47,47,0,40,40,0,2,2,0,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0
2005-2006,228723,Texas A & M University-College Station,Scholarship Awards,Basketball,31,15,16,4,2,2,23,10,13,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1
2005-2006,228723,Texas A & M University-College Station,Scholarship Awards,Cross-country and/or track,57,26,31,29,13,16,19,8,11,1,1,0,0,0,0,0,0,0,0,0,0,8,4,4
2005-2006,228723,Texas A & M University-College Station,Scholarship Awards,Football,100,100,0,37,37,0,59,59,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
2005-2006,228778,The University of Texas at Austin,Scholarship Awards,All other sports combined,188,56,132,137,41,96,8,0,8,12,4,8,3,1,2,1,0,1,2,1,1,25,9,16
2005-2006,228778,The University of Texas at Austin,Scholarship Awards,Baseball,38,38,0,31,31,0,0,0,0,3,3,0,0,0,0,2,2,0,2,2,0,0,0,0
2005-2006,228778,The University of Texas at Austin,Scholarship Awards,Basketball,26,12,14,6,4,2,18,8,10,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2005-2006,228778,The University of Texas at Austin,Scholarship Awards,Cross-country and/or track,58,35,23,27,24,3,24,6,18,5,4,1,0,0,0,0,0,0,1,1,0,1,0,1
2005-2006,228778,The University of Texas at Austin,Scholarship Awards,Football,86,86,0,31,31,0,52,52,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2006,230728,Utah State University,Scholarship Awards,All other sports combined,85,7,78,73,7,66,1,0,1,3,0,3,2,0,2,0,0,0,3,0,3,3,0,3
2005-2006,230728,Utah State University,Scholarship Awards,Basketball,25,13,12,12,5,7,9,5,4,1,0,1,0,0,0,0,0,0,1,1,0,2,2,0
2005-2006,230728,Utah State University,Scholarship Awards,Cross-country and/or track,45,24,21,36,17,19,3,3,0,1,0,1,1,1,0,0,0,0,2,1,1,2,2,0
2005-2006,230728,Utah State University,Scholarship Awards,Football,63,63,0,30,30,0,23,23,0,0,0,0,3,3,0,0,0,0,3,3,0,4,4,0
2005-2006,243744,Stanford University,Scholarship Awards,All other sports combined,403,181,222,272,119,153,22,11,11,23,10,13,44,23,21,8,4,4,18,9,9,16,5,11
2005-2006,243744,Stanford University,Scholarship Awards,Baseball,31,31,0,24,24,0,2,2,0,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0
2005-2006,243744,Stanford University,Scholarship Awards,Basketball,25,12,13,11,4,7,12,6,6,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2005-2006,243744,Stanford University,Scholarship Awards,Cross-country and/or track,83,41,42,48,24,24,22,7,15,8,7,1,1,1,0,2,2,0,1,0,1,1,0,1
2005-2006,243744,Stanford University,Scholarship Awards,Football,101,101,0,44,44,0,39,39,0,5,5,0,4,4,0,3,3,0,4,4,0,2,2,0
