Year,unitid,Institution_Name,Sport,Cohort,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
1999-2000,207500,University of Oklahoma Norman Campus,Cross-country and/or track,Scholarship Awards,55,26,29,21,10,11,22,9,13,1,1,0,1,1,0,2,1,1,1,0,1,7,4,3
1999-2000,207500,University of Oklahoma Norman Campus,Football,Scholarship Awards,80,80,0,26,26,0,49,49,0,2,2,0,0,0,0,2,2,0,1,1,0,0,0,0
1999-2000,209542,Oregon State University,All other sports combined,Scholarship Awards,170,64,106,130,51,79,1,1,0,7,2,5,7,1,6,0,0,0,15,5,10,10,4,6
1999-2000,209542,Oregon State University,Baseball,Scholarship Awards,42,42,0,36,36,0,0,0,0,1,1,0,2,2,0,1,1,0,2,2,0,0,0,0
1999-2000,209542,Oregon State University,Basketball,Scholarship Awards,30,13,17,13,5,8,9,5,4,0,0,0,2,1,1,0,0,0,1,0,1,5,2,3
1999-2000,209542,Oregon State University,Football,Scholarship Awards,92,92,0,37,37,0,34,34,0,2,2,0,5,5,0,0,0,0,12,12,0,2,2,0
1999-2000,209551,University of Oregon,All other sports combined,Scholarship Awards,105,39,66,83,31,52,2,1,1,0,0,0,3,2,1,0,0,0,3,0,3,14,5,9
1999-2000,209551,University of Oregon,Basketball,Scholarship Awards,28,12,16,12,3,9,10,6,4,0,0,0,0,0,0,0,0,0,2,1,1,4,2,2
1999-2000,209551,University of Oregon,Cross-country and/or track,Scholarship Awards,50,26,24,37,18,19,4,4,0,1,0,1,1,1,0,0,0,0,4,1,3,3,2,1
1999-2000,209551,University of Oregon,Football,Scholarship Awards,78,78,0,34,34,0,31,31,0,4,4,0,5,5,0,1,1,0,3,3,0,0,0,0
1999-2000,217882,Clemson University,All other sports combined,Scholarship Awards,138,67,71,102,46,56,6,4,2,4,3,1,0,0,0,1,1,0,3,3,0,22,10,12
