Sports_Venue,City,State_Provence,Country,Sponsor,Sponsor_Type,Variable,Value,Value_Type,Source,Date
Ford Center,Evansville,IN,United States of America,Tri-State Ford Dealers,Venue Naming Rights,Naming Rights Deal,4.2,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
3Com Park,San Francisco,CA,United States of America,3Com,Venue Naming Rights,Naming Rights Deal,4,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Chevrolet Centre,Youngstown,OH,United States of America,General Motors,Venue Naming Rights,Naming Rights Deal,4,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Taco Bell Arena,Boise,ID,United States of America,ES-O-EN Corp.,Venue Naming Rights,Naming Rights Deal,4,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
P&C Stadium,Syracuse,NY,United States of America,P & C grocery supplier,Venue Naming Rights,Naming Rights Deal,3.575,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Commerce Bank Park,Harrisburg,PA,United States of America,Commerce Bank,Venue Naming Rights,Naming Rights Deal,3.5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Frontier Field,Rochester,NY,United States of America,Frontier Telephone,Venue Naming Rights,Naming Rights Deal,3.5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Webster Bank Arena,Bridgeport,CT,United States of America,Webster Bank,Venue Naming Rights,Naming Rights Deal,3.5,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Skyreach Centre,Edmonton,AB,Canada,Skyreach Equipment Corp,Venue Naming Rights,Naming Rights Deal,3.3075,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Applebee‰Ûªs Park,Lexington,KY,United States of America,Applebee‰Ûªs Restaurants,Venue Naming Rights,Naming Rights Deal,3,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Bi-Lo Center,Greenville,SC,United States of America,Bi-Lo Corp.,Venue Naming Rights,Naming Rights Deal,3,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Campbell‰Ûªs Field,Camden,NJ,United States of America,Campbell Soup Co.,Venue Naming Rights,Naming Rights Deal,3,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Erie Insurance Arena,Erie,PA,United States of America,Erie Insurance Group,Venue Naming Rights,Naming Rights Deal,3,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
First Horizon Park,Greensboro,NC,United States of America,First Horizon National Corp.,Venue Naming Rights,Naming Rights Deal,3,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Florida Power Park,St. Petersburg,FL,United States of America,Florida Power Co.,Venue Naming Rights,Naming Rights Deal,3,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Parkview Field,Ft. Wayne,IN,United States of America,Parkview Health,Venue Naming Rights,Naming Rights Deal,3,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Pepsi Arena,Albany,NY,United States of America,Pepsi Cola. Co.,Venue Naming Rights,Naming Rights Deal,3,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
Blue Cross Arena at the War Memorial,Rochester,NY,United States of America,Blue Cross,Venue Naming Rights,Naming Rights Deal,2.975,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
John Labatt Centre,London,ON,Canada,Labatt Brewing Co.,Venue Naming Rights,Naming Rights Deal,2.9,Dollars_Millions,National Sports Law Institute of Marquette University Law School,5/10/12
