Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F
1985-1986,204796,Ohio State University-Main Campus,Business (Administrative Support),7',Bachelor's degrees,151,92,59
1985-1986,204796,Ohio State University-Main Campus,Marketing and Distribution,8',Bachelor's degrees,515,296,219
1985-1986,204796,Ohio State University-Main Campus,Communications,9',Bachelor's degrees,420,156,264
1985-1986,207388,Oklahoma State University-Main Campus,Agricultural Business and Production,1',Bachelor's degrees,102,76,26
1985-1986,207388,Oklahoma State University-Main Campus,Computer and Information Sciences,11',Bachelor's degrees,75,54,21
1985-1986,207388,Oklahoma State University-Main Campus,Education,13',Bachelor's degrees,385,120,265
1985-1986,207388,Oklahoma State University-Main Campus,Engineering,14',Bachelor's degrees,350,316,34
1985-1986,207388,Oklahoma State University-Main Campus,Engineering and Engineering Related Technologies,15',Bachelor's degrees,262,253,9
1985-1986,207388,Oklahoma State University-Main Campus,Foreign Languages,16',Bachelor's degrees,15,2,13
1985-1986,207388,Oklahoma State University-Main Campus,Health Sciences,18',Bachelor's degrees,24,4,20
1985-1986,207388,Oklahoma State University-Main Campus,Home Economics,19',Bachelor's degrees,142,10,132
1985-1986,207388,Oklahoma State University-Main Campus,Agricultural Sciences,2',Bachelor's degrees,165,120,45
1985-1986,207388,Oklahoma State University-Main Campus,Letters,23',Bachelor's degrees,50,19,31
1985-1986,207388,Oklahoma State University-Main Campus,Liberal/General Studies,24',Bachelor's degrees,7,7,0
1985-1986,207388,Oklahoma State University-Main Campus,Life Sciences,26',Bachelor's degrees,112,63,49
1985-1986,207388,Oklahoma State University-Main Campus,Mathematics,27',Bachelor's degrees,17,8,9
1985-1986,207388,Oklahoma State University-Main Campus,Renewable Natural Resources,3',Bachelor's degrees,10,8,2
1985-1986,207388,Oklahoma State University-Main Campus,Multi/Interdisciplinary Studies,30',Bachelor's degrees,3,1,2
1985-1986,207388,Oklahoma State University-Main Campus,Parks and Recreation,31',Bachelor's degrees,21,4,17
1985-1986,207388,Oklahoma State University-Main Campus,Philosophy and Religion,38',Bachelor's degrees,5,5,0
1985-1986,207388,Oklahoma State University-Main Campus,Architecture and Environmental Design,4',Bachelor's degrees,36,31,5
1985-1986,207388,Oklahoma State University-Main Campus,Physical Sciences,40',Bachelor's degrees,45,35,10
1985-1986,207388,Oklahoma State University-Main Campus,Psychology,42',Bachelor's degrees,61,17,44
1985-1986,207388,Oklahoma State University-Main Campus,Social Sciences,45',Bachelor's degrees,157,73,84
1985-1986,207388,Oklahoma State University-Main Campus,Visual and Performing Arts,50',Bachelor's degrees,35,13,22
1985-1986,207388,Oklahoma State University-Main Campus,Business and Management,6',Bachelor's degrees,935,537,398
1985-1986,207388,Oklahoma State University-Main Campus,Business (Administrative Support),7',Bachelor's degrees,24,0,24
1985-1986,207388,Oklahoma State University-Main Campus,Communications,9',Bachelor's degrees,147,55,92
1985-1986,209542,Oregon State University,Agricultural Business and Production,1',Bachelor's degrees,61,44,17
1985-1986,209542,Oregon State University,Computer and Information Sciences,11',Bachelor's degrees,127,98,29
1985-1986,209542,Oregon State University,Education,13',Bachelor's degrees,382,135,247
1985-1986,209542,Oregon State University,Engineering,14',Bachelor's degrees,365,307,58
1985-1986,209542,Oregon State University,Engineering and Engineering Related Technologies,15',Bachelor's degrees,37,34,3
1985-1986,209542,Oregon State University,Foreign Languages,16',Bachelor's degrees,26,13,13
1985-1986,209542,Oregon State University,Allied Health,17',Bachelor's degrees,2,1,1
1985-1986,209542,Oregon State University,Health Sciences,18',Bachelor's degrees,19,5,14
1985-1986,209542,Oregon State University,Home Economics,19',Bachelor's degrees,136,1,135
1985-1986,209542,Oregon State University,Agricultural Sciences,2',Bachelor's degrees,88,57,31
