Year,unitid,Institution_Name,Award_Level,Major,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2001-2002,131496,Georgetown University,Bachelor's degree,First major,Foreign Languages and Literatures,'16',129,35,94,99,27,72,4,3,1,5,0,5,8,2,6,0,0,0,4,0,4,9,3,6
2001-2002,131496,Georgetown University,Bachelor's degree,First major,Multi/Interdisciplinary Studies,'30',55,22,33,27,12,15,1,0,1,1,0,1,10,3,7,1,0,1,5,2,3,10,5,5
2001-2002,131496,Georgetown University,Bachelor's degree,First major,Mathematics,'27',10,6,4,7,4,3,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
2001-2002,131496,Georgetown University,Bachelor's degree,First major,Biological Science/Life Sciences,'26',57,28,29,38,16,22,0,0,0,1,0,1,14,10,4,0,0,0,1,0,1,3,2,1
2001-2002,155399,Kansas State University,Bachelor's degree,First major,Engineering-Related Technologies,'15',86,78,8,83,76,7,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2001-2002,155399,Kansas State University,Bachelor's degree,First major,Agricultural Sciences,'02',257,157,100,249,153,96,1,0,1,3,1,2,0,0,0,1,1,0,3,2,1,0,0,0
2001-2002,155399,Kansas State University,Bachelor's degree,First major,Biological Science/Life Sciences,'26',183,83,100,168,78,90,3,1,2,2,1,1,2,1,1,1,1,0,4,0,4,3,1,2
2001-2002,155399,Kansas State University,Bachelor's degree,First major,Public Administration and Services,'44',25,1,24,21,0,21,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0
2001-2002,155399,Kansas State University,Bachelor's degree,First major,Home Economics- General,'19',225,14,211,207,12,195,7,0,7,5,2,3,2,0,2,4,0,4,0,0,0,0,0,0
2001-2002,155399,Kansas State University,Bachelor's degree,First major,Social Sciences and History,'45',324,176,148,270,146,124,22,13,9,14,7,7,4,1,3,4,3,1,5,3,2,5,3,2
2001-2002,155399,Kansas State University,Bachelor's degree,First major,Transporation and Material Moving Workers,'49',27,23,4,27,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,155399,Kansas State University,Bachelor's degree,First major,Physical Sciences,'40',27,17,10,26,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2001-2002,155399,Kansas State University,Bachelor's degree,First major,Mathematics,'27',22,13,9,22,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,155399,Kansas State University,Bachelor's degree,First major,Communications,'09',191,62,129,177,59,118,3,2,1,6,0,6,0,0,0,1,0,1,2,1,1,2,0,2
2001-2002,155399,Kansas State University,Bachelor's degree,First major,Architecture and Related Programs,'04',111,76,35,105,72,33,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,2,1,1
2001-2002,155399,Kansas State University,Bachelor's degree,First major,Parks- Recreation- Leisure and Fitness Studies,'31',79,46,33,71,41,30,3,3,0,1,1,0,0,0,0,3,1,2,0,0,0,1,0,1
2001-2002,155399,Kansas State University,Bachelor's degree,First major,Business Management and Administrative Services,'52',701,390,311,637,356,281,13,4,9,14,6,8,14,12,2,2,1,1,12,8,4,9,3,6
