Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1997-1998,134097,Florida State University,Bachelor's degree,Visual and Performing Arts,'50',320,104,216,266,87,179,16,5,11,26,7,19,5,2,3,0,0,0,0,0,0,7,3,4
1997-1998,131496,Georgetown University,Bachelor's degree,Area- Ethnic and Cultural Studies,'05',15,7,8,13,6,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1997-1998,131496,Georgetown University,Bachelor's degree,Biological Science/Life Sciences,'26',58,25,33,37,16,21,3,2,1,2,0,2,13,4,9,0,0,0,0,0,0,3,3,0
1997-1998,131496,Georgetown University,Bachelor's degree,Business Management and Administrative Services,'52',370,244,126,212,151,61,25,10,15,20,15,5,34,17,17,2,1,1,9,6,3,68,44,24
1997-1998,131496,Georgetown University,Bachelor's degree,Computer and Information Sciences,'11',7,5,2,6,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,131496,Georgetown University,Bachelor's degree,English Language and Literature/Letters,'23',162,61,101,119,43,76,9,2,7,10,7,3,15,5,10,1,1,0,7,3,4,1,0,1
1997-1998,131496,Georgetown University,Bachelor's degree,Foreign Languages and Literatures,'16',166,49,117,119,35,84,9,1,8,4,1,3,11,3,8,1,1,0,7,3,4,15,5,10
1997-1998,131496,Georgetown University,Bachelor's degree,Health Professions and Related Sciences,'51',71,2,69,53,0,53,3,0,3,3,0,3,5,2,3,0,0,0,1,0,1,6,0,6
1997-1998,131496,Georgetown University,Bachelor's degree,Liberal Arts and Studies- General Sciences and Humanities,'24',22,7,15,13,5,8,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
1997-1998,131496,Georgetown University,Bachelor's degree,Mathematics,'27',9,5,4,6,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1
1997-1998,131496,Georgetown University,Bachelor's degree,Multi/Interdisciplinary Studies,'30',31,15,16,23,13,10,0,0,0,0,0,0,5,2,3,0,0,0,2,0,2,1,0,1
1997-1998,131496,Georgetown University,Bachelor's degree,Philosophy and Religion,'38',30,17,13,21,11,10,1,0,1,1,1,0,3,1,2,0,0,0,1,1,0,3,3,0
1997-1998,131496,Georgetown University,Bachelor's degree,Physical Sciences,'40',10,5,5,9,5,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,131496,Georgetown University,Bachelor's degree,Psychology,'42',84,26,58,62,21,41,7,3,4,2,0,2,3,0,3,0,0,0,1,0,1,9,2,7
1997-1998,131496,Georgetown University,Bachelor's degree,Social Sciences and History,'45',606,341,265,388,237,151,34,12,22,43,23,20,45,17,28,0,0,0,27,19,8,69,33,36
