"","A","B","C","D","Season","F","G","H","I","Source","Season.Type"
"477","661","Oden","Oden, Greg","NBA","POR","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"478","662","McRoberts","McRoberts, Josh","NBA","IND","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"479","665","Crittenton","Crittenton, Javaris","NBA","WAS","2008-2009","Trade","2008-12-11","2009-07-01","Basketball Value","Regular Season"
"480","665","Crittenton","Crittenton, Javaris","NBA","MEM","2008-2009","SeasonStart","2008-10-28","2008-12-11","Basketball Value","Regular Season"
"481","666","Brooks","Brooks, Aaron","NBA","HOU","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"482","667","Landry","Landry, Carl","NBA","HOU","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"483","668","Almond","Almond, Morris","NBA","UTA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"484","669","Fesenko","Fesenko, Kyrylo","NBA","UTA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"485","671","B. Wright","Wright, Brandan","NBA","GSW","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"486","671","Wright","Wright, Brandan","NBA","GSW","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"487","673","Belinelli","Belinelli, Marco","NBA","GSW","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"488","674","Scola","Scola, Luis","NBA","HOU","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"489","675","Davis","Davis, Glen","NBA","BOS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"490","675","G. Davis","Davis, Glen","NBA","BOS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"491","676","Pruitt","Pruitt, Gabe","NBA","BOS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"492","678","Williams","Williams, Sean","NBA","NJN","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"493","679","Chandler","Chandler, Wilson","NBA","NYK","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"494","679","W. Chandler","Chandler, Wilson","NBA","NYK","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"495","681","Young","Young, Thaddeus","NBA","PHI","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"496","681","T. Young","Young, Thaddeus","NBA","PHI","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"497","682","Moon","Moon, Jamario","NBA","MIA","2008-2009","20090218MINMIA","2009-02-13","2009-07-01","Basketball Value","Regular Season"
"498","682","Moon","Moon, Jamario","NBA","TOR","2008-2009","SeasonStart","2008-10-28","2009-02-13","Basketball Value","Regular Season"
"499","684","Gardner","Gardner, Thomas","NBA","ATL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"500","685","Gray","Gray, Aaron","NBA","CHI","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"501","686","Noah","Noah, Joakim","NBA","CHI","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"502","687","Nichols","Nichols, Demetris","NBA","CHI","2008-2009","SeasonStart","2008-10-28","2008-11-17","Basketball Value","Regular Season"
"503","687","Nichols","Nichols, Demetris","NBA","NYK","2008-2009","20090318NJNNYK","2009-03-06","2009-07-01","Basketball Value","Regular Season"
"504","689","Afflalo","Afflalo, Arron","NBA","DET","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"505","690","Samb","Samb, Cheikh","NBA","LAC","2008-2009","Trade","2009-01-05","2009-02-16","Basketball Value","Regular Season"
"506","690","Samb","Samb, Cheikh","NBA","DEN","2008-2009","Trade","2008-11-07","2009-01-05","Basketball Value","Regular Season"
"507","690","Samb","Samb, Cheikh","NBA","DET","2008-2009","SeasonStart","2008-10-28","2008-11-03","Basketball Value","Regular Season"
