"","PlayerName","PlayerTrueName","League","TeamName3","Season","Position","Comment","StartDate","EndDate","Source","Season.Type"
"180","Radmanovic","Radmanovic, Vladimir","NBA","GSW","2010-2011",4,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"181","Wilcox","Wilcox, Chris","NBA","DET","2010-2011",4.01,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"186","Bryant","Bryant, Kobe","NBA","LAL","2010-2011",2,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"187","Odom","Odom, Lamar","NBA","LAL","2010-2011",4,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"189","K. Brown","Brown, Kwame","NBA","CHA","2010-2011",4.99,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"191","Cook","Cook, Brian","NBA","LAC","2010-2011",3.99,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"193","Vujacic","Vujacic, Sasha","NBA","LAL","2010-2011",1.98,"SeasonStart","2010-10-25","2010-12-15","Basketball Value","Regular Season"
"193","Vujacic","Vujacic, Sasha","NBA","NJN","2010-2011",1.98,"20101217NJNTOR","2010-12-15","2011-07-01","Basketball Value","Regular Season"
"194","Bynum","Bynum, Andrew","NBA","LAL","2010-2011",5,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"196","Williams","Williams, Jason","NBA","MEM","2010-2011",1.02,"20110211MILMEM","2011-02-08","2011-07-01","Basketball Value","Regular Season"
"196","Williams","Williams, Jason","NBA","ORL","2010-2011",1.02,"SeasonStart","2010-10-25","2011-02-08","Basketball Value","Regular Season"
"197","Gasol","Gasol, Pau","NBA","LAL","2010-2011",4.5,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"198","Battier","Battier, Shane","NBA","MEM","2010-2011",2.5,"20110226SACMEM","2011-02-24","2011-07-01","Basketball Value","Regular Season"
"198","Battier","Battier, Shane","NBA","HOU","2010-2011",2.5,"SeasonStart","2010-10-25","2011-02-24","Basketball Value","Regular Season"
"201","Haslem","Haslem, Udonis","NBA","MIA","2010-2011",4.49,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
