ID_Sport,ID_School,Season,Number,Player,First_Name,Last_Name,Position,ID_Position,Height,Height_Inches,Weight,Year,Hometown,City,State,Prior_School,Player_URL
ND,FBALL,2005-2006,4,Anthony Vernaglia,Vernaglia,Anthony,Linebacker,LB,6'3,75,221,SO,"Anaheim Hills, CA",Anaheim Hills,CA,Orange Luthern,http://www.und.com/sports/m-footbl/mtt/vernaglia_anthony00.html
ND,FBALL,2005-2006,3,Darius Walker,Walker,Darius,Running Back,RB,5'11,71,208,SO,"Lawrenceville, GA",Lawrenceville,GA,Buford,http://www.und.com/sports/m-footbl/mtt/walker_darius00.html
ND,FBALL,2005-2006,42,Kevin Washington,Washington,Kevin,Linebacker,LB,6'1,73,231,FR,"Sugar Land, TX",Sugar Land,TX,Austin,http://www.und.com/sports/m-footbl/mtt/washington_kevin00.html
ND,FBALL,2005-2006,45,Rich Whitney III,Whitney III,Rich,Defensive Back,DB,6'2,74,213,JR,"Warminster, PA",Warminster,PA,Kansas City Rockhurst,http://www.und.com/sports/m-footbl/mtt/whitneyiii_rich00.html
ND,FBALL,2005-2006,23,William David Williams,Williams,William David,Defensive Back,DB,5'11,71,170,SO,"Raleigh, NC",Raleigh,NC,Millbrook,http://www.und.com/sports/m-footbl/mtt/williams_williamdavid00.html
ND,FBALL,2005-2006,14,David Wolke,Wolke,David,Quarterback,QB,6'2,74,196,SO,"Mount Juliet, TN",Mount Juliet,TN,Smyrna,http://www.und.com/sports/m-footbl/mtt/wolke_david00.html
ND,FBALL,2005-2006,22,Ambrose Wooden,Wooden,Ambrose,Defensive Back,DB,5'11,71,197,JR,"Baltimore, MD",Baltimore,MD,The Gilman School,http://www.und.com/sports/m-footbl/mtt/wooden_ambrose00.html
ND,FBALL,2005-2006,81,Rob Woods,Woods,Rob,Wide Receiver,WR,6'2,74,208,SR,"Atlantic, IA",Atlantic,IA,Atlantic,http://www.und.com/sports/m-footbl/mtt/woods_rob00.html
ND,FBALL,2005-2006,9,Tom Zbikowski,Zbikowski,Tom,Defensive Back,DB,6'0,72,208,JR,"Arlington Heights, IL",Arlington Heights,IL,Buffalo Grove,http://www.und.com/sports/m-footbl/mtt/zbikowski_tom00.html
ND,FBALL,2006-2007,95,Victor Abiamiri,Abiamiri,Victor,Defensive Line,DL,6'4,76,270,SR,"Randallstown, MD",Randallstown,MD,The Gilman School,http://www.und.com/sports/m-footbl/mtt/abiamiri_victor00.html
