,Sport,Governing_Body,Event,Facet_Type,Facet_Value,Variable,Value,Value_Type,Date,Period,Source
186,NA,NHL,NA,Income,"<$50,000",Distribution of Fans,0.34,Percentage of Survey,NA,2011,Scarborough Sports Marketing
187,NA,PGA,NA,Income,"<$50,000",Distribution of Fans,0.41,Percentage of Survey,NA,2011,Scarborough Sports Marketing
188,NA,MLB,NA,Income,"$50,000-$100,000",Distribution of Fans,0.34,Percentage of Survey,NA,2011,Scarborough Sports Marketing
189,NA,MLS,NA,Income,"$50,000-$100,000",Distribution of Fans,0.31,Percentage of Survey,NA,2011,Scarborough Sports Marketing
190,NA,NASCAR,NA,Income,"$50,000-$100,000",Distribution of Fans,0.35,Percentage of Survey,NA,2011,Scarborough Sports Marketing
191,NA,NBA,NA,Income,"$50,000-$100,000",Distribution of Fans,0.32,Percentage of Survey,NA,2011,Scarborough Sports Marketing
192,NA,NFL,NA,Income,"$50,000-$100,000",Distribution of Fans,0.36,Percentage of Survey,NA,2011,Scarborough Sports Marketing
193,NA,NHL,NA,Income,"$50,000-$100,000",Distribution of Fans,0.38,Percentage of Survey,NA,2011,Scarborough Sports Marketing
194,NA,PGA,NA,Income,"$50,000-$100,000",Distribution of Fans,0.36,Percentage of Survey,NA,2011,Scarborough Sports Marketing
195,NA,MLB,NA,Income,">$100,000",Distribution of Fans,0.22,Percentage of Survey,NA,2011,Scarborough Sports Marketing
196,NA,MLS,NA,Income,">$100,000",Distribution of Fans,0.18,Percentage of Survey,NA,2011,Scarborough Sports Marketing
197,NA,NASCAR,NA,Income,">$100,000",Distribution of Fans,0.16,Percentage of Survey,NA,2011,Scarborough Sports Marketing
198,NA,NBA,NA,Income,">$100,000",Distribution of Fans,0.2,Percentage of Survey,NA,2011,Scarborough Sports Marketing
199,NA,NFL,NA,Income,">$100,000",Distribution of Fans,0.23,Percentage of Survey,NA,2011,Scarborough Sports Marketing
200,NA,NHL,NA,Income,">$100,000",Distribution of Fans,0.28,Percentage of Survey,NA,2011,Scarborough Sports Marketing
201,NA,PGA,NA,Income,">$100,000",Distribution of Fans,0.23,Percentage of Survey,NA,2011,Scarborough Sports Marketing
202,NA,NBA,NA,Age,7 to 11,Fans,0.77,Percentage of Survey,NA,2011,ESPN Sports Poll
203,NA,NFL,NA,Age,7 to 11,Fans,0.69,Percentage of Survey,NA,2011,ESPN Sports Poll
204,NA,MLB,NA,Age,7 to 11,Fans,0.69,Percentage of Survey,NA,2011,ESPN Sports Poll
205,NA,NCAA Men's Basketball,NA,Age,7 to 11,Fans,0.68,Percentage of Survey,NA,2011,ESPN Sports Poll
206,NA,Action Sports,NA,Age,7 to 11,Fans,0.68,Percentage of Survey,NA,2011,ESPN Sports Poll
207,NA,MLS,NA,Age,7 to 11,Fans,0.62,Percentage of Survey,NA,2011,ESPN Sports Poll
208,NA,Other College Sports,NA,Age,7 to 11,Fans,0.6,Percentage of Survey,NA,2011,ESPN Sports Poll
209,NA,NASCAR,NA,Age,7 to 11,Fans,0.57,Percentage of Survey,NA,2011,ESPN Sports Poll
210,NA,NHL,NA,Age,7 to 11,Fans,0.5,Percentage of Survey,NA,2011,ESPN Sports Poll
211,NA,NFL,NA,Ethnicity,African Americans,Fans,0.75,Percentage of Survey,NA,2011,ESPN Sports Poll
