ID_Sport_Sponsorship,Governing_Body,Sponsorship_Type,Period,Sport_Sponsor,Company,Company_Brand,Event,Sport,Contract_Type,Value,Value_Type,Detail,Franchise,Sponsorship
159,MLB,MLB.com,2012,Captain Morgan,Captain Morgan,,,,,,,,,
160,MLB,MLB.com,2012,Cisco,Cisco,,,,,,,,,
161,MLB,MLB.com,2012,Dove,Dove,,,,,,,,,
162,MLB,MLB.com,2012,FIA Card Service,FIA Card Service,,,,,,,,,
163,MLB,MLB.com,2012,Firestone,Firestone,,,,,,,,,
164,MLB,MLB.com,2012,FritoLay,FritoLay,,,,,,,,,
165,MLB,MLB.com,2012,Gatorade,Gatorade,,,,,,,,,
166,MLB,MLB.com,2012,Chevrolet,General Motors,Chevrolet,,,,,,,,
167,MLB,MLB.com,2012,Gillette,Gillette,,,,,,,,,
168,MLB,MLB.com,2012,Holiday Inn,InterContinental Hotels Group,Holiday Inn,,,,,,,,
169,MLB,MLB.com,2012,MasterCard International,MasterCard International,,,,,,,,,
170,MLB,MLB.com,2012,Nike,Nike,,,,,,,,,
171,MLB,MLB.com,2012,Panasonic,Panasonic,,,,,,,,,
172,MLB,MLB.com,2012,PepsiCola,PepsiCola,,,,,,,,,
173,MLB,MLB.com,2012,Prudential,Prudential,,,,,,,,,
174,MLB,MLB.com,2012,Scotts,Scotts,,,,,,,,,
175,MLB,MLB.com,2012,Sears,Sears,,,,,,,,,
176,MLB,MLB.com,2012,Sports Illustrated,Sports Illustrated,,,,,,,,,
177,MLB,MLB.com,2012,Sprint,Sprint,,,,,,,,,
178,MLB,MLB.com,2012,State Farm,State Farm,,,,,,,,,
179,MLB,MLB.com,2012,Under Armour,Under Armour,,,,,,,,,
180,MLB,MLB.com,2012,US Army,US Army,,,,,,,,,
181,MLB,MLB.com,2012,US Marines Corps,US Marines Corps,,,,,,,,,
183,MLL,Official,2012,Body by Jake Global,Body by Jake Global,,,,,,,,,
184,MLL,Official,2012,Brine,Brine,,,,,,,,,
185,MLL,Official,2012,Bud Light,AnheiserBusch,Bud Light,,,,,,,,
186,MLL,Official,2012,Cascade,Cascade,,,,,,,,,
187,MLL,Official,2012,CokeZero,Coca Cola,CokeZero,,,,,,,,
188,MLL,Official,2012,EFX,EFX,,,,,,,,,
189,MLL,Official,2012,Ford,Ford,,,,,,,,,
190,MLL,Official,2012,Great Atlantic Lacrosse Company,Great Atlantic Lacrosse Company,,,,,,,,,
191,MLL,Official,2012,Powerade,PepsiCo,Powerade,,,,,,,,
192,MLL,Official,2012,Warrior Lacrosse,Warrior Lacrosse,,,,,,,,,
193,MLS,Official,2012,Adidas,Adidas,,,,,,,,,
194,MLS,Official,2012,Allstate,Allstate,,,,,,,,,
195,MLS,Official,2012,Aquafina,PepsiCo,Aquafina,,,,,,,,
196,MLS,Official,2012,AT&T,AT&T,,,,,,,,,
197,MLS,Official,2012,Budweiser,AnheiserBusch,Budweiser,,,,,,,,
198,MLS,Official,2012,Bimbo,Bimbo,,,,,,,,,
199,MLS,Official,2012,Castrol,Castrol,,,,,,,,,
200,MLS,Official,2012,Continental Tire,Continental Tire,,,,,,,,,
201,MLS,Official,2012,Degree for men,Rexona,Degree for men,,,,,,,,
202,MLS,Official,2012,Dicks Sporting Goods,Dicks Sporting Goods,,,,,,,,,
203,MLS,Official,2012,el Jimador Tequila,el Jimador Tequila,,,,,,,,,
204,MLS,Official,2012,Gatorade,PepsiCo,Gatorade,,,,,,,,
205,MLS,Official,2012,JeldWen Windows  Doors,JeldWen Windows  Doors,,,,,,,,,
206,MLS,Official,2012,Makita,Makita,,,,,,,,,
207,MLS,Official,2012,Panasonic,Panasonic,,,,,,,,,
208,MLS,Official,2012,Pepsi Max,PepsiCo,Pepsi Max,,,,,,,,
209,MLS,Official,2012,Red Bull,Red Bull,,,,,,,,,
210,MLS,Official,2012,The Home Depot,The Home Depot,,,,,,,,,
211,MLS,Official,2012,VISA,VISA,,,,,,,,,
212,MLS,Official,2012,Volkswagen,Volkswagen,,,,,,,,,
213,MLS,Official,2012,XBOX 360,Microsoft,XBOX 360,,,,,,,,
214,MLS,Franchise,2012,Herbalife,Herbalife,,,,Jersey,5,Dollars_Millions,,Los Angeles Galaxy,Jersey
215,MLS,Franchise,2012,Bank of Montreal,Bank of Montreal,,,,Jersey,4,Dollars_Millions,,Toronto FC,Jersey
216,MLS,Franchise,2012,Microsoft,Microsoft,,,,Jersey,4,Dollars_Millions,,Seattle Sounders FC,Jersey
217,MLS,Franchise,2012,Volkswagen,Volkswagen,,,,Jersey,3.7,Dollars_Millions,,D.C. United,Jersey
218,MLS,Franchise,2012,Best Buy,Best Buy,,,,Jersey,2.6,Dollars_Millions,,Chicago Fire,Jersey
219,MLS,Franchise,2012,Comex Group,Comex Group,,,,Jersey,2,Dollars_Millions,,Chivas USA,Jersey
220,MLS,Franchise,2012,Amigo Energy,Amigo Energy,,,,Jersey,1.9,Dollars_Millions,,Houston Dynamo,Jersey
221,MLS,Franchise,2012,Glidden,Glidden,,,,Jersey,1,Dollars_Millions,,Columbus Crew,Jersey
222,MLS,Franchise,2012,XanGo,XanGo,,,,Jersey,1,Dollars_Millions,,Real Salt Lake,Jersey
223,MLS,Franchise,2012,Bell Canada,Bell Canada,,,,Jersey,3.87,Dollars_Millions,,Vancouver Whitecaps,Jersey
224,NASCAR,Official,2012,3M,3M,,,,,,,,,
225,NASCAR,Official,2012,Bank of America,Bank of America,,,,,,,,,
226,NASCAR,Official,2012,Camping World,Camping World,,,,,,,,,
227,NASCAR,Official,2012,Canadian Tire,Canadian Tire,,,,,,,,,
228,NASCAR,Official,2012,Chevrolet,General Motors,Chevrolet,,,,,,,,
229,NASCAR,Official,2012,CocaCola,CocaCola,,,,,,,,,
