"","player","career","rookie_season","final_season","total_attempts","total_completions","total_passing_yards","total_touchdowns","total_games","total_seasons","player_sports_ref_url","player_sports_ref_gamelog_url"
"248","John Reaves","1972-1987",1972,1987,616,286,3617,17,49,9,"http://www.pro-football-reference.com/players/R/ReavJo00.htm","http://www.pro-football-reference.com/players/R/ReavJo00/gamelog"
"88","Chuck Long","1986-1991",1986,1991,608,331,3746,19,26,6,"http://www.pro-football-reference.com/players/L/LongCh00.htm","http://www.pro-football-reference.com/players/L/LongCh00/gamelog"
"250","John Skelton","2010-2012",2010,2012,602,320,3707,15,20,3,"http://www.pro-football-reference.com/players/S/SkelJo00.htm","http://www.pro-football-reference.com/players/S/SkelJo00/gamelog"
"184","Heath Shuler","1994-1997",1994,1997,593,292,3691,15,29,4,"http://www.pro-football-reference.com/players/S/ShulHe00.htm","http://www.pro-football-reference.com/players/S/ShulHe00/gamelog"
"260","Karl Sweetan","1966-1970",1966,1970,590,269,3210,17,31,5,"http://www.pro-football-reference.com/players/S/SweeKa00.htm","http://www.pro-football-reference.com/players/S/SweeKa00/gamelog"
"314","Mickey Slaughter","1963-1966",1963,1966,583,291,3607,22,32,4,"http://www.pro-football-reference.com/players/S/SlauMi00.htm","http://www.pro-football-reference.com/players/S/SlauMi00/gamelog"
"302","Matt Cavanaugh","1979-1990",1979,1990,581,306,4335,28,56,12,"http://www.pro-football-reference.com/players/C/CavaMa00.htm","http://www.pro-football-reference.com/players/C/CavaMa00/gamelog"
"30","Billy Volek","2001-2011",2001,2011,565,340,3802,27,39,9,"http://www.pro-football-reference.com/players/V/VoleBi00.htm","http://www.pro-football-reference.com/players/V/VoleBi00/gamelog"
"377","Sage Rosenfels","2002-2010",2002,2010,562,351,4156,30,31,8,"http://www.pro-football-reference.com/players/R/RoseSa00.htm","http://www.pro-football-reference.com/players/R/RoseSa00/gamelog"
"295","Mark Herrmann","1982-1992",1982,1992,561,334,4015,16,34,11,"http://www.pro-football-reference.com/players/H/HerrMa00.htm","http://www.pro-football-reference.com/players/H/HerrMa00/gamelog"
"99","Craig Whelihan","1997-1998",1997,1998,557,267,3160,14,19,2,"http://www.pro-football-reference.com/players/W/WhelCr00.htm","http://www.pro-football-reference.com/players/W/WhelCr00/gamelog"
"247","John McCormick","1962-1968",1962,1968,555,214,2895,17,39,5,"http://www.pro-football-reference.com/players/M/McCoJo00.htm","http://www.pro-football-reference.com/players/M/McCoJo00/gamelog"
"195","Jake Locker","2011-2013",2011,2013,554,318,3950,22,22,3,"http://www.pro-football-reference.com/players/L/LockJa00.htm","http://www.pro-football-reference.com/players/L/LockJa00/gamelog"
"428","Timm Rosenbach","1989-1992",1989,1992,551,295,3676,16,25,3,"http://www.pro-football-reference.com/players/R/RoseTi00.htm","http://www.pro-football-reference.com/players/R/RoseTi00/gamelog"
"50","Brady Quinn","2007-2012",2007,2012,550,296,3043,12,25,4,"http://www.pro-football-reference.com/players/Q/QuinBr00.htm","http://www.pro-football-reference.com/players/Q/QuinBr00/gamelog"
"85","Chris Simms","2004-2009",2004,2009,549,322,3315,12,23,5,"http://www.pro-football-reference.com/players/S/SimmCh00.htm","http://www.pro-football-reference.com/players/S/SimmCh00/gamelog"
"429","Tobin Rote","1957-1966",1957,1966,547,296,4489,37,33,4,"http://www.pro-football-reference.com/players/R/RoteTo00.htm","http://www.pro-football-reference.com/players/R/RoteTo00/gamelog"
"199","Jamie Martin","1996-2007",1996,2007,541,355,3814,20,52,9,"http://www.pro-football-reference.com/players/M/MartJa00.htm","http://www.pro-football-reference.com/players/M/MartJa00/gamelog"
"156","Eric Zeier","1995-2000",1995,2000,537,301,3520,16,24,6,"http://www.pro-football-reference.com/players/Z/ZeieEr00.htm","http://www.pro-football-reference.com/players/Z/ZeieEr00/gamelog"
"212","Jeff Rutledge","1979-1991",1979,1991,533,275,3625,16,40,11,"http://www.pro-football-reference.com/players/R/RutlJe00.htm","http://www.pro-football-reference.com/players/R/RutlJe00/gamelog"
"27","Billy Joe Hobert","1995-1999",1995,1999,531,278,3450,23,29,5,"http://www.pro-football-reference.com/players/H/HobeBi00.htm","http://www.pro-football-reference.com/players/H/HobeBi00/gamelog"
"140","Doug Pederson","1993-2004",1993,2004,523,286,2761,12,40,9,"http://www.pro-football-reference.com/players/P/PedeDo00.htm","http://www.pro-football-reference.com/players/P/PedeDo00/gamelog"
"308","Matt Robinson","1977-1982",1977,1982,523,244,3519,18,32,6,"http://www.pro-football-reference.com/players/R/RobiMa01.htm","http://www.pro-football-reference.com/players/R/RobiMa01/gamelog"
"179","Gifford Nielsen","1978-1983",1978,1983,522,286,3384,21,31,6,"http://www.pro-football-reference.com/players/N/NielGi00.htm","http://www.pro-football-reference.com/players/N/NielGi00/gamelog"
"316","Mike Boryla","1974-1978",1974,1978,519,272,2838,20,23,4,"http://www.pro-football-reference.com/players/B/BoryMi00.htm","http://www.pro-football-reference.com/players/B/BoryMi00/gamelog"
"68","Cade McNown","1999-2000",1999,2000,515,281,3111,16,25,2,"http://www.pro-football-reference.com/players/M/McNoCa00.htm","http://www.pro-football-reference.com/players/M/McNoCa00/gamelog"
"319","Mike McMahon","2001-2005",2001,2005,515,229,2867,15,27,5,"http://www.pro-football-reference.com/players/M/McMaMi00.htm","http://www.pro-football-reference.com/players/M/McMaMi00/gamelog"
