"","player","career","rookie_season","final_season","total_attempts","total_completions","total_passing_yards","total_touchdowns","total_games","total_seasons","player_sports_ref_url","player_sports_ref_gamelog_url"
"384","Scott Campbell","1984-1990",1984,1990,454,224,2983,19,28,5,"http://www.pro-football-reference.com/players/C/CampSc00.htm","http://www.pro-football-reference.com/players/C/CampSc00/gamelog"
"263","Kellen Clemens","2006-2013",2006,2013,448,233,2658,8,30,8,"http://www.pro-football-reference.com/players/C/ClemKe00.htm","http://www.pro-football-reference.com/players/C/ClemKe00/gamelog"
"421","Terry Hanratty","1969-1976",1969,1976,441,170,2567,24,46,8,"http://www.pro-football-reference.com/players/H/HanrTe00.htm","http://www.pro-football-reference.com/players/H/HanrTe00/gamelog"
"60","Browning Nagle","1991-1996",1991,1996,437,213,2489,8,23,5,"http://www.pro-football-reference.com/players/N/NaglBr00.htm","http://www.pro-football-reference.com/players/N/NaglBr00/gamelog"
"149","Edd Hargett","1969-1971",1969,1971,437,205,2727,11,26,3,"http://www.pro-football-reference.com/players/H/HargEd00.htm","http://www.pro-football-reference.com/players/H/HargEd00/gamelog"
"211","Jeff Komlo","1979-1983",1979,1983,437,218,2603,12,22,4,"http://www.pro-football-reference.com/players/K/KomlJe00.htm","http://www.pro-football-reference.com/players/K/KomlJe00/gamelog"
"265","Kelly Stouffer","1988-1992",1988,1992,437,225,2333,7,22,4,"http://www.pro-football-reference.com/players/S/StouKe00.htm","http://www.pro-football-reference.com/players/S/StouKe00/gamelog"
"320","Mike Moroski","1979-1986",1979,1986,425,241,2864,8,31,8,"http://www.pro-football-reference.com/players/M/MoroMi00.htm","http://www.pro-football-reference.com/players/M/MoroMi00/gamelog"
"128","Dieter Brock","1985-1985",1985,1985,418,234,2774,16,17,1,"http://www.pro-football-reference.com/players/B/BrocDi00.htm","http://www.pro-football-reference.com/players/B/BrocDi00/gamelog"
"75","Chad Hutchinson","2002-2004",2002,2004,413,220,2466,11,15,3,"http://www.pro-football-reference.com/players/H/HutcCh00.htm","http://www.pro-football-reference.com/players/H/HutcCh00/gamelog"
"334","Oliver Luck","1983-1986",1983,1986,413,233,2544,13,19,4,"http://www.pro-football-reference.com/players/L/LuckOl00.htm","http://www.pro-football-reference.com/players/L/LuckOl00/gamelog"
"267","Ken Dorsey","2004-2008",2004,2008,408,214,2082,8,17,5,"http://www.pro-football-reference.com/players/D/DorsKe00.htm","http://www.pro-football-reference.com/players/D/DorsKe00/gamelog"
"447","Tony Adams","1975-1987",1975,1987,408,212,2733,12,25,5,"http://www.pro-football-reference.com/players/A/AdamTo00.htm","http://www.pro-football-reference.com/players/A/AdamTo00/gamelog"
"427","Tim Tebow","2010-2012",2010,2012,407,192,2875,19,35,3,"http://www.pro-football-reference.com/players/T/TeboTi00.htm","http://www.pro-football-reference.com/players/T/TeboTi00/gamelog"
"171","Gary Wood","1964-1969",1964,1969,400,186,2575,14,40,6,"http://www.pro-football-reference.com/players/W/WoodGa00.htm","http://www.pro-football-reference.com/players/W/WoodGa00/gamelog"
"350","Ralph Guglielmi","1960-1963",1960,1963,394,202,2802,16,31,4,"http://www.pro-football-reference.com/players/G/GuglRa00.htm","http://www.pro-football-reference.com/players/G/GuglRa00/gamelog"
"396","Stan Gelbaugh","1989-1996",1989,1996,391,192,2100,10,20,6,"http://www.pro-football-reference.com/players/G/GelbSt00.htm","http://www.pro-football-reference.com/players/G/GelbSt00/gamelog"
"139","Doug Johnson","2000-2006",2000,2006,385,219,2614,13,27,6,"http://www.pro-football-reference.com/players/J/JohnDo00.htm","http://www.pro-football-reference.com/players/J/JohnDo00/gamelog"
"330","Nick Foles","2012-2013",2012,2013,383,235,2727,19,13,2,"http://www.pro-football-reference.com/players/F/FoleNi00.htm","http://www.pro-football-reference.com/players/F/FoleNi00/gamelog"
"180","Glenn Foley","1994-1999",1994,1999,382,207,2469,12,17,6,"http://www.pro-football-reference.com/players/F/FoleGl00.htm","http://www.pro-football-reference.com/players/F/FoleGl00/gamelog"
"360","Rick Norton","1966-1970",1966,1970,382,159,1815,7,22,5,"http://www.pro-football-reference.com/players/N/NortRi00.htm","http://www.pro-football-reference.com/players/N/NortRi00/gamelog"
"340","Paul Justin","1995-1999",1995,1999,381,221,2620,8,31,5,"http://www.pro-football-reference.com/players/J/JustPa00.htm","http://www.pro-football-reference.com/players/J/JustPa00/gamelog"
"89","Cleo Lemon","2005-2008",2005,2008,379,211,2185,8,16,4,"http://www.pro-football-reference.com/players/L/LemoCl00.htm","http://www.pro-football-reference.com/players/L/LemoCl00/gamelog"
"332","Norm Van Brocklin","1949-1960",1949,1960,379,199,3207,28,19,6,"http://www.pro-football-reference.com/players/V/VanBNo00.htm","http://www.pro-football-reference.com/players/V/VanBNo00/gamelog"
"136","Donald Hollas","1991-1998",1991,1998,375,202,2399,13,27,4,"http://www.pro-football-reference.com/players/H/HollDo00.htm","http://www.pro-football-reference.com/players/H/HollDo00/gamelog"
"439","Tom Owen","1974-1981",1974,1981,371,182,2444,15,26,6,"http://www.pro-football-reference.com/players/O/OwenTo00.htm","http://www.pro-football-reference.com/players/O/OwenTo00/gamelog"
"279","Koy Detmer","1998-2005",1998,2005,369,192,2035,10,43,8,"http://www.pro-football-reference.com/players/D/DetmKo00.htm","http://www.pro-football-reference.com/players/D/DetmKo00/gamelog"
"59","Brooks Bollinger","2004-2008",2004,2008,360,211,2226,9,21,5,"http://www.pro-football-reference.com/players/B/BollBr00.htm","http://www.pro-football-reference.com/players/B/BollBr00/gamelog"
"249","John Roach","1960-1964",1960,1964,357,160,2425,22,37,5,"http://www.pro-football-reference.com/players/R/RoacJo00.htm","http://www.pro-football-reference.com/players/R/RoacJo00/gamelog"
"177","George Shaw","1960-1962",1960,1962,356,171,2576,19,27,3,"http://www.pro-football-reference.com/players/S/ShawGe00.htm","http://www.pro-football-reference.com/players/S/ShawGe00/gamelog"
"110","Danny Wuerffel","1997-2002",1997,2002,350,184,2123,12,22,5,"http://www.pro-football-reference.com/players/W/WuerDa00.htm","http://www.pro-football-reference.com/players/W/WuerDa00/gamelog"
"176","George Mira","1964-1971",1964,1971,346,148,2110,19,39,7,"http://www.pro-football-reference.com/players/M/MiraGe00.htm","http://www.pro-football-reference.com/players/M/MiraGe00/gamelog"
"11","Andrew Walter","2005-2008",2005,2008,333,174,1919,3,16,4,"http://www.pro-football-reference.com/players/W/WaltAn00.htm","http://www.pro-football-reference.com/players/W/WaltAn00/gamelog"
"233","Joe Gilliam","1972-1975",1972,1975,333,147,2103,9,21,4,"http://www.pro-football-reference.com/players/G/GillJo00.htm","http://www.pro-football-reference.com/players/G/GillJo00/gamelog"
"79","Charlie Conerly","1950-1961",1950,1961,332,158,2373,19,24,6,"http://www.pro-football-reference.com/players/C/ConeCh00.htm","http://www.pro-football-reference.com/players/C/ConeCh00/gamelog"
"244","John Fourcade","1987-1990",1987,1990,331,164,2391,14,19,4,"http://www.pro-football-reference.com/players/F/FourJo00.htm","http://www.pro-football-reference.com/players/F/FourJo00/gamelog"
"26","Bill Troup","1976-1980",1976,1980,328,166,2047,10,22,4,"http://www.pro-football-reference.com/players/T/TrouBi00.htm","http://www.pro-football-reference.com/players/T/TrouBi00/gamelog"
"36","Bob Davis","1967-1973",1967,1973,324,137,1553,14,28,7,"http://www.pro-football-reference.com/players/D/DaviBo00.htm","http://www.pro-football-reference.com/players/D/DaviBo00/gamelog"
"285","Lamar McHan","1960-1963",1960,1963,322,129,2066,15,31,4,"http://www.pro-football-reference.com/players/M/McHaLa00.htm","http://www.pro-football-reference.com/players/M/McHaLa00/gamelog"
"438","Tom Hodson","1990-1995",1990,1995,320,174,1823,7,15,4,"http://www.pro-football-reference.com/players/H/HodsTo00.htm","http://www.pro-football-reference.com/players/H/HodsTo00/gamelog"
"58","Brodie Croyle","2006-2010",2006,2010,319,181,1669,8,19,5,"http://www.pro-football-reference.com/players/C/CroyBr00.htm","http://www.pro-football-reference.com/players/C/CroyBr00/gamelog"
"415","Stoney Case","1995-2000",1995,2000,318,163,1826,4,18,4,"http://www.pro-football-reference.com/players/C/CaseSt00.htm","http://www.pro-football-reference.com/players/C/CaseSt00/gamelog"
"169","Gary Kubiak","1983-1991",1983,1991,317,189,2132,14,45,9,"http://www.pro-football-reference.com/players/K/KubiGa00.htm","http://www.pro-football-reference.com/players/K/KubiGa00/gamelog"
"175","George Izo","1960-1966",1960,1966,317,132,1791,12,26,7,"http://www.pro-football-reference.com/players/I/IzoxGe00.htm","http://www.pro-football-reference.com/players/I/IzoxGe00/gamelog"
"289","Luke McCown","2004-2013",2004,2013,316,184,2035,9,29,8,"http://www.pro-football-reference.com/players/M/McCoLu00.htm","http://www.pro-football-reference.com/players/M/McCoLu00/gamelog"
"411","Steve Stenstrom","1996-1999",1996,1999,314,177,1895,4,17,4,"http://www.pro-football-reference.com/players/S/StenSt00.htm","http://www.pro-football-reference.com/players/S/StenSt00/gamelog"
"251","John Stofa","1966-1970",1966,1970,312,146,1758,12,21,5,"http://www.pro-football-reference.com/players/S/StofJo00.htm","http://www.pro-football-reference.com/players/S/StofJo00/gamelog"
"62","Bruce Mathison","1983-1987",1983,1987,309,152,2177,7,15,4,"http://www.pro-football-reference.com/players/M/MathBr00.htm","http://www.pro-football-reference.com/players/M/MathBr00/gamelog"
"379","Sam Etcheverry","1961-1962",1961,1962,302,154,1982,16,26,2,"http://www.pro-football-reference.com/players/E/EtchSa00.htm","http://www.pro-football-reference.com/players/E/EtchSa00/gamelog"
"335","Otto Graham","1946-1955",1946,1955,300,159,2101,14,12,10,"http://www.pro-football-reference.com/players/G/GrahOt00.htm","http://www.pro-football-reference.com/players/G/GrahOt00/gamelog"
"229","Jimmy Clausen","2010-2010",2010,2010,299,157,1558,3,13,1,"http://www.pro-football-reference.com/players/C/ClauJi00.htm","http://www.pro-football-reference.com/players/C/ClauJi00/gamelog"
"163","Gale Gilbert","1985-1995",1985,1995,297,167,1763,9,24,5,"http://www.pro-football-reference.com/players/G/GilbGa00.htm","http://www.pro-football-reference.com/players/G/GilbGa00/gamelog"
"201","Jason Garrett","1993-2000",1993,2000,297,168,2039,11,27,8,"http://www.pro-football-reference.com/players/G/GarrJa00.htm","http://www.pro-football-reference.com/players/G/GarrJa00/gamelog"
"102","Dan Darragh","1968-1970",1968,1970,296,127,1353,4,17,3,"http://www.pro-football-reference.com/players/D/DarrDa00.htm","http://www.pro-football-reference.com/players/D/DarrDa00/gamelog"
"388","Scott Zolak","1992-1999",1992,1999,294,146,1507,8,29,8,"http://www.pro-football-reference.com/players/Z/ZolaSc00.htm","http://www.pro-football-reference.com/players/Z/ZolaSc00/gamelog"
"170","Gary Marangi","1974-1976",1974,1976,283,104,1373,12,18,3,"http://www.pro-football-reference.com/players/M/MaraGa00.htm","http://www.pro-football-reference.com/players/M/MaraGa00/gamelog"
"214","Jerry Rhome","1965-1971",1965,1971,282,141,1663,7,28,6,"http://www.pro-football-reference.com/players/R/RhomJe00.htm","http://www.pro-football-reference.com/players/R/RhomJe00/gamelog"
"215","Jerry Tagge","1972-1974",1972,1974,281,136,1583,3,17,3,"http://www.pro-football-reference.com/players/T/TaggJe00.htm","http://www.pro-football-reference.com/players/T/TaggJe00/gamelog"
"333","Norris Weese","1976-1979",1976,1979,277,155,2027,7,38,4,"http://www.pro-football-reference.com/players/W/WeesNo00.htm","http://www.pro-football-reference.com/players/W/WeesNo00/gamelog"
"100","Curtis Painter","2009-2013",2009,2013,275,142,1640,6,12,3,"http://www.pro-football-reference.com/players/P/PainCu00.htm","http://www.pro-football-reference.com/players/P/PainCu00/gamelog"
"172","Geno  Smith","2013-2013",2013,2013,272,158,1997,8,9,1,"http://www.pro-football-reference.com/players/S/SmitGe00.htm","http://www.pro-football-reference.com/players/S/SmitGe00/gamelog"
"276","Kim McQuilken","1974-1979",1974,1979,272,108,1135,4,22,5,"http://www.pro-football-reference.com/players/M/McQuKi00.htm","http://www.pro-football-reference.com/players/M/McQuKi00/gamelog"
"431","Todd Bouman","2001-2010",2001,2010,264,147,1905,13,27,6,"http://www.pro-football-reference.com/players/B/BoumTo00.htm","http://www.pro-football-reference.com/players/B/BoumTo00/gamelog"
"323","Mike Rae","1976-1979",1976,1979,262,126,1578,12,25,4,"http://www.pro-football-reference.com/players/R/RaexMi00.htm","http://www.pro-football-reference.com/players/R/RaexMi00/gamelog"
"422","Terry Nofsinger","1961-1967",1961,1967,260,118,1357,4,22,6,"http://www.pro-football-reference.com/players/N/NofsTe00.htm","http://www.pro-football-reference.com/players/N/NofsTe00/gamelog"
"188","J.T. O'Sullivan","2004-2009",2004,2009,257,145,1866,9,19,4,"http://www.pro-football-reference.com/players/O/OSulJ.00.htm","http://www.pro-football-reference.com/players/O/OSulJ.00/gamelog"
"368","Ron Vander Kelen","1963-1967",1963,1967,252,107,1375,6,25,5,"http://www.pro-football-reference.com/players/V/VandRo00.htm","http://www.pro-football-reference.com/players/V/VandRo00/gamelog"
"468","Warren Rabb","1961-1962",1961,1962,251,101,1782,15,17,2,"http://www.pro-football-reference.com/players/R/RabbWa00.htm","http://www.pro-football-reference.com/players/R/RabbWa00/gamelog"
"241","John Beck","2007-2011",2007,2011,239,140,1417,3,9,2,"http://www.pro-football-reference.com/players/B/BeckJo00.htm","http://www.pro-football-reference.com/players/B/BeckJo00/gamelog"
"456","Troy Smith","2007-2010",2007,2010,235,121,1736,8,22,4,"http://www.pro-football-reference.com/players/S/SmitTr02.htm","http://www.pro-football-reference.com/players/S/SmitTr02/gamelog"
"174","George Herring","1960-1961",1960,1961,233,102,1297,5,28,2,"http://www.pro-football-reference.com/players/H/HerrGe00.htm","http://www.pro-football-reference.com/players/H/HerrGe00/gamelog"
"419","Terrelle Pryor","2011-2013",2011,2013,228,135,1592,7,12,3,"http://www.pro-football-reference.com/players/P/PryoTe00.htm","http://www.pro-football-reference.com/players/P/PryoTe00/gamelog"
"433","Todd Marinovich","1991-1992",1991,1992,228,116,1485,8,9,2,"http://www.pro-football-reference.com/players/M/MariTo00.htm","http://www.pro-football-reference.com/players/M/MariTo00/gamelog"
"441","Tom Sherman","1968-1969",1968,1969,228,92,1219,13,13,2,"http://www.pro-football-reference.com/players/S/SherTo00.htm","http://www.pro-football-reference.com/players/S/SherTo00/gamelog"
"255","Jonathan Quinn","1998-2004",1998,2004,223,117,1161,4,14,5,"http://www.pro-football-reference.com/players/Q/QuinJo00.htm","http://www.pro-football-reference.com/players/Q/QuinJo00/gamelog"
"380","Sam Wyche","1968-1976",1968,1976,223,117,1777,12,20,6,"http://www.pro-football-reference.com/players/W/WychSa00.htm","http://www.pro-football-reference.com/players/W/WychSa00/gamelog"
"417","T.J. Yates","2011-2013",2011,2013,221,129,1443,4,15,3,"http://www.pro-football-reference.com/players/Y/YateT.00.htm","http://www.pro-football-reference.com/players/Y/YateT.00/gamelog"
"338","Pat Sullivan","1972-1975",1972,1975,220,93,1155,5,18,4,"http://www.pro-football-reference.com/players/S/SullPa00.htm","http://www.pro-football-reference.com/players/S/SullPa00/gamelog"
"216","Jesse Lee Freitas","1974-1975",1974,1975,219,98,1244,8,13,2,"http://www.pro-football-reference.com/players/F/FreiJe00.htm","http://www.pro-football-reference.com/players/F/FreiJe00/gamelog"
"213","Jerry Golsteyn","1977-1983",1977,1983,217,92,1077,2,18,5,"http://www.pro-football-reference.com/players/G/GolsJe00.htm","http://www.pro-football-reference.com/players/G/GolsJe00/gamelog"
"291","M.C. Reynolds","1960-1962",1960,1962,216,98,1181,2,16,3,"http://www.pro-football-reference.com/players/R/ReynM.00.htm","http://www.pro-football-reference.com/players/R/ReynM.00/gamelog"
"440","Tom Ramsey","1986-1989",1986,1989,214,108,1285,7,15,4,"http://www.pro-football-reference.com/players/R/RamsTo00.htm","http://www.pro-football-reference.com/players/R/RamsTo00/gamelog"
"443","Tom Yewcic","1961-1966",1961,1966,214,90,1413,12,76,6,"http://www.pro-football-reference.com/players/Y/YewcTo00.htm","http://www.pro-football-reference.com/players/Y/YewcTo00/gamelog"
"17","Babe Laufenberg","1988-1990",1988,1990,211,93,1057,5,12,2,"http://www.pro-football-reference.com/players/L/LaufBa00.htm","http://www.pro-football-reference.com/players/L/LaufBa00/gamelog"
"315","Mike  Glennon","2013-2013",2013,2013,204,123,1165,8,5,1,"http://www.pro-football-reference.com/players/G/GlenMi00.htm","http://www.pro-football-reference.com/players/G/GlenMi00/gamelog"
"358","Rick Arrington","1970-1972",1970,1972,204,97,950,3,16,3,"http://www.pro-football-reference.com/players/A/ArriRi00.htm","http://www.pro-football-reference.com/players/A/ArriRi00/gamelog"
"387","Scott Secules","1989-1993",1989,1993,204,108,1311,4,18,4,"http://www.pro-football-reference.com/players/S/SecuSc00.htm","http://www.pro-football-reference.com/players/S/SecuSc00/gamelog"
"16","Art Schlichter","1982-1985",1982,1985,202,91,1006,3,13,3,"http://www.pro-football-reference.com/players/S/SchlAr00.htm","http://www.pro-football-reference.com/players/S/SchlAr00/gamelog"
"305","Matt Kofler","1982-1985",1982,1985,202,91,1156,7,24,4,"http://www.pro-football-reference.com/players/K/KoflMa00.htm","http://www.pro-football-reference.com/players/K/KoflMa00/gamelog"
"181","Greg Cook","1969-1973",1969,1973,200,107,1865,15,12,2,"http://www.pro-football-reference.com/players/C/CookGr00.htm","http://www.pro-football-reference.com/players/C/CookGr00/gamelog"
"416","T.J. Rubley","1993-1995",1993,1995,195,112,1377,8,10,2,"http://www.pro-football-reference.com/players/R/RublTJ00.htm","http://www.pro-football-reference.com/players/R/RublTJ00/gamelog"
"13","Anthony Dilweg","1989-1990",1989,1990,193,102,1274,8,9,2,"http://www.pro-football-reference.com/players/D/DilwAn00.htm","http://www.pro-football-reference.com/players/D/DilwAn00/gamelog"
"33","Blair Kiel","1986-1991",1986,1991,193,108,1296,8,11,4,"http://www.pro-football-reference.com/players/K/KielBl00.htm","http://www.pro-football-reference.com/players/K/KielBl00/gamelog"
"383","Scott Bull","1976-1978",1976,1978,193,76,992,3,17,3,"http://www.pro-football-reference.com/players/B/BullSc00.htm","http://www.pro-football-reference.com/players/B/BullSc00/gamelog"
"55","Brian Hoyer","2009-2013",2009,2013,192,114,1231,7,17,5,"http://www.pro-football-reference.com/players/H/HoyeBr00.htm","http://www.pro-football-reference.com/players/H/HoyeBr00/gamelog"
"349","Quinn Gray","2005-2008",2005,2008,188,108,1328,13,13,4,"http://www.pro-football-reference.com/players/G/GrayQu00.htm","http://www.pro-football-reference.com/players/G/GrayQu00/gamelog"
"144","Drew Stanton","2008-2010",2008,2010,187,104,1158,5,12,3,"http://www.pro-football-reference.com/players/S/StanDr00.htm","http://www.pro-football-reference.com/players/S/StanDr00/gamelog"
"151","Eddie Wilson","1962-1965",1962,1965,186,90,1443,5,33,4,"http://www.pro-football-reference.com/players/W/WilsEd00.htm","http://www.pro-football-reference.com/players/W/WilsEd00/gamelog"
"64","Bucky Richardson","1992-1994",1992,1994,185,97,1257,6,9,3,"http://www.pro-football-reference.com/players/R/RichBu00.htm","http://www.pro-football-reference.com/players/R/RichBu00/gamelog"
"129","Don Breaux","1963-1965",1963,1965,183,93,1363,9,15,2,"http://www.pro-football-reference.com/players/B/BreaDo00.htm","http://www.pro-football-reference.com/players/B/BreaDo00/gamelog"
"344","Peter Tom Willis","1990-1993",1990,1993,183,104,1261,6,15,4,"http://www.pro-football-reference.com/players/W/WillPe00.htm","http://www.pro-football-reference.com/players/W/WillPe00/gamelog"
"366","Ron C. Smith","1966-1966",1966,1966,181,79,1249,8,9,1,"http://www.pro-football-reference.com/players/S/SmitRo03.htm","http://www.pro-football-reference.com/players/S/SmitRo03/gamelog"
"257","Josh Johnson","2009-2013",2009,2013,177,96,1042,5,23,5,"http://www.pro-football-reference.com/players/J/JohnJo05.htm","http://www.pro-football-reference.com/players/J/JohnJo05/gamelog"
"425","Tim Hasselbeck","2003-2007",2003,2007,177,95,1012,5,13,3,"http://www.pro-football-reference.com/players/H/HassTi00.htm","http://www.pro-football-reference.com/players/H/HassTi00/gamelog"
"303","Matt Flynn","2008-2013",2008,2013,176,109,1328,10,25,6,"http://www.pro-football-reference.com/players/F/FlynMa00.htm","http://www.pro-football-reference.com/players/F/FlynMa00/gamelog"
"65","Buddy Humphrey","1960-1966",1960,1966,175,87,1094,4,18,6,"http://www.pro-football-reference.com/players/H/HumpBu00.htm","http://www.pro-football-reference.com/players/H/HumpBu00/gamelog"
"450","Tony Graziani","1997-1999",1997,1999,174,85,999,2,17,3,"http://www.pro-football-reference.com/players/G/GrazTo00.htm","http://www.pro-football-reference.com/players/G/GrazTo00/gamelog"
"287","Lee Grosscup","1960-1962",1960,1962,173,73,1086,10,15,3,"http://www.pro-football-reference.com/players/G/GrosLe00.htm","http://www.pro-football-reference.com/players/G/GrosLe00/gamelog"
"434","Todd Philcox","1990-1997",1990,1997,173,85,1138,7,13,5,"http://www.pro-football-reference.com/players/P/PhilTo00.htm","http://www.pro-football-reference.com/players/P/PhilTo00/gamelog"
"375","Ryan Lindley","2012-2012",2012,2012,171,89,752,0,7,1,"http://www.pro-football-reference.com/players/L/LindRy00.htm","http://www.pro-football-reference.com/players/L/LindRy00/gamelog"
"9","Andre Ware","1990-1993",1990,1993,170,87,1127,5,16,4,"http://www.pro-football-reference.com/players/W/WareAn00.htm","http://www.pro-football-reference.com/players/W/WareAn00/gamelog"
"259","June Jones","1977-1981",1977,1981,166,75,923,3,14,4,"http://www.pro-football-reference.com/players/J/JoneJu00.htm","http://www.pro-football-reference.com/players/J/JoneJu00/gamelog"
"312","Max Choboian","1966-1966",1966,1966,163,82,1110,4,7,1,"http://www.pro-football-reference.com/players/C/ChobMa00.htm","http://www.pro-football-reference.com/players/C/ChobMa00/gamelog"
"299","Mark Vlasic","1987-1991",1987,1991,162,84,886,5,12,4,"http://www.pro-football-reference.com/players/V/VlasMa00.htm","http://www.pro-football-reference.com/players/V/VlasMa00/gamelog"
"186","Hunter Enis","1960-1962",1960,1962,160,80,947,4,22,3,"http://www.pro-football-reference.com/players/E/EnisHu00.htm","http://www.pro-football-reference.com/players/E/EnisHu00/gamelog"
"317","Mike Kruczek","1976-1980",1976,1980,160,98,1229,0,32,5,"http://www.pro-football-reference.com/players/K/KrucMi00.htm","http://www.pro-football-reference.com/players/K/KrucMi00/gamelog"
"406","Steve Myer","1977-1979",1977,1979,160,83,851,6,12,3,"http://www.pro-football-reference.com/players/M/MyerSt00.htm","http://www.pro-football-reference.com/players/M/MyerSt00/gamelog"
"446","Tommy O'Connell","1957-1961",1957,1961,158,70,1105,7,13,3,"http://www.pro-football-reference.com/players/O/OConTo00.htm","http://www.pro-football-reference.com/players/O/OConTo00/gamelog"
"115","Dave Mays","1976-1978",1976,1978,156,80,937,7,12,3,"http://www.pro-football-reference.com/players/M/MaysDa00.htm","http://www.pro-football-reference.com/players/M/MaysDa00/gamelog"
"227","Jim Sorgi","2004-2008",2004,2008,156,99,929,6,16,5,"http://www.pro-football-reference.com/players/S/SorgJi00.htm","http://www.pro-football-reference.com/players/S/SorgJi00/gamelog"
"81","Charlie Whitehurst","2006-2013",2006,2013,154,83,802,3,13,4,"http://www.pro-football-reference.com/players/W/WhitCh02.htm","http://www.pro-football-reference.com/players/W/WhitCh02/gamelog"
"395","Spergon Wynn","2000-2001",2000,2001,152,70,585,1,10,2,"http://www.pro-football-reference.com/players/W/WynnSp00.htm","http://www.pro-football-reference.com/players/W/WynnSp00/gamelog"
"152","EJ  Manuel","2013-2013",2013,2013,150,85,985,5,5,1,"http://www.pro-football-reference.com/players/M/ManuEJ00.htm","http://www.pro-football-reference.com/players/M/ManuEJ00/gamelog"
"164","Galen Hall","1962-1963",1962,1963,150,64,885,5,9,2,"http://www.pro-football-reference.com/players/H/HallGa00.htm","http://www.pro-football-reference.com/players/H/HallGa00/gamelog"
"230","Joe Dufek","1984-1984",1984,1984,150,74,829,4,5,1,"http://www.pro-football-reference.com/players/D/DufeJo00.htm","http://www.pro-football-reference.com/players/D/DufeJo00/gamelog"
"105","Dan McGwire","1991-1995",1991,1995,149,75,755,2,13,5,"http://www.pro-football-reference.com/players/M/McGwDa00.htm","http://www.pro-football-reference.com/players/M/McGwDa00/gamelog"
"408","Steve Pisarkiewicz","1978-1980",1978,1980,143,64,804,3,10,3,"http://www.pro-football-reference.com/players/P/PisaSt00.htm","http://www.pro-football-reference.com/players/P/PisaSt00/gamelog"
"158","Erik Wilhelm","1989-1996",1989,1996,141,78,924,5,20,5,"http://www.pro-football-reference.com/players/W/WilhEr00.htm","http://www.pro-football-reference.com/players/W/WilhEr00/gamelog"
"459","Tyler Palko","2010-2011",2010,2011,140,84,831,2,8,2,"http://www.pro-football-reference.com/players/P/PalkTy00.htm","http://www.pro-football-reference.com/players/P/PalkTy00/gamelog"
"120","David Humm","1975-1984",1975,1984,137,63,753,3,22,8,"http://www.pro-football-reference.com/players/H/HummDa00.htm","http://www.pro-football-reference.com/players/H/HummDa00/gamelog"
"49","Brad Smith","2006-2013",2006,2013,136,5,1011,4,113,8,"http://www.pro-football-reference.com/players/S/SmitBr01.htm","http://www.pro-football-reference.com/players/S/SmitBr01/gamelog"
"69","Caleb Hanie","2009-2011",2009,2011,136,72,832,4,11,3,"http://www.pro-football-reference.com/players/H/HaniCa00.htm","http://www.pro-football-reference.com/players/H/HaniCa00/gamelog"
"52","Brent Pease","1987-1988",1987,1988,135,62,792,3,11,2,"http://www.pro-football-reference.com/players/P/PeasBr00.htm","http://www.pro-football-reference.com/players/P/PeasBr00/gamelog"
"423","Thaddeus Lewis","2012-2013",2012,2013,135,84,856,4,4,2,"http://www.pro-football-reference.com/players/L/LewiTh01.htm","http://www.pro-football-reference.com/players/L/LewiTh01/gamelog"
"283","Kyle Mackey","1987-1989",1987,1989,134,68,729,3,6,2,"http://www.pro-football-reference.com/players/M/MackKy00.htm","http://www.pro-football-reference.com/players/M/MackKy00/gamelog"
"96","Craig Krenzel","2004-2004",2004,2004,127,59,718,3,6,1,"http://www.pro-football-reference.com/players/K/KrenCr00.htm","http://www.pro-football-reference.com/players/K/KrenCr00/gamelog"
"40","Bob Waterfield","1945-1952",1945,1952,125,63,965,6,6,5,"http://www.pro-football-reference.com/players/W/WateBo01.htm","http://www.pro-football-reference.com/players/W/WateBo01/gamelog"
"41","Bob Waters","1960-1963",1960,1963,124,59,707,3,20,4,"http://www.pro-football-reference.com/players/W/WateBo00.htm","http://www.pro-football-reference.com/players/W/WateBo00/gamelog"
"470","Will Furrer","1992-1995",1992,1995,124,57,572,2,9,2,"http://www.pro-football-reference.com/players/F/FurrWi00.htm","http://www.pro-football-reference.com/players/F/FurrWi00/gamelog"
"73","Casey Weldon","1993-1999",1993,1999,120,60,713,1,16,5,"http://www.pro-football-reference.com/players/W/WeldCa00.htm","http://www.pro-football-reference.com/players/W/WeldCa00/gamelog"
"217","Jesse Palmer","2002-2003",2002,2003,120,63,562,3,6,2,"http://www.pro-football-reference.com/players/P/PalmJe00.htm","http://www.pro-football-reference.com/players/P/PalmJe00/gamelog"
"469","Wayne Clark","1970-1974",1970,1974,120,52,745,0,18,4,"http://www.pro-football-reference.com/players/C/ClarWa00.htm","http://www.pro-football-reference.com/players/C/ClarWa00/gamelog"
"262","Keith Null","2009-2009",2009,2009,119,73,566,3,4,1,"http://www.pro-football-reference.com/players/N/NullKe00.htm","http://www.pro-football-reference.com/players/N/NullKe00/gamelog"
"98","Craig Penrose","1976-1979",1976,1979,117,55,711,5,15,4,"http://www.pro-football-reference.com/players/P/PenrCr00.htm","http://www.pro-football-reference.com/players/P/PenrCr00/gamelog"
"372","Rusty Lisch","1980-1984",1980,1984,115,55,547,1,10,3,"http://www.pro-football-reference.com/players/L/LiscRu00.htm","http://www.pro-football-reference.com/players/L/LiscRu00/gamelog"
