Player,Year,Position,Height,Weight,Hometown,City,State,High_School,Prior_College,ID_Player_Race,PlayerBio_URL,Formal_Stated_Major,College_Major_Group,Season,DBPediaCollege_Name
Nick DeLouisa,JR,K,3-Jun,200,"Tewksbury, MA",Tewksbury,MA,Immaculata High School,,C,http://www.scarletknights.com/football/roster/detail.asp?id=4544,Communication,Communications,2012-2013,Rutgers University
Nick DePaola,SR,LB,Jun-00,210,"Parkton, MD",Parkton,MD,Hereford High School,,C,http://www.scarletknights.com/football/roster/detail.asp?id=4380,Communication,Communications,2012-2013,Rutgers University
Paul Canevari,SO,FB,11-May,220,"Warwick, NY",Warwick,NY,Don Bosco Prep,,C,http://www.scarletknights.com/football/roster/detail.asp?id=24,Undeclared,Undeclared,2012-2013,Rutgers University
Paul Carrezola,SR,TE,2-Jun,240,"Langhorne, PA",Langhorne,PA,Don Bosco Prep,,C,http://www.scarletknights.com/football/roster/detail.asp?id=4352,Communication,Communications,2012-2013,Rutgers University
Paul James,SO,RB,Jun-00,205,"Glassboro, NJ",Glassboro,NJ,Glassboro High School,,C,http://www.scarletknights.com/football/roster/detail.asp?id=4660,Undeclared,Undeclared,2012-2013,Rutgers University
Quanzell Lambert,FR,LB,1-Jun,230,"Sicklerville, NJ",Sicklerville,NJ,Timber Creek High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4853,Undeclared,Undeclared,2012-2013,Rutgers University
Quentin Gause,SO,LB,1-Jun,220,"Rochester, NY",Rochester,NY,Bishop Kearney High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=5,Undeclared,Undeclared,2012-2013,Rutgers University
Quron Pratt,SR,WR,Jun-00,190,"Palmyra, NJ",Palmyra,NJ,Palmyra High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4364,Sociology,Sociology,2012-2013,Rutgers University
Richard Czeczotka,FR,QB,1-Jun,215,"East Northport, NY",East Northport,NY,John H. Glenn High School,,C,http://www.scarletknights.com/football/roster/detail.asp?id=4732,Undeclared,Undeclared,2012-2013,Rutgers University
Robert Jones,SR,LS,Jun-00,210,"West Caldwell, NJ",West Caldwell,NJ,James Caldwell High School,,C,http://www.scarletknights.com/football/roster/detail.asp?id=4379,Exercise Science,Kinesiology,2012-2013,Rutgers University
Robert Joseph,SR,LB,2-Jun,220,"Jamaica, NY",Jamaica,NY,Brooklyn Poly Prep,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4358,Exercise Science,Kinesiology,2012-2013,Rutgers University
Ruhann Peele,FR,WR,1-Jun,180,"Linden, NJ",Linden,NJ,Linden High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4856,Undeclared,Undeclared,2012-2013,Rutgers University
Ryan Brodie,FR,OL,5-Jun,300,"Long Branch, NJ",Long Branch,NJ,Long Branch High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4655,Undeclared,Undeclared,2012-2013,Rutgers University
Sam Bergen,JR,FB,Jun-00,235,"East Stroudsburg, PA",East Stroudsburg,PA,East Stroudsburg South High School,,C,http://www.scarletknights.com/football/roster/detail.asp?id=4530,Economics,Economics,2012-2013,Rutgers University
Savon Huggins,SO,RB,Jun-00,200,"Jackson, NJ",Jackson,NJ,St. Peterês Prep,,C,http://www.scarletknights.com/football/roster/detail.asp?id=8,Undeclared,Undeclared,2012-2013,Rutgers University
Scott Vallone,SR,DT,3-Jun,275,"Central Islip, NY",Central Islip,NY,St. Anthonyês High School,,C,http://www.scarletknights.com/football/roster/detail.asp?id=4034,Economics,Economics,2012-2013,Rutgers University
Sheldon Royster,FR,DB,11-May,185,"Woodbridge, NJ",Woodbridge,NJ,St. Peter's Prep,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4877,Undeclared,Undeclared,2012-2013,Rutgers University
Steve Longa,FR,LB,1-Jun,220,"Saddle Brook, NJ",Saddle Brook,NJ,Saddle Brook High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4854,Undeclared,Undeclared,2012-2013,Rutgers University
Taj Alexander,JR,OL,4-Jun,290,"Downingtown, PA",Downingtown,PA,Downingtown East High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4538,Communication,Communications,2012-2013,Rutgers University
Tejay Johnson,SO,DB,2-Jun,190,"Egg Harbor Township, NJ",Egg Harbor Township,NJ,"Egg Harbor Township High School, Fork Union Military Academy",,AA,http://www.scarletknights.com/football/roster/detail.asp?id=11,Undeclared,Undeclared,2012-2013,Rutgers University
Tim Wright,SR,WR,4-Jun,220,"Wall, NJ",Wall,NJ,Wall High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=25,Criminal Justice,Criminal Studies,2012-2013,Rutgers University
Tyler Bellia,SR,TE,4-Jun,235,"New York City, NY",New York City,NY,Paramus Catholic High School,,C,http://www.scarletknights.com/football/roster/detail.asp?id=4518,Sociology,Sociology,2012-2013,Rutgers University
Tyler Kroft,SO,TE,6-Jun,235,"Downingtown, PA",Downingtown,PA,Downingtown East High School,,C,http://www.scarletknights.com/football/roster/detail.asp?id=13,Undeclared,Undeclared,2012-2013,Rutgers University
Vance Matthews,FR,WR,4-Jun,180,"Cape May, NJ",Cape May,NJ,Lower Cape May Regional High School,,AA,http://www.scarletknights.com/football/roster/detail.asp?id=4534,Undeclared,Undeclared,2012-2013,Rutgers University
Wayne Warren,SR,DB,1-Jun,205,"Salisbury, MD",Salisbury,MD,Wicomico High School,,AA,http://rutgers.rivals.com/cviewplayer.asp?Player=408367,Information Technology and Informatics,Science and Technology,2012-2013,Rutgers University
