Number,Player,PlayerBio_URL,Position,Year,Height,Weight,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
88,Arthur Lynch,http://www.georgiadogs.com/sports/m-footbl/mtt/arthur_lynch_647667.html,TE,JR,6/5/13,258,"Dartmouth, MA",Dartmouth,MA,Dartmouth,,,,,University of Georgia,2012-2013
24,Ken Malcome,http://www.georgiadogs.com/sports/m-footbl/mtt/ken_malcome_714185.html,TB,RS SO,6/1/00,224,"Decatur, GA",Decatur,GA,Southwest Dekalb,,,,,University of Georgia,2012-2013
4,Keith Marshall,http://www.georgiadogs.com/sports/m-footbl/mtt/keith_marshall_793120.html,TB,FR,5/11/13,216,"Raleigh, NC",Raleigh,NC,Millbrook,,,,,University of Georgia,2012-2013
14,Hutson Mason,http://www.georgiadogs.com/sports/m-footbl/mtt/hutson_mason_714184.html,QB,JR,6/3/13,206,"Marietta, GA",Marietta,GA,Lassiter High School,,,,,University of Georgia,2012-2013
47,Taylor Maxey,http://www.georgiadogs.com/sports/m-footbl/mtt/taylor_maxey_767347.html,FB,RS FR,5/10/13,223,"Statham, GA",Statham,GA,North Oconee,,,,,University of Georgia,2012-2013
46,A.J. McDonald,http://www.georgiadogs.com/sports/m-footbl/mtt/aj_mcdonald_798308.html,ILB,SO,6/1/00,230,"Suwanee, GA",Suwanee,GA,Peachtree Ridge High School,Appalachian State University,,,,University of Georgia,2012-2013
27,Rhett McGowan,http://www.georgiadogs.com/sports/m-footbl/mtt/rhett_mcgowan_647685.html,SE,JR,6/1/00,190,"Calhoun, GA",Calhoun,GA,Calhoun High School,,,,,University of Georgia,2012-2013
70,Eddie McQuillen,http://www.georgiadogs.com/sports/m-footbl/mtt/eddie_mcquillen_767348.html,OT,RS FR,6/8/13,300,"Newnan, GA",Newnan,GA,Trinity Christian,,,,,University of Georgia,2012-2013
26,Malcolm Mitchell,http://www.georgiadogs.com/sports/m-footbl/mtt/malcolm_mitchell_742379.html,CB/SE,SO,6/1/13,192,"Valdosta, GA",Valdosta,GA,Valdosta,,,,,University of Georgia,2012-2013
77,Preston Mobley,http://www.georgiadogs.com/sports/m-footbl/mtt/preston_mobley_811564.html,OL,FR,6/3/13,300,"Moultrie, GA",Moultrie,GA,Colquitt County,,,,,University of Georgia,2012-2013
39,Corey Moore,http://www.georgiadogs.com/sports/m-footbl/mtt/corey_moore_742380.html,SS,SO,6/2/13,214,"Griffin, GA",Griffin,GA,Griffin,,,,,University of Georgia,2012-2013
92,Dexter Morant,http://www.georgiadogs.com/sports/m-footbl/mtt/dexter_morant_741232.html,OLB,RS SO,6/7/13,245,"Manning, SC",Manning,SC,Manning,,,,,University of Georgia,2012-2013
13,Marshall Morgan,http://www.georgiadogs.com/sports/m-footbl/mtt/marshall_morgan_793121.html,PK,FR,6/3/13,201,"Ft Lauderdale, FL",Ft Lauderdale,FL,American Heritage High School,,,,,University of Georgia,2012-2013
27,Greg Mulkey,http://www.georgiadogs.com/sports/m-footbl/mtt/greg_mulkey_767342.html,TE,RS FR,6/3/13,230,"Fairmount, GA",Fairmount,GA,Sonoraville,,,,,University of Georgia,2012-2013
11,Aaron Murray,http://www.georgiadogs.com/sports/m-footbl/mtt/aaron_murray_647725.html,QB,JR,6/1/13,210,"Tampa, FL",Tampa,FL,Plant,,,,,University of Georgia,2012-2013
11,Connor Norman,http://www.georgiadogs.com/sports/m-footbl/mtt/connor_norman_741250.html,FS,RS SO,5/10/13,207,"Duluth, GA",Duluth,GA,Peachtree Ridge,,,,,University of Georgia,2012-2013
9,Alec Ogletree,http://www.georgiadogs.com/sports/m-footbl/mtt/alec_ogletree_714187.html,ILB,JR,6/3/13,232,"Newnan, GA",Newnan,GA,Newnan,,,,,University of Georgia,2012-2013
46,Alexander Ogletree,http://www.georgiadogs.com/sports/m-footbl/mtt/alexander_ogletree_714189.html,FB,JR,5/10/13,225,"Newnan, GA",Newnan,GA,Newnan,,,,,University of Georgia,2012-2013
23,Alex Parsons,http://www.georgiadogs.com/sports/m-footbl/mtt/alex_parsons_741263.html,TB,JR,5/10/13,191,"Fayetteville, GA",Fayetteville,GA,Fayette County,BYU,,,,University of Georgia,2012-2013
29,Jamal Payette,http://www.georgiadogs.com/sports/m-footbl/mtt/jamal_payette_767343.html,WR,RS FR,6/3/13,190,"Cleveland, GA",Cleveland,GA,White County,,,,,University of Georgia,2012-2013
95,Tyler Phillips,http://www.georgiadogs.com/sports/m-footbl/mtt/tyler_phillips_823510.html,P,FR,5/11/13,175,"Bogart, GA",Bogart,GA,North Oconee,,,,,University of Georgia,2012-2013
42,Dillard Pinkston,http://www.georgiadogs.com/sports/m-footbl/mtt/dillard_pinkston_814382.html,OLB,FR,6/3/13,220,"Dallas, TX",Dallas,TX,St. Mark's School of Texas,,,,,University of Georgia,2012-2013
94,Thomas Pritchard,http://www.georgiadogs.com/sports/m-footbl/mtt/thomas_pritchard_823512.html,PK,FR,5/10/13,160,"Louisville, GA",Louisville,GA,Jefferson County,,,,,University of Georgia,2012-2013
73,Greg Pyke,http://www.georgiadogs.com/sports/m-footbl/mtt/greg_pyke_793122.html,OG,FR,6/6/13,327,"Baltimore, MD",Baltimore,MD,The Boys' Latin School,,,,,University of Georgia,2012-2013
18,Bacarri Rambo,http://www.georgiadogs.com/sports/m-footbl/mtt/bacarri_rambo_647885.html,FS,SR,6/1/00,210,"Donalsonville, GA",Donalsonville,GA,Seminole County,,,,,University of Georgia,2012-2013
85,Geoff Rapp,http://www.georgiadogs.com/sports/m-footbl/mtt/geoff_rapp_771887.html,TE,RS FR,6/3/13,230,"Kennesaw, GA",Kennesaw,GA,North Cobb,Georgia Perimeter College,,,,University of Georgia,2012-2013
20,Lucas Redd,http://www.georgiadogs.com/sports/m-footbl/mtt/lucas_redd_741269.html,FS,RS SO,6/1/13,209,"Jefferson, GA",Jefferson,GA,Jefferson,,,,,University of Georgia,2012-2013
55,Ben Reynolds,http://www.georgiadogs.com/sports/m-footbl/mtt/ben_reynolds_647965.html,C,JR,6/2/13,255,"Bainbridge, GA",Bainbridge,GA,Bainbridge,,,,,University of Georgia,2012-2013
45,Christian Robinson,http://www.georgiadogs.com/sports/m-footbl/mtt/christian_robinson_648005.html,ILB,SR,6/2/13,235,"Norcross, GA",Norcross,GA,Greater Atlanta Christian,,,,,University of Georgia,2012-2013
87,Jay Rome,http://www.georgiadogs.com/sports/m-footbl/mtt/jay_rome_742382.html,TE,RS FR,6/6/13,265,"Valdosta, GA",Valdosta,GA,Valdosta,,,,,University of Georgia,2012-2013
42,Dustin Royston,http://www.georgiadogs.com/sports/m-footbl/mtt/dustin_royston_647987.html,FB,JR,5/11/13,237,"Royston, GA",Royston,GA,Stephens County,,,,,University of Georgia,2012-2013
7,Blake Sailors,http://www.georgiadogs.com/sports/m-footbl/mtt/blake_sailors_647945.html,CB,JR,5/11/13,187,"Athens, GA",Athens,GA,Oconee County,,,,,University of Georgia,2012-2013
22,Richard Samuel IV,http://www.georgiadogs.com/sports/m-footbl/mtt/richard_samuel_iv_771888.html,TB,SR,6/2/13,236,"Cartersville, GA",Cartersville,GA,Cass,,,,,University of Georgia,2012-2013
86,Justin Scott-Wesley,http://www.georgiadogs.com/sports/m-footbl/mtt/justin_scott_wesley_742429.html,FLK,RS FR,5/11/13,217,"Camilla, GA",Camilla,GA,Mitchell County High School,,,,,University of Georgia,2012-2013
1,Branden Smith,http://www.georgiadogs.com/sports/m-footbl/mtt/branden_smith_647905.html,CB,SR,5/11/13,182,"Atlanta, GA",Atlanta,GA,Washington,,,,,University of Georgia,2012-2013
56,Garrison Smith,http://www.georgiadogs.com/sports/m-footbl/mtt/garrison_smith_714192.html,DE,JR,6/3/13,297,"Atlanta, GA",Atlanta,GA,Douglass,,,,,University of Georgia,2012-2013
32,Matt Stagg,http://www.georgiadogs.com/sports/m-footbl/mtt/matt_stagg_811598.html,ILB,FR,6/3/13,225,"Salt Lake City, UT",Salt Lake City,UT,Houston County High School,,,,,University of Georgia,2012-2013
25,Jake Star,http://www.georgiadogs.com/sports/m-footbl/mtt/jake_star_830328.html,WR,FR,6/5/13,220,"Lawrenceville, GA",Lawrenceville,GA,Collins Hill,,,,,University of Georgia,2012-2013
44,T.J. Stripling,http://www.georgiadogs.com/sports/m-footbl/mtt/tj_stripling_714194.html,OLB,JR,6/6/13,235,"Decatur, GA",Decatur,GA,Southwest Dekalb,,,,,University of Georgia,2012-2013
5,Damian Swann,http://www.georgiadogs.com/sports/m-footbl/mtt/damian_swann_742431.html,DB,SO,5/11/13,189,"Atlanta, GA",Atlanta,GA,Grady,,,,,University of Georgia,2012-2013
94,Jonathan Taylor,http://www.georgiadogs.com/sports/m-footbl/mtt/jonathan_taylor_793125.html,DL,FR,6/4/13,335,"Millen, GA",Millen,GA,Jenkins County High School,,,,,University of Georgia,2012-2013
71,John Theus,http://www.georgiadogs.com/sports/m-footbl/mtt/john_theus_793126.html,OT,FR,6/6/13,309,"Jacksonville, FL",Jacksonville,FL,The Bolles School,,,,,University of Georgia,2012-2013
49,Nathan Theus,http://www.georgiadogs.com/sports/m-footbl/mtt/nathan_theus_742481.html,SN,RS FR,6/3/13,249,"Jacksonville, FL",Jacksonville,FL,Bolles,,,,,University of Georgia,2012-2013
96,Mike Thornton,http://www.georgiadogs.com/sports/m-footbl/mtt/mike_thornton_106919.html,N,RS SO,6/1/13,302,"Stone Mountain, GA",Stone Mountain,GA,Stephenson,,,,,University of Georgia,2012-2013
8,Blake Tibbs,http://www.georgiadogs.com/sports/m-footbl/mtt/blake_tibbs_793127.html,FLK,FR,6/2/13,175,"Lithonia, GA",Lithonia,GA,Martin Luther King Jr. High School,,,,,University of Georgia,2012-2013
37,Kenneth Towns,http://www.georgiadogs.com/sports/m-footbl/mtt/kenneth_towns_811602.html,WR,FR,6/3/13,202,"Albany, GA",Albany,GA,Westover,,,,,University of Georgia,2012-2013
89,Cole Trolinger,http://www.georgiadogs.com/sports/m-footbl/mtt/cole_trolinger_811606.html,TE,FR,6/5/13,230,"Newnan, GA",Newnan,GA,East Coweta,,,,,University of Georgia,2012-2013
33,Chase Vasser,http://www.georgiadogs.com/sports/m-footbl/mtt/chase_vasser_647726.html,OLB,JR,6/3/13,231,"Gainesville, GA",Gainesville,GA,Chestatee,,,,,University of Georgia,2012-2013
38,Kosta Vavlas,http://www.georgiadogs.com/sports/m-footbl/mtt/kosta_vavlas_741363.html,ILB,RS SO,6/1/00,219,"Tarpon Springs, FL",Tarpon Springs,FL,Tarpon Springs,,,,,University of Georgia,2012-2013
63,Xzavier Ward,http://www.georgiadogs.com/sports/m-footbl/mtt/xzavier_ward_742433.html,OT,RS FR,6/7/13,293,"Moultrie, GA",Moultrie,GA,Colquitt County,,,,,University of Georgia,2012-2013
83,Cornelius Washington,http://www.georgiadogs.com/sports/m-footbl/mtt/cornelius_washington_647686.html,OLB,SR,6/4/13,268,"Hephzibah, GA",Hephzibah,GA,Burke County,,,,,University of Georgia,2012-2013
2,Parker Welch,http://www.georgiadogs.com/sports/m-footbl/mtt/parker_welch_741375.html,QB,RS SO,6/3/13,199,"Jesup, GA",Jesup,GA,Wayne County,,,,,University of Georgia,2012-2013
84,Hugh Williams,http://www.georgiadogs.com/sports/m-footbl/mtt/hugh_williams_741379.html,TE,RS SO,6/5/13,241,"Atlanta, GA",Atlanta,GA,Marist,,,,,University of Georgia,2012-2013
36,Shawn Williams,http://www.georgiadogs.com/sports/m-footbl/mtt/shawn_williams_647645.html,SS,SR,6/1/13,217,"Damascus, GA",Damascus,GA,Early County,,,,,University of Georgia,2012-2013
44,Drew Wilson,http://www.georgiadogs.com/sports/m-footbl/mtt/drew_wilson_767341.html,TE,JR,6/2/13,205,"Tignall, GA",Tignall,GA,Washington-Wilkes High School,Lambuth University,,,,University of Georgia,2012-2013
51,Ramik Wilson,http://www.georgiadogs.com/sports/m-footbl/mtt/ramik_wilson_742434.html,LB,SO,6/2/13,224,"Tampa, FL",Tampa,FL,Jefferson,,,,,University of Georgia,2012-2013
17,Rantavious Wooten,http://www.georgiadogs.com/sports/m-footbl/mtt/rantavious_wooten_647607.html,FLK,JR,5/10/13,179,"Belle Glade, FL",Belle Glade,FL,Glades Central,,,,,University of Georgia,2012-2013
9,Curtis Wyatt,http://www.georgiadogs.com/sports/m-footbl/mtt/curtis_wyatt_776903.html,WR,RS SO,6/1/13,200,"Locust Grove, GA",Locust Grove,GA,Ola High School,Shorter University,,,,University of Georgia,2012-2013
35,Chris Young,http://www.georgiadogs.com/sports/m-footbl/mtt/chris_young_741383.html,FB,JR,6/1/13,224,"Hinesville, GA",Hinesville,GA,Bradwell Institute,,,,,University of Georgia,2012-2013
