Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
95,Spencer Lindsay,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205371687&Q_SEASON=2012,PK,5/10/13,190,FR,"Kearney, Neb. ",Kearney,NEB,Kearney High School,,,,,University of Nebraska at Lincoln,2012-2013
75,Chris Long,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205372275&Q_SEASON=2012,OL,6/4/13,280,RFR,"Blair, Neb. ",Blair,NEB,Blair High School,,,,,University of Nebraska at Lincoln,2012-2013
41,Jake Long,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=3662394&Q_SEASON=2012,TE,6/4/13,240,JR,"Elkhorn, Neb. ",Elkhorn,NEB,Elkhorn High School,,,,,University of Nebraska at Lincoln,2012-2013
61,Spencer Long,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=3662502&Q_SEASON=2012,OL,6/4/13,305,JR,"Elkhorn, Neb. ",Elkhorn,NEB,Elkhorn High School,,,,,University of Nebraska at Lincoln,2012-2013
96,Brett Maher,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=1515283&Q_SEASON=2012,P/PK,6/1/00,185,SR,"Kearney, Neb. ",Kearney,NEB,Kearney High School,,,,,University of Nebraska at Lincoln,2012-2013
92,P.J. Mangieri,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=3662398&Q_SEASON=2012,LS,6/4/13,240,SR,"Peoria, Ill. ",Peoria,ILL,Dunlap High School,,,,,University of Nebraska at Lincoln,2012-2013
49,Matt Manninger,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=1515289&Q_SEASON=2012,LB,6/1/13,220,SR,"Omaha, Neb. ",Omaha,NEB,Creighton Prep High School,,,,,University of Nebraska at Lincoln,2012-2013
6,Tim Marlowe,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=1515290&Q_SEASON=2012,WR,5/10/13,175,SR,"Youngstown, Ohio ",Youngstown,OHIO,Cardinal Mooney High School,,,,,University of Nebraska at Lincoln,2012-2013
19,Mike Marrow,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205213222&Q_SEASON=2012,FB,6/2/13,250,JR,"Holland, Ohio ",Holland,OHIO,Central Catholic High School,Eastern Michigan ,,,,University of Nebraska at Lincoln,2012-2013
14,Bronson Marsh,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=204880537&Q_SEASON=2012,QB,6/1/00,195,RFR,"Omaha, Neb. ",Omaha,NEB,Millard South High School,,,,,University of Nebraska at Lincoln,2012-2013
46,Eric Martin,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=3662159&Q_SEASON=2012,DE,6/2/13,250,SR,"Moreno Valley, Calif. ",Moreno Valley,CALIF,Rancho Verde High School,,,,,University of Nebraska at Lincoln,2012-2013
3,Taylor Martinez,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=3662348&Q_SEASON=2012,QB,6/1/13,200,JR,"Corona, Calif. ",Corona,CALIF,Centennial High School,,,,,University of Nebraska at Lincoln,2012-2013
54,Mitch McCann,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205371688&Q_SEASON=2012,LB,6/1/00,220,FR,"Omaha, Neb. ",Omaha,NEB,Burke High School,,,,,University of Nebraska at Lincoln,2012-2013
89,Conor McDermott,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=1515297&Q_SEASON=2012,TE,6/2/13,245,SR,"Omaha, Neb. ",Omaha,NEB,Creighton Prep High School,,,,,University of Nebraska at Lincoln,2012-2013
90,Greg McMullen,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=205371468&Q_SEASON=2012,DE,6/3/13,280,FR,"Akron, Ohio ",Akron,OHIO,Hoban High School,,,,,University of Nebraska at Lincoln,2012-2013
34,Cameron Meredith,http://www.huskers.com/ViewArticle.dbml?SPSID=4&SPID=22&DB_LANG=C&DB_OEM_ID=100&ATCLID=1515300&Q_SEASON=2012,DE,6/4/13,260,SR,"Huntington Beach, Calif. ",Huntington Beach,CALIF,Mater Dei High School,,,,,University of Nebraska at Lincoln,2012-2013
