Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
76,Mike Matulis,http://www.gamecocksonline.com/sports/m-footbl/mtt/mike_matulis_742694.html,OT,6/5/13,274,SO,"Boynton Beach, Fla.",Boynton Beach,FLA,Park Vista,,,,,University of South Carolina,2012-2013
41,Connor McLaurin,http://www.gamecocksonline.com/sports/m-footbl/mtt/connor_mclaurin_712285.html,FB,6/1/00,222,RS SO,"Raleigh, N.C.",Raleigh,NC,Garner,,,,,University of South Carolina,2012-2013
5,Rico McWilliams,http://www.gamecocksonline.com/sports/m-footbl/mtt/rico_mcwilliams_793021.html,CB,5/11/13,172,FR,"Hampton, Ga.",Hampton,GA,Lovejoy,,,,,University of South Carolina,2012-2013
31,Kenny Miles,http://www.gamecocksonline.com/sports/m-footbl/mtt/kenny_miles_361619.html,TB,5/9/13,193,RS SR,"Lawrenceville, Ga.",Lawrenceville,GA,Brookwood,,,,,University of South Carolina,2012-2013
6,Chris Moody,http://www.gamecocksonline.com/sports/m-footbl/mtt/chris_moody_793037.html,CB,6/1/13,208,FR,"McDonough, Ga.",McDonough,GA,Henry County,,,,,University of South Carolina,2012-2013
62,Davis Moore,http://www.gamecocksonline.com/sports/m-footbl/mtt/davis_moore_721820.html,LS,6/1/00,217,RS JR,"Buford, Ga.",Buford,GA,Mill Creek,Emory & Henry,,,,University of South Carolina,2012-2013
5,Brendan Nosovitch,http://www.gamecocksonline.com/sports/m-footbl/mtt/brendan_nosovitch_793022.html,QB,6/1/13,210,FR,"Allenton, Pa.",Allenton,PA,Central Catholic,,,,,University of South Carolina,2012-2013
88,Drew Owens,http://www.gamecocksonline.com/sports/m-footbl/mtt/drew_owens_742727.html,TE,6/6/13,236,RS FR,"Charlotte, N.C.",Charlotte,NC,Ardrey Kell,,,,,University of South Carolina,2012-2013
67,Ronald Patrick,http://www.gamecocksonline.com/sports/m-footbl/mtt/ronald_patrick_710247.html,OG,6/2/13,305,JR,"Cocoa, Fla.",Cocoa,FLA,Cocoa,,,,,University of South Carolina,2012-2013
49,Devin Potter,http://www.gamecocksonline.com/sports/m-footbl/mtt/devin_potter_818207.html,FB,5/10/13,202,FR,"Granite Falls, N.C.",Granite Falls,NC,South Caldwell,,,,,University of South Carolina,2012-2013
99,Kelcy Quarles,http://www.gamecocksonline.com/sports/m-footbl/mtt/kelcy_quarles_586345.html,DT,6/4/13,286,SO,"Hodges, S.C.",Hodges,SC,Greenwood,Fork Union Military,,,,University of South Carolina,2012-2013
5,Kelvin Rainey,http://www.gamecocksonline.com/sports/m-footbl/mtt/kelvin_rainey_796979.html,TE,6/3/13,219,FR,"Yulee, Fla.",Yulee,FLA,Yulee,,,,,University of South Carolina,2012-2013
30,Sidney Rhodes,http://www.gamecocksonline.com/sports/m-footbl/mtt/sidney_rhodes_796980.html,CB,5/10/13,170,SO,"Easley, S.C.",Easley,SC,Wren,Western Carolina,,,,University of South Carolina,2012-2013
48,Marcquis Roberts,http://www.gamecocksonline.com/sports/m-footbl/mtt/marcquis_roberts_742746.html,SPR,6/1/13,206,RS FR,"Powder Springs, Ga.",Powder Springs,GA,McEachern,,,,,University of South Carolina,2012-2013
53,Corey Robinson,http://www.gamecocksonline.com/sports/m-footbl/mtt/corey_robinson_710249.html,OT,6/8/13,337,RS SO,"Havelock, N.C.",Havelock,NC,Havelock,,,,,University of South Carolina,2012-2013
26,Kenny Robinson,http://www.gamecocksonline.com/sports/m-footbl/mtt/kenny_robinson_763563.html,FS,5/9/13,176,RS SO,"Hilton Head Island, S.C.",Hilton Head Island,SC,Hilton Head Island,,,,,University of South Carolina,2012-2013
4,Shaq Roland,http://www.gamecocksonline.com/sports/m-footbl/mtt/shaq_roland_793024.html,WR,6/1/13,173,FR,"Lexington, S.C.",Lexington,SC,Lexington,,,,,University of South Carolina,2012-2013
24,Kendric Salley,http://www.gamecocksonline.com/sports/m-footbl/mtt/kendric_salley_793025.html,RB,5/9/13,205,FR,"Williston, S.C.",Williston,SC,Williston Elko,,,,,University of South Carolina,2012-2013
1,Ace Sanders,http://www.gamecocksonline.com/sports/m-footbl/mtt/ace_sanders_710253.html,WR,5/8/13,175,JR,"Bradenton, Fla.",Bradenton,FLA,Manatee,,,,,University of South Carolina,2012-2013
14,Connor Shaw,http://www.gamecocksonline.com/sports/m-footbl/mtt/connor_shaw_607805.html,QB,6/1/13,207,JR,"Flowery Branch, Ga.",Flowery Branch,GA,Flowery Branch,,,,,University of South Carolina,2012-2013
28,Jared Shaw,http://www.gamecocksonline.com/sports/m-footbl/mtt/jared_shaw_473694.html,FS,5/10/13,179,RS SR,"Fort Mill, S.C.",Fort Mill,SC,Fort Mill,Newberry,,,,University of South Carolina,2012-2013
71,Brandon Shell,http://www.gamecocksonline.com/sports/m-footbl/mtt/brandon_shell_742945.html,OT,6/6/13,331,RS FR,"Goose Creek, S.C.",Goose Creek,SC,Goose Creek,,,,,University of South Carolina,2012-2013
46,Darian Sims,http://www.gamecocksonline.com/sports/m-footbl/mtt/darian_sims_796984.html,LB,6/2/13,250,RS FR,"Goose Creek, S.C.",Goose Creek,SC,Goose Creek,,,,,University of South Carolina,2012-2013
