Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
51,David Peterson,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=204974163&Q_SEASON=2012,C,6/5/13,290,SO,"Redlands, Calif. ",Redlands,Calif,East Valley High School,,,,,San Jose State University,2012-2013
63,Jake Peterson,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=204974103&Q_SEASON=2012,OL,6/4/13,315,SO,"El Cajon, Calif. ",El Cajon,Calif,West Hills High School,,,,,San Jose State University,2012-2013
98,Tony Popovich,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205179508&Q_SEASON=2012,DE,6/2/13,275,FR,"Kentfield, Calif. ",Kentfield,Calif,Marin Catholic High School,,,,,San Jose State University,2012-2013
42,Simon Poti,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205245831&Q_SEASON=2012,LB,6/2/13,230,FR,"Fullerton, Calif. ",Fullerton,Calif,Fullerton Union High School,,,,,San Jose State University,2012-2013
8,Jimmy Pruitt,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205556831&Q_SEASON=2012,CB,6/1/00,175,FR,"San Diego, Calif. ",San Diego,Calif,Helix High School,,,,,San Jose State University,2012-2013
76,David Quessenberry,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=1553557&Q_SEASON=2012,OT,6/6/13,295,SR,"Carlsbad, Calif. ",Carlsbad,Calif,La Costa Canyon High School,,,,,San Jose State University,2012-2013
3,Travis Raciti,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=204974164&Q_SEASON=2012,DT,6/5/13,286,SO,"Pleasant Hill, Calif. ",Pleasant Hill,Calif,College Park High School,,,,,San Jose State University,2012-2013
22,Hector Roach,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205555549&Q_SEASON=2012,LB,6/1/13,212,FR,"Stockton, Calif. ",Stockton,Calif,Edison High School,,,,,San Jose State University,2012-2013
46,Ray Rodriguez,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=1551204&Q_SEASON=2012,RB,6/1/13,267,SR,"Hacienda Heights, Calif. ",Hacienda Heights,Calif,Los Altos High School,,,,,San Jose State University,2012-2013
77,Evan Sarver,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205556830&Q_SEASON=2012,OT,6/5/13,270,FR,"Queen Creek, Ariz. ",Queen Creek,Ariz,Basha High School,,,,,San Jose State University,2012-2013
48,Moses Saucedo,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205562011&Q_SEASON=2012,LB,6/1/00,225,FR,"Los Angeles, Calif. ",Los Angeles,Calif,Garfield High School,,,,,San Jose State University,2012-2013
72,Wes Schweitzer,http://www.sjsuspartans.com/ViewArticle.dbml?SPSID=29302&SPID=2290&DB_LANG=C&DB_OEM_ID=5600&ATCLID=205342467&Q_SEASON=2012,OL,6/5/13,275,FR,"Scottsdale, Ariz. ",Scottsdale,Ariz,Chapparal High School,,,,,San Jose State University,2012-2013
