Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Eligibility,Hometown,City,State,High_School,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
27,Ben Peacock,http://www.gatorzone.com/football/bios.php?year=2012&player_id=310,DB,"5' 8""",176,RFR,SQ,"Bradenton, FL",Bradenton,FL,Braden River,,,,University of Florida,2012-2013
16,Scott Peek,http://www.gatorzone.com/football/bios.php?year=2012&player_id=194,RB,"6' 2""",231,RSR,SQ,"Tampa, FL",Tampa,FL,Freedom,,,,University of Florida,2012-2013
97,Brad Phillips,http://www.gatorzone.com/football/bios.php?year=2012&player_id=271,K,"5' 10""",190,JR,2L,"Gainesville, FL",Gainesville,FL,Buchholz,,,,University of Florida,2012-2013
13,Latroy Pittman,http://www.gatorzone.com/football/bios.php?year=2012&player_id=315,WR,"5' 11""",209,FR,HS,"Citra, FL",Citra,FL,North Marion,,,,University of Florida,2012-2013
24,Brian Poole,http://www.gatorzone.com/football/bios.php?year=2012&player_id=348,DB,"5' 10""",206,FR,HS,"Bradenton, FL",Bradenton,FL,Southeast,,,,University of Florida,2012-2013
28,Jeremi Powell,http://www.gatorzone.com/football/bios.php?year=2012&player_id=349,LB,"6' 1""",202,FR,HS,"Largo, FL",Largo,FL,Pinellas Park,,,,University of Florida,2012-2013
7,Ronald Powell,http://www.gatorzone.com/football/bios.php?year=2012&player_id=259,BUCK,"6' 4""",244,JR,2L,"Moreno Valley, CALIF",Moreno Valley,CALIF,Rancho Verde,,,,University of Florida,2012-2013
13,Christian Provancha,http://www.gatorzone.com/football/bios.php?year=2012&player_id=265,WR,"6' 6""",228,SO,SQ,"Cocoa, FL",Cocoa,FL,Cocoa Beach,,,,University of Florida,2012-2013
15,Loucheiz Purifoy,http://www.gatorzone.com/football/bios.php?year=2012&player_id=311,DB,"6' 1""",189,SO,1L,"Pensacola, FL",Pensacola,FL,Pine Forest,,,,University of Florida,2012-2013
11,Jordan Reed,http://www.gatorzone.com/football/bios.php?year=2012&player_id=214,TE,"6' 3""",243,RJR,2L,"New London, CONN",New London,CONN,New London,,,,University of Florida,2012-2013
68,John Reichardt,http://www.gatorzone.com/football/bios.php?year=2012&player_id=316,OL,"6' 1""",297,SR,HS,"Gainesville, FL",Gainesville,FL,The Rock,,,,University of Florida,2012-2013
31,Cody Riggs,http://www.gatorzone.com/football/bios.php?year=2012&player_id=260,DB,"5' 9""",190,JR,2L,"Ft. Lauderdale, FL",Ft. Lauderdale,FL,St. Thomas Aquinas,,,,University of Florida,2012-2013
5,Marcus Roberson,http://www.gatorzone.com/football/bios.php?year=2012&player_id=309,DB,"6' 0""",178,SO,1L,"Ft. Lauderdale, FL",Ft. Lauderdale,FL,St. Thomas Aquinas,,,,University of Florida,2012-2013
50,Sam Robey,http://www.gatorzone.com/football/bios.php?year=2012&player_id=192,OL,"6' 3""",305,RSR,3L,"Louisville, KY",Louisville,KY,Trinity,,,,University of Florida,2012-2013
26,De'Ante Saunders,http://www.gatorzone.com/football/bios.php?year=2012&player_id=289,DB,"5' 9""",189,So,1L,"DeLand, FL",DeLand,FL,DeLand,,,,University of Florida,2012-2013
35,Jesse Schmitt,http://www.gatorzone.com/football/bios.php?year=2012&player_id=295,RB,"5' 7""",168,SR,SQ,"Palm Beach Gardens, FL",Palm Beach Gardens,FL,Cardinal Newman,,,,University of Florida,2012-2013
