ID_School,ID_Sport,Season,Number,Name,First_Name,Last_Name,Position,Height,Weight,Year,Hometown/Prior_School,Player_URL,Major,Concentration
CLEM,MBBALL,2006-2007,1,K.C. Rivers,K.C.,Rivers,G,41430,210,SO,"Charlotte, NC",http://web.archive.org/web/20070526080627/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/rivers_kc00.html,Pre-Business,
CLEM,MBBALL,2006-2007,12,Raymond Sykes,Raymond,Sykes,F,41434,215,SO,"Jacksonville, FL",http://web.archive.org/web/20070526080627/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/sykes_raymond00.html,Sociology,
CLEM,MBBALL,2006-2007,44,Jesse Yanutola,Jesse,Yanutola,F,41429,200,JR,"Tega Cay, SC",http://web.archive.org/web/20070526080627/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/yanutola_jesse00.html,Computer Engineering,
CLEM,MBBALL,2005-2006,33,Akin Akingbala,Akin,Akingbala,F,41434,240,SR,"Lagos, Nigeria",http://web.archive.org/web/20060618135837/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/akingbala_akin00.html,,
CLEM,MBBALL,2005-2006,4,Steve Allen,Steve,Allen,C,41435,250,SR,"Ft. Lauderdale, FL",http://web.archive.org/web/20060618135837/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/allen_steve00.html,,
CLEM,MBBALL,2005-2006,3,Vernon Hamilton,Vernon,Hamilton,G,,195,SR,"Richmond, VA",http://web.archive.org/web/20060618135837/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/hamilton_vernon00.html,,
CLEM,MBBALL,2005-2006,25,Cliff Hammonds,Cliff,Hammonds,G,41428,197,JR,"Cairo, GA",http://web.archive.org/web/20060618135837/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/hammonds_cliff00.html,,
CLEM,MBBALL,2005-2006,20,Troy Mathis,Troy,Mathis,G,36678,211,RS SO,"Raleigh, NC",http://web.archive.org/web/20060618135837/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/mathis_troy00.html,,
CLEM,MBBALL,2005-2006,44,James Mays,James,Mays,F,41434,222,JR,"Garner, NC",http://web.archive.org/web/20060618135837/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/mays_james00.html,,
CLEM,MBBALL,2005-2006,24,Matt Morris,Matt,Morris,F,41430,207,JR,"Georgetown, SC",http://web.archive.org/web/20060618135837/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/morris_matt00.html,,
CLEM,MBBALL,2005-2006,32,Sam Perry,Sam,Perry,F,41430,208,JR,"Greenville, SC",http://web.archive.org/web/20060618135837/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/perry_sam00.html,,
CLEM,MBBALL,2005-2006,42,Julius Powell,Julius,Powell,F,41432,208,SO,"Newton, NC",http://web.archive.org/web/20060618135837/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/powell_julius00.html,,
CLEM,MBBALL,2005-2006,1,K.C. Rivers,K.C.,Rivers,G,41430,210,SO,"Charlotte, NC",http://web.archive.org/web/20060618135837/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/rivers_kc00.html,,
CLEM,MBBALL,2005-2006,22,Shawan Robinson,Shawan,Robinson,G,41427,180,SR,"Raleigh, NC",http://web.archive.org/web/20060618135837/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/robinson_shawan00.html,,
CLEM,MBBALL,2005-2006,12,Raymond Sykes,Raymond,Sykes,F,41434,205,SO,"Jacksonville, FL",http://web.archive.org/web/20060618135837/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/sykes_raymond00.html,,
CLEM,MBBALL,2005-2006,40,Jesse Yanutola,Jesse,Yanutola,F,41429,200,JR,"Tega Cay, SC",http://web.archive.org/web/20060618135837/http://clemsontigers.cstv.com/sports/m-baskbl/mtt/yanutola_jesse00.html,,
