ID_School,ID_Sport,Season,Number,Player,Last_Name,First_Name,Position,Height,Weight,Year,Hometown/Last_School,Player_URL,
USC,MBBALL,2006-2007,2,Ryan Wetherell,Wetherell,Ryan,Guard,5/10/13,165,FR,"Calgary, Alberta, CN (Sr. Winston Churchill)",http://www.usctrojans.com/sports/m-baskbl/mtt/wetherell_ryan00.html,
USC,MBBALL,2006-2007,23,Keith Wilkinson,Wilkinson,Keith,Forward,6/10/13,220,SO,"Mission Viejo, Calif. (Capistrano Valley)",http://www.usctrojans.com/sports/m-baskbl/mtt/wilkinson_keith00.html,
USC,MBBALL,2006-2007,1,Nick Young,Young,Nick,Guard/Forward,6/6/13,200,JR,"Los Angeles, CA (Reseda)",http://www.usctrojans.com/sports/m-baskbl/mtt/young_nick00.html,
USC,MBBALL,2005-2006,41,Jeremy Barr,Barr,Jeremy,Forward,6/8/13,265,FR,"New Providence, Bahamas (Houston Westbury Christian)",http://www.usctrojans.com/sports/m-baskbl/mtt/barr_jeremy00.html,
USC,MBBALL,2005-2006,42,RouSean Cromwell,Cromwell,RouSean,Forward,6/10/13,215,FR,"Memphis, Tenn. (IMG Academy-Fla.)",http://www.usctrojans.com/sports/m-baskbl/mtt/cromwell_rousean00.html,
USC,MBBALL,2005-2006,44,Reed Doucette,Doucette,Reed,Forward,6/6/13,215,JR,"Lodi, CA (Lodi)",http://www.usctrojans.com/sports/m-baskbl/mtt/doucette_reed00.html,
USC,MBBALL,2005-2006,12,Ryan Francis,Francis,Ryan,Guard,5/11/13,180,FR,"Baton Rouge, LA (Glen Oaks)",http://www.usctrojans.com/sports/m-baskbl/mtt/francis_ryan00.html,
USC,MBBALL,2005-2006,40,Greg Gaudino,Gaudino,Greg,Forward,6/6/13,195,SR,"La Canada, Calif. (La Canada)",http://www.usctrojans.com/sports/m-baskbl/mtt/gaudino_greg00.html,
USC,MBBALL,2005-2006,11,Adam Goldston,Goldston,Adam,Guard,5/10/13,185,FR,Beverly Hills (Montclair Prep),http://www.usctrojans.com/sports/m-baskbl/mtt/goldston_adam00.html,
USC,MBBALL,2005-2006,13,Ryan Goldston,Goldston,Ryan,Guard,5/10/13,165,FR,Beverly Hills (Montclair Prep),http://www.usctrojans.com/sports/m-baskbl/mtt/goldston_ryan00.html,
USC,MBBALL,2005-2006,21,Abdoulaye N'diaye,N'diaye,Abdoulaye,Center,6/11/13,230,JR,"Dakar, Senegal",http://www.usctrojans.com/sports/m-baskbl/mtt/n'diaye_abdoulaye00.html,
USC,MBBALL,2005-2006,25,Sead Odzic,Odzic,Sead,Guard,6/3/13,180,FR,"Skokie, Ill. (Niles West)",http://www.usctrojans.com/sports/m-baskbl/mtt/odzic_sead00.html,
USC,MBBALL,2005-2006,10,Chris Penrose,Penrose,Chris,Guard,,160,JR,San Diego (Francis Parker HS),http://www.usctrojans.com/sports/m-baskbl/mtt/penrose_chris00.html,
USC,MBBALL,2005-2006,34,Gabe Pruitt,Pruitt,Gabe,Guard,6/4/13,170,SO,"Los Angeles, Calif. (Westchester HS)",http://www.usctrojans.com/sports/m-baskbl/mtt/pruitt_gabe00.html,
USC,MBBALL,2005-2006,30,Collin Robinson,Robinson,Collin,Guard,6/1/00,170,FR,"West Covina, Calif. (Diamond Bar)",http://www.usctrojans.com/sports/m-baskbl/mtt/robinson_collin00.html,
USC,MBBALL,2005-2006,15,Dwayne Shackleford,Shackleford,Dwayne,Guard,5/10/13,185,SR,"Washington, DC (Anacostia ",http://www.usctrojans.com/sports/m-baskbl/mtt/shackleford_dwayne00.html,
USC,MBBALL,2005-2006,3,Lodrick Stewart,Stewart,Lodrick,Guard,6/4/13,210,JR,"Seattle, Wash. (Rainier Beach)",,
