Year,unitid,Institution_Name,Sport,Cohort_Data,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W,idxtable_flags2005.idx_gr:vl-unitid of parent institution reporting graduation rates
2004-2005,139959,University of Georgia,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,21,21,0,7,7,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,139959,University of Georgia,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,22,5,17,20,5,15,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,-2
2004-2005,139959,University of Georgia,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,4,0,4,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,139959,University of Georgia,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,4,3,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2004-2005,139959,University of Georgia,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,7,7,0,5,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,142115,Boise State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,28,9,19,23,7,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,2,-2
2004-2005,142115,Boise State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,7,3,4,2,0,2,3,2,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,-2
2004-2005,142115,Boise State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,18,8,10,15,6,9,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,-2
2004-2005,142115,Boise State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,21,21,0,14,14,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,142115,Boise State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,14,3,11,12,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,-2
2004-2005,142115,Boise State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,3,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2004-2005,142115,Boise State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,6,2,4,4,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,-2
2004-2005,142115,Boise State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,12,12,0,10,10,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,46,14,32,37,11,26,2,1,1,2,1,1,2,1,1,0,0,0,2,0,2,1,0,1,-2
2004-2005,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,10,6,4,6,3,3,3,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-2
2004-2005,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,19,19,0,6,6,0,10,10,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,-2
2004-2005,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,45,13,32,37,11,26,2,1,1,1,0,1,2,1,1,0,0,0,2,0,2,1,0,1,-2
2004-2005,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,7,3,4,4,1,3,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-2
2004-2005,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
