Year,unitid,Institution_Name,Cohort_Data,Sport,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2001-2002,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,13,13,0,7,7,0,5,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2001-2002,152080,University of Notre Dame,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,49,21,28,42,17,25,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4,2,2
2001-2002,152080,University of Notre Dame,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,152080,University of Notre Dame,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,6,4,2,4,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,152080,University of Notre Dame,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,11,4,7,8,3,5,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,152080,University of Notre Dame,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,24,24,0,10,10,0,13,13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2001-2002,152080,University of Notre Dame,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,47,20,27,42,17,25,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,2,2
2001-2002,152080,University of Notre Dame,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,152080,University of Notre Dame,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,4,2,2,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,152080,University of Notre Dame,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,10,4,6,8,3,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
