year,team,rank,value,value_change,revenue,expense,operating_income,debt_value,debt_percent,revenue_multiple,ebitda_multiple,league
2004,Bayern Munich,5,617.00,NA,187.00,140.00,47.00,NA,NA,3.30,13.13,UEFA
2004,Internazionale,6,558.00,NA,186.00,180.00,6.00,NA,NA,3.00,93.00,UEFA
2004,Arsenal,7,482.00,NA,172.00,136.00,36.00,28.92,0.06,2.80,13.39,UEFA
2004,Liverpool,8,447.00,NA,172.00,111.00,61.00,17.88,0.04,2.60,7.33,UEFA
2004,Newcastle United,9,398.00,NA,159.00,82.00,77.00,103.48,0.26,2.50,5.17,UEFA
2004,Borussia Dortmund,10,355.00,NA,142.00,102.00,40.00,35.50,0.10,2.50,8.88,UEFA
2004,Barcelona,11,345.00,NA,142.00,134.90,7.10,172.50,0.50,2.43,48.59,UEFA
2004,Schalke 04,12,340.00,NA,136.00,102.00,34.00,98.60,0.29,2.50,10.00,UEFA
2004,Chelsea,13,339.00,NA,154.00,173.00,-19.00,0.00,0.00,2.20,0.00,UEFA
2004,AS Roma,14,304.00,NA,152.00,173.00,-21.00,51.68,0.17,2.00,0.00,UEFA
2004,Tottenham Hotspur,15,275.00,NA,110.00,91.60,18.40,27.50,0.10,2.50,14.95,UEFA
2004,Celtic,16,200.00,NA,100.00,88.20,11.80,30.00,0.15,2.00,16.95,UEFA
2004,Olympique Lyonnais,17,194.00,NA,97.00,92.10,4.90,NA,NA,2.00,39.59,UEFA
2004,Glasgow Rangers,18,166.00,NA,81.00,68.80,12.20,84.66,0.51,2.05,13.61,UEFA
2004,SS Lazio,19,162.00,NA,102.00,183.40,-81.40,79.38,0.49,1.59,0.00,UEFA
2004,Leeds United,20,147.00,NA,106.00,147.50,-41.50,147.00,1.00,1.39,0.00,UEFA
