Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown ,City,State,High_School,Prior_College,DBPediaCollege_Name,Season,ID_Player_Race,Formal_Stated_Major,College_Major_Group
55,Hroniss Grasu,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204971088&Q_SEASON=2012,OL,6/3/13,294,So.,"Encino, Calif. ",Encino,CA,Crespi High School,,University of Oregon,2012-2013,,,
56,Alex Balducci,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205504196&Q_SEASON=2012,DL,6/4/13,290,Fr.,"Portland, Ore. ",Portland,ORE,Central Catholic High School,,University of Oregon,2012-2013,,,
57,Trevor Fox,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204773850&Q_SEASON=2012,OL,6/5/13,290,Jr.,"Temecula, Calif. ",Temecula,CA,Chaparral High School,,University of Oregon,2012-2013,,,
58,James Euscher,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205238121&Q_SEASON=2012,OL,6/7/13,291,RFr.,"Aloha, Ore. ",Aloha,ORE,Aloha High School,,University of Oregon,2012-2013,,,
59,Jeff Palmer,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=1550962&Q_SEASON=2012,LS,5/10/13,190,Sr.,"Dana Point, Calif. ",Dana Point,CA,Santa Margarita High School,,University of Oregon,2012-2013,,,
59,Grant Thompson,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204978745&Q_SEASON=2012,LB,5/11/13,220,So.,"Cottage Grove, Ore. ",Cottage Grove,ORE,Cottage Grove High School,,University of Oregon,2012-2013,,,
60,Ryan Clanton,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204866229&Q_SEASON=2012,OL,6/5/13,305,Sr.,"Bakersfield, Calif. ",Bakersfield,CA,Bakersfield Christian High School,City College of San Francisco,University of Oregon,2012-2013,,,
61,Nick Cody,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=1552600&Q_SEASON=2012,OL,6/5/13,310,Sr.,"Brush Prairie, Wash. ",Brush Prairie,WA,Hockinson High School,,University of Oregon,2012-2013,,,
62,Matt Pierson,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205238134&Q_SEASON=2012,OL,6/6/13,272,RFr.,"West Linn, Ore. ",West Linn,ORE,Jesuit High School,,University of Oregon,2012-2013,,,
63,Mana Greig,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204773771&Q_SEASON=2012,OL,5/11/13,291,Jr.,"Kailua, Hawaii ",Kailua,HAWAII,St. Louis High School,,University of Oregon,2012-2013,,,
64,Tyler Johnstone,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205238232&Q_SEASON=2012,OL,6/6/13,292,RFr.,"Chandler, Ariz. ",Chandler,AZ,Hamilton High School,,University of Oregon,2012-2013,,,
65,Isaac Remington,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204866191&Q_SEASON=2012,DT,6/6/13,305,Sr.,"Queen Creek, Ariz. ",Queen Creek,AZ,Valley Christian High School,Phoenix Community College,University of Oregon,2012-2013,,,
66,Taylor Hart,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204773861&Q_SEASON=2012,DT,6/6/13,292,Jr.,"Tualatin, Ore. ",Tualatin,ORE,Tualatin High School,,University of Oregon,2012-2013,,,
68,Jamal Prater,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205238135&Q_SEASON=2012,OL,6/4/13,275,RFr.,"Etiwanda, Calif. ",Etiwanda,CA,Etiwanda High School,,University of Oregon,2012-2013,,,
70,Matthew McFadden,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205680690&Q_SEASON=2012,OL,6/4/13,303,Fr.,"Novato, Calif. ",Novato,CA,Marin Catholic High School,,University of Oregon,2012-2013,,,
71,Everett Benyard,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204773757&Q_SEASON=2012,OL,6/7/13,305,Jr.,"San Diego, Calif. ",San Diego,CA,Cathedral Catholic High School,,University of Oregon,2012-2013,,,
72,Andre Yruretagoyena,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205238476&Q_SEASON=2012,OL,6/5/13,288,RFr.,"Scottsdale, Ariz. ",Scottsdale,AZ,Chaparral High School,,University of Oregon,2012-2013,,,
74,Kyle Long,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205504199&Q_SEASON=2012,OL,6/7/13,311,Sr.,"Charlottesville, Va. ",Charlottesville,VA,St. Anne's-Belfield School,Saddleback Community College,University of Oregon,2012-2013,,,
75,Jake Fisher,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205238122&Q_SEASON=2012,OL,6/6/13,294,So.,"Traverse City, Mich. ",Traverse City,MICH,Traverse City West,,University of Oregon,2012-2013,,,
77,Carson York,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=1550510&Q_SEASON=2012,OL,6/5/13,293,Sr.,"Coeur d_Alene, Idaho ",Coeur d_Alene,IDAHO,Lake City High School,,University of Oregon,2012-2013,,,
78,Karrington Armstrong,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204773836&Q_SEASON=2012,OL,6/3/13,290,Jr.,"Reno, Nev. ",Reno,NEV,McQueen High School,,University of Oregon,2012-2013,,,
80,Koa Ka'ai,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205238130&Q_SEASON=2012,TE,6/4/13,251,RFr.,"Honolulu, Hawaii ",Honolulu,HAWAII,Kamehameha High School,,University of Oregon,2012-2013,,,
81,Aaron Lee,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205718580&Q_SEASON=2012,WR,6/1/13,195,So.,"Federal Way, Wash. ",Federal Way,WA,Decatur High School,,University of Oregon,2012-2013,,,
82,Christian French,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205238221&Q_SEASON=2012,DE,6/5/13,242,RFr.,"Cedar Rapids, Iowa ",Cedar Rapids,IOWA,John F. Kennedy High School,,University of Oregon,2012-2013,,,
