,unitid,DOE.Institution_Name,ID_School,ID_Conference,Year,Sport,ID_Variable,Variable,Total,M,W,C,C.M,C.W,AA,AA.M,AA.W,H,H.M,H.W,AS.PI,AS.PI.M,AS.PI.W,AI,AI.M,AI.W,UNK,UNK.M,UNK.W,NON,NON.M,NON.W,fname
592,155399,Kansas State University,KAN.ST,BIG12,2004-2005,Baseball,Athletes,Scholarship Awards,24,24,0,20,20,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,2005Size.csv
600,155399,Kansas State University,KAN.ST,BIG12,2004-2005,All other sports combined,Athletes,Scholarship Awards,192,9,183,172,9,163,1,0,1,3,0,3,1,0,1,0,0,0,3,0,3,12,0,12,2005Size.csv
604,155399,Kansas State University,KAN.ST,BIG12,2004-2005,Football,Athletes,Scholarship Awards,84,84,0,35,35,0,40,40,0,1,1,0,0,0,0,2,2,0,6,6,0,0,0,0,2005Size.csv
617,155399,Kansas State University,KAN.ST,BIG12,2004-2005,Cross-country and/or track,Athletes,Scholarship Awards,66,28,38,33,12,21,15,6,9,4,2,2,1,1,0,1,0,1,5,1,4,7,6,1,2005Size.csv
639,157289,University of Louisville,LOUIS,BIGEAST,2004-2005,Baseball,Athletes,Scholarship Awards,32,32,0,27,27,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,2,0,2005Size.csv
651,157289,University of Louisville,LOUIS,BIGEAST,2004-2005,Basketball,Athletes,Scholarship Awards,26,13,13,8,3,5,12,7,5,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,2005Size.csv
654,157289,University of Louisville,LOUIS,BIGEAST,2004-2005,All other sports combined,Athletes,Scholarship Awards,171,47,124,107,22,85,8,2,6,6,1,5,2,0,2,0,0,0,0,0,0,48,22,26,2005Size.csv
660,157289,University of Louisville,LOUIS,BIGEAST,2004-2005,Cross-country and/or track,Athletes,Scholarship Awards,46,23,23,28,16,12,13,4,9,1,0,1,0,0,0,0,0,0,0,0,0,4,3,1,2005Size.csv
664,157289,University of Louisville,LOUIS,BIGEAST,2004-2005,Football,Athletes,Scholarship Awards,88,88,0,26,26,0,58,58,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,2005Size.csv
686,159391,Louisiana State University and Agricultural & Mechanical College,LSU,SEC,2004-2005,All other sports combined,Athletes,Scholarship Awards,142,41,101,100,29,71,7,1,6,5,0,5,1,0,1,0,0,0,6,3,3,23,8,15,2005Size.csv
689,159391,Louisiana State University and Agricultural & Mechanical College,LSU,SEC,2004-2005,Football,Athletes,Scholarship Awards,91,91,0,29,29,0,58,58,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,2005Size.csv
702,159391,Louisiana State University and Agricultural & Mechanical College,LSU,SEC,2004-2005,Cross-country and/or track,Athletes,Scholarship Awards,51,19,32,12,4,8,26,8,18,2,1,1,0,0,0,0,0,0,0,0,0,11,6,5,2005Size.csv
726,159391,Louisiana State University and Agricultural & Mechanical College,LSU,SEC,2004-2005,Baseball,Athletes,Scholarship Awards,42,42,0,38,38,0,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2005Size.csv
728,159391,Louisiana State University and Agricultural & Mechanical College,LSU,SEC,2004-2005,Basketball,Athletes,Scholarship Awards,26,12,14,2,2,0,21,9,12,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,2005Size.csv
535,152080,University of Notre Dame,ND,IND,2004-2005,All other sports combined,Athletes,Scholarship Awards,264,110,154,227,92,135,2,1,1,2,1,1,7,4,3,1,0,1,0,0,0,25,12,13,2005Size.csv
537,152080,University of Notre Dame,ND,IND,2004-2005,Baseball,Athletes,Scholarship Awards,18,18,0,16,16,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2005Size.csv
545,152080,University of Notre Dame,ND,IND,2004-2005,Basketball,Athletes,Scholarship Awards,21,10,11,9,3,6,12,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005Size.csv
558,152080,University of Notre Dame,ND,IND,2004-2005,Cross-country and/or track,Athletes,Scholarship Awards,42,22,20,25,15,10,9,2,7,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,2005Size.csv
576,152080,University of Notre Dame,ND,IND,2004-2005,Football,Athletes,Scholarship Awards,79,79,0,36,36,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2005Size.csv
798,181464,University of Nebraska-Lincoln,NEB,BIG10,2004-2005,Baseball,Athletes,Scholarship Awards,41,41,0,40,40,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2005Size.csv
801,181464,University of Nebraska-Lincoln,NEB,BIG10,2004-2005,All other sports combined,Athletes,Scholarship Awards,183,54,129,130,38,92,2,1,1,2,0,2,6,1,5,4,2,2,4,1,3,35,11,24,2005Size.csv
813,181464,University of Nebraska-Lincoln,NEB,BIG10,2004-2005,Basketball,Athletes,Scholarship Awards,28,15,13,8,3,5,14,10,4,1,1,0,0,0,0,0,0,0,0,0,0,5,1,4,2005Size.csv
817,181464,University of Nebraska-Lincoln,NEB,BIG10,2004-2005,Football,Athletes,Scholarship Awards,91,91,0,51,51,0,34,34,0,0,0,0,1,1,0,0,0,0,3,3,0,2,2,0,2005Size.csv
827,181464,University of Nebraska-Lincoln,NEB,BIG10,2004-2005,Cross-country and/or track,Athletes,Scholarship Awards,71,33,38,44,19,25,10,9,1,1,0,1,1,0,1,0,0,0,0,0,0,15,5,10,2005Size.csv
488,147767,Northwestern University,NWST,BIG12,2004-2005,Basketball,Athletes,Scholarship Awards,29,16,13,12,4,8,7,6,1,0,0,0,0,0,0,0,0,0,3,1,2,7,5,2,2005Size.csv
491,147767,Northwestern University,NWST,BIG12,2004-2005,Baseball,Athletes,Scholarship Awards,32,32,0,25,25,0,1,1,0,3,3,0,1,1,0,0,0,0,2,2,0,0,0,0,2005Size.csv
493,147767,Northwestern University,NWST,BIG12,2004-2005,All other sports combined,Athletes,Scholarship Awards,275,87,188,207,68,139,6,1,5,12,7,5,20,2,18,0,0,0,19,6,13,11,3,8,2005Size.csv
500,147767,Northwestern University,NWST,BIG12,2004-2005,Cross-country and/or track,Athletes,Scholarship Awards,25,0,25,21,0,21,0,0,0,1,0,1,0,0,0,0,0,0,3,0,3,0,0,0,2005Size.csv
520,147767,Northwestern University,NWST,BIG12,2004-2005,Football,Athletes,Scholarship Awards,100,100,0,48,48,0,45,45,0,2,2,0,0,0,0,0,0,0,5,5,0,0,0,0,2005Size.csv
1080,207500,University of Oklahoma Norman Campus,OK,BIG12,2004-2005,Cross-country and/or track,Athletes,Scholarship Awards,66,33,33,32,17,15,25,10,15,0,0,0,0,0,0,1,1,0,0,0,0,8,5,3,2005Size.csv
1083,207500,University of Oklahoma Norman Campus,OK,BIG12,2004-2005,Baseball,Athletes,Scholarship Awards,33,33,0,24,24,0,2,2,0,3,3,0,0,0,0,4,4,0,0,0,0,0,0,0,2005Size.csv
1086,207500,University of Oklahoma Norman Campus,OK,BIG12,2004-2005,All other sports combined,Athletes,Scholarship Awards,157,62,95,104,37,67,11,8,3,9,2,7,5,3,2,6,1,5,0,0,0,22,11,11,2005Size.csv
1101,207500,University of Oklahoma Norman Campus,OK,BIG12,2004-2005,Basketball,Athletes,Scholarship Awards,31,16,15,11,2,9,16,12,4,0,0,0,0,0,0,2,1,1,0,0,0,2,1,1,2005Size.csv
1114,207500,University of Oklahoma Norman Campus,OK,BIG12,2004-2005,Football,Athletes,Scholarship Awards,93,93,0,27,27,0,64,64,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2005Size.csv
1035,207388,Oklahoma State University-Main Campus,OKSTATE,BIG12,2004-2005,Basketball,Athletes,Scholarship Awards,26,12,14,9,2,7,11,7,4,0,0,0,0,0,0,3,2,1,0,0,0,3,1,2,2005Size.csv
1043,207388,Oklahoma State University-Main Campus,OKSTATE,BIG12,2004-2005,All other sports combined,Athletes,Scholarship Awards,132,41,91,97,28,69,4,1,3,3,0,3,0,0,0,6,2,4,0,0,0,22,10,12,2005Size.csv
1045,207388,Oklahoma State University-Main Campus,OKSTATE,BIG12,2004-2005,Baseball,Athletes,Scholarship Awards,28,28,0,17,17,0,0,0,0,5,5,0,0,0,0,3,3,0,0,0,0,3,3,0,2005Size.csv
1061,207388,Oklahoma State University-Main Campus,OKSTATE,BIG12,2004-2005,Football,Athletes,Scholarship Awards,90,90,0,22,22,0,62,62,0,1,1,0,1,1,0,4,4,0,0,0,0,0,0,0,2005Size.csv
1065,207388,Oklahoma State University-Main Campus,OKSTATE,BIG12,2004-2005,Cross-country and/or track,Athletes,Scholarship Awards,37,14,23,16,6,10,9,2,7,0,0,0,0,0,0,3,2,1,0,0,0,9,4,5,2005Size.csv
1174,209551,University of Oregon,ORE,PAC12,2004-2005,Basketball,Athletes,Scholarship Awards,28,13,15,11,6,5,11,7,4,0,0,0,1,0,1,0,0,0,0,0,0,5,0,5,2005Size.csv
1175,209551,University of Oregon,ORE,PAC12,2004-2005,Cross-country and/or track,Athletes,Scholarship Awards,53,26,27,39,18,21,8,6,2,1,1,0,0,0,0,1,0,1,1,0,1,3,1,2,2005Size.csv
1177,209551,University of Oregon,ORE,PAC12,2004-2005,All other sports combined,Athletes,Scholarship Awards,132,39,93,89,29,60,1,0,1,6,2,4,9,1,8,1,0,1,8,1,7,18,6,12,2005Size.csv
1185,209551,University of Oregon,ORE,PAC12,2004-2005,Football,Athletes,Scholarship Awards,80,80,0,26,26,0,41,41,0,3,3,0,7,7,0,0,0,0,1,1,0,2,2,0,2005Size.csv
1122,209542,Oregon State University,ORE.ST,PAC12,2004-2005,Football,Athletes,Scholarship Awards,50,50,0,26,26,0,18,18,0,0,0,0,1,1,0,0,0,0,3,3,0,2,2,0,2005Size.csv
1137,209542,Oregon State University,ORE.ST,PAC12,2004-2005,Basketball,Athletes,Scholarship Awards,18,8,10,6,1,5,8,4,4,1,0,1,0,0,0,0,0,0,0,0,0,3,3,0,2005Size.csv
1146,209542,Oregon State University,ORE.ST,PAC12,2004-2005,Baseball,Athletes,Scholarship Awards,10,10,0,8,8,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2005Size.csv
1150,209542,Oregon State University,ORE.ST,PAC12,2004-2005,All other sports combined,Athletes,Scholarship Awards,99,26,73,68,20,48,3,2,1,4,1,3,4,0,4,0,0,0,4,0,4,16,3,13,2005Size.csv
986,204796,Ohio State University-Main Campus,OSU,BIG10,2004-2005,Basketball,Athletes,Scholarship Awards,28,13,15,8,3,5,18,10,8,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2005Size.csv
992,204796,Ohio State University-Main Campus,OSU,BIG10,2004-2005,Football,Athletes,Scholarship Awards,85,85,0,37,37,0,43,43,0,1,1,0,0,0,0,1,1,0,2,2,0,1,1,0,2005Size.csv
994,204796,Ohio State University-Main Campus,OSU,BIG10,2004-2005,Cross-country and/or track,Athletes,Scholarship Awards,44,23,21,23,15,8,16,5,11,2,1,1,0,0,0,0,0,0,1,1,0,2,1,1,2005Size.csv
999,204796,Ohio State University-Main Campus,OSU,BIG10,2004-2005,Baseball,Athletes,Scholarship Awards,31,31,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005Size.csv
1007,204796,Ohio State University-Main Campus,OSU,BIG10,2004-2005,All other sports combined,Athletes,Scholarship Awards,401,177,224,298,140,158,15,6,9,12,6,6,4,2,2,1,0,1,7,4,3,64,19,45,2005Size.csv
833,186380,Rutgers University-New Brunswick,RUT,BIGEAST,2004-2005,All other sports combined,Athletes,Scholarship Awards,258,110,148,208,89,119,14,5,9,8,4,4,7,0,7,2,1,1,9,5,4,10,6,4,2005Size.csv
859,186380,Rutgers University-New Brunswick,RUT,BIGEAST,2004-2005,Cross-country and/or track,Athletes,Scholarship Awards,55,22,33,26,12,14,23,7,16,2,0,2,2,2,0,0,0,0,1,1,0,1,0,1,2005Size.csv
863,186380,Rutgers University-New Brunswick,RUT,BIGEAST,2004-2005,Baseball,Athletes,Scholarship Awards,31,31,0,29,29,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2005Size.csv
869,186380,Rutgers University-New Brunswick,RUT,BIGEAST,2004-2005,Football,Athletes,Scholarship Awards,95,95,0,26,26,0,59,59,0,3,3,0,2,2,0,0,0,0,3,3,0,2,2,0,2005Size.csv
871,186380,Rutgers University-New Brunswick,RUT,BIGEAST,2004-2005,Basketball,Athletes,Scholarship Awards,25,12,13,2,1,1,22,10,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2005Size.csv
1258,218663,University of South Carolina-Columbia,SCAR,SEC,2004-2005,Baseball,Athletes,Scholarship Awards,39,39,0,31,31,0,3,3,0,1,1,0,0,0,0,0,0,0,4,4,0,0,0,0,2005Size.csv
1260,218663,University of South Carolina-Columbia,SCAR,SEC,2004-2005,Football,Athletes,Scholarship Awards,89,89,0,18,18,0,64,64,0,0,0,0,0,0,0,0,0,0,4,4,0,3,3,0,2005Size.csv
1270,218663,University of South Carolina-Columbia,SCAR,SEC,2004-2005,All other sports combined,Athletes,Scholarship Awards,187,57,130,130,35,95,6,0,6,6,3,3,0,0,0,2,0,2,14,3,11,29,16,13,2005Size.csv
1273,218663,University of South Carolina-Columbia,SCAR,SEC,2004-2005,Cross-country and/or track,Athletes,Scholarship Awards,46,18,28,9,3,6,34,13,21,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,2005Size.csv
1282,218663,University of South Carolina-Columbia,SCAR,SEC,2004-2005,Basketball,Athletes,Scholarship Awards,25,12,13,2,1,1,16,9,7,0,0,0,0,0,0,0,0,0,1,1,0,6,1,5,2005Size.csv
138,122755,San Jose State University,SJ.ST,MWC,2004-2005,Football,Athletes,Scholarship Awards,78,78,0,23,23,0,45,45,0,5,5,0,1,1,0,1,1,0,1,1,0,2,2,0,2005Size.csv
142,122755,San Jose State University,SJ.ST,MWC,2004-2005,All other sports combined,Athletes,Scholarship Awards,165,31,134,108,13,95,6,2,4,24,11,13,12,2,10,3,0,3,7,2,5,5,1,4,2005Size.csv
145,122755,San Jose State University,SJ.ST,MWC,2004-2005,Cross-country and/or track,Athletes,Scholarship Awards,16,5,11,9,2,7,1,0,1,1,0,1,0,0,0,0,0,0,3,1,2,2,2,0,2005Size.csv
146,122755,San Jose State University,SJ.ST,MWC,2004-2005,Baseball,Athletes,Scholarship Awards,33,33,0,20,20,0,1,1,0,10,10,0,0,0,0,0,0,0,2,2,0,0,0,0,2005Size.csv
150,122755,San Jose State University,SJ.ST,MWC,2004-2005,Basketball,Athletes,Scholarship Awards,30,15,15,8,5,3,19,10,9,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,2005Size.csv
1361,228246,Southern Methodist University,SMU,CUSA,2004-2005,Basketball,Athletes,Scholarship Awards,6,2,4,1,0,1,4,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2005Size.csv
1369,228246,Southern Methodist University,SMU,CUSA,2004-2005,Cross-country and/or track,Athletes,Scholarship Awards,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2005Size.csv
1373,228246,Southern Methodist University,SMU,CUSA,2004-2005,Football,Athletes,Scholarship Awards,22,22,0,13,13,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005Size.csv
1382,228246,Southern Methodist University,SMU,CUSA,2004-2005,All other sports combined,Athletes,Scholarship Awards,25,10,15,19,8,11,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,3,0,3,2005Size.csv
1541,243744,Stanford University,STAN,PAC12,2004-2005,Cross-country and/or track,Athletes,Scholarship Awards,40,16,24,27,13,14,10,1,9,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,2005Size.csv
1542,243744,Stanford University,STAN,PAC12,2004-2005,Football,Athletes,Scholarship Awards,83,83,0,34,34,0,37,37,0,5,5,0,2,2,0,0,0,0,2,2,0,3,3,0,2005Size.csv
1566,243744,Stanford University,STAN,PAC12,2004-2005,Basketball,Athletes,Scholarship Awards,27,11,16,14,4,10,11,5,6,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2005Size.csv
1571,243744,Stanford University,STAN,PAC12,2004-2005,All other sports combined,Athletes,Scholarship Awards,255,107,148,189,80,109,13,5,8,2,1,1,33,13,20,2,1,1,4,2,2,12,5,7,2005Size.csv
1572,243744,Stanford University,STAN,PAC12,2004-2005,Baseball,Athletes,Scholarship Awards,16,16,0,15,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005Size.csv
1397,228723,Texas A & M University-College Station,TAM,SEC,2004-2005,Baseball,Athletes,Scholarship Awards,49,49,0,47,47,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2005Size.csv
1420,228723,Texas A & M University-College Station,TAM,SEC,2004-2005,All other sports combined,Athletes,Scholarship Awards,223,47,176,188,34,154,3,0,3,11,2,9,1,0,1,2,0,2,4,1,3,14,10,4,2005Size.csv
1424,228723,Texas A & M University-College Station,TAM,SEC,2004-2005,Football,Athletes,Scholarship Awards,94,94,0,37,37,0,54,54,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,2005Size.csv
1431,228723,Texas A & M University-College Station,TAM,SEC,2004-2005,Cross-country and/or track,Athletes,Scholarship Awards,67,34,33,45,23,22,14,6,8,1,1,0,1,0,1,0,0,0,0,0,0,6,4,2,2005Size.csv
1432,228723,Texas A & M University-College Station,TAM,SEC,2004-2005,Basketball,Athletes,Scholarship Awards,32,16,16,8,4,4,21,9,12,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,2005Size.csv
422,139959,University of Georgia,UGA,SEC,2004-2005,Football,Athletes,Scholarship Awards,90,90,0,24,24,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005Size.csv
425,139959,University of Georgia,UGA,SEC,2004-2005,Baseball,Athletes,Scholarship Awards,40,40,0,38,38,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2005Size.csv
438,139959,University of Georgia,UGA,SEC,2004-2005,Basketball,Athletes,Scholarship Awards,22,9,13,6,3,3,15,5,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2005Size.csv
441,139959,University of Georgia,UGA,SEC,2004-2005,Cross-country and/or track,Athletes,Scholarship Awards,62,26,36,33,13,20,18,8,10,0,0,0,1,0,1,0,0,0,0,0,0,10,5,5,2005Size.csv
443,139959,University of Georgia,UGA,SEC,2004-2005,All other sports combined,Athletes,Scholarship Awards,159,41,118,122,30,92,16,2,14,2,1,1,1,0,1,0,0,0,0,0,0,18,8,10,2005Size.csv
770,170976,University of Michigan-Ann Arbor,UM,BIG10,2004-2005,Football,Athletes,Scholarship Awards,92,92,0,40,40,0,49,49,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,2005Size.csv
772,170976,University of Michigan-Ann Arbor,UM,BIG10,2004-2005,All other sports combined,Athletes,Scholarship Awards,279,110,169,219,78,141,12,9,3,7,3,4,7,3,4,0,0,0,5,4,1,29,13,16,2005Size.csv
774,170976,University of Michigan-Ann Arbor,UM,BIG10,2004-2005,Baseball,Athletes,Scholarship Awards,29,29,0,27,27,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2005Size.csv
778,170976,University of Michigan-Ann Arbor,UM,BIG10,2004-2005,Cross-country and/or track,Athletes,Scholarship Awards,48,17,31,27,6,21,9,5,4,0,0,0,1,0,1,0,0,0,2,1,1,9,5,4,2005Size.csv
780,170976,University of Michigan-Ann Arbor,UM,BIG10,2004-2005,Basketball,Athletes,Scholarship Awards,23,11,12,7,1,6,15,9,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2005Size.csv
916,199120,University of North Carolina at Chapel Hill,UNC,ACC,2004-2005,Baseball,Athletes,Scholarship Awards,28,28,0,26,26,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2005Size.csv
918,199120,University of North Carolina at Chapel Hill,UNC,ACC,2004-2005,Cross-country and/or track,Athletes,Scholarship Awards,43,21,22,29,14,15,13,6,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2005Size.csv
921,199120,University of North Carolina at Chapel Hill,UNC,ACC,2004-2005,All other sports combined,Athletes,Scholarship Awards,261,114,147,229,100,129,11,4,7,10,6,4,4,3,1,0,0,0,6,1,5,1,0,1,2005Size.csv
923,199120,University of North Carolina at Chapel Hill,UNC,ACC,2004-2005,Football,Athletes,Scholarship Awards,88,88,0,25,25,0,62,62,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2005Size.csv
927,199120,University of North Carolina at Chapel Hill,UNC,ACC,2004-2005,Basketball,Athletes,Scholarship Awards,27,13,14,3,1,2,24,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005Size.csv
355,135726,University of Miami,UOFM,ACC,2004-2005,Basketball,Athletes,Scholarship Awards,25,11,14,2,0,2,16,10,6,1,1,0,0,0,0,0,0,0,2,0,2,4,0,4,2005Size.csv
366,135726,University of Miami,UOFM,ACC,2004-2005,Cross-country and/or track,Athletes,Scholarship Awards,30,12,18,11,9,2,14,2,12,3,1,2,0,0,0,0,0,0,1,0,1,1,0,1,2005Size.csv
372,135726,University of Miami,UOFM,ACC,2004-2005,Football,Athletes,Scholarship Awards,72,72,0,18,18,0,49,49,0,3,3,0,0,0,0,0,0,0,1,1,0,1,1,0,2005Size.csv
381,135726,University of Miami,UOFM,ACC,2004-2005,Baseball,Athletes,Scholarship Awards,22,22,0,6,6,0,1,1,0,12,12,0,0,0,0,0,0,0,3,3,0,0,0,0,2005Size.csv
392,135726,University of Miami,UOFM,ACC,2004-2005,All other sports combined,Athletes,Scholarship Awards,100,7,93,57,5,52,6,0,6,7,0,7,3,0,3,0,0,0,6,1,5,21,1,20,2005Size.csv
151,123961,University of Southern California,USC,PAC12,2004-2005,Cross-country and/or track,Athletes,Scholarship Awards,39,16,23,6,4,2,20,8,12,1,0,1,0,0,0,0,0,0,3,1,2,9,3,6,2005Size.csv
154,123961,University of Southern California,USC,PAC12,2004-2005,All other sports combined,Athletes,Scholarship Awards,175,62,113,103,40,63,7,2,5,7,2,5,9,3,6,4,1,3,5,2,3,40,12,28,2005Size.csv
155,123961,University of Southern California,USC,PAC12,2004-2005,Football,Athletes,Scholarship Awards,89,89,0,28,28,0,45,45,0,4,4,0,7,7,0,0,0,0,5,5,0,0,0,0,2005Size.csv
164,123961,University of Southern California,USC,PAC12,2004-2005,Baseball,Athletes,Scholarship Awards,24,24,0,19,19,0,0,0,0,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0,2005Size.csv
165,123961,University of Southern California,USC,PAC12,2004-2005,Basketball,Athletes,Scholarship Awards,30,14,16,5,1,4,22,11,11,0,0,0,2,1,1,0,0,0,1,1,0,0,0,0,2005Size.csv
1440,228778,The University of Texas at Austin,UT,BIG12,2004-2005,Football,Athletes,Scholarship Awards,86,86,0,28,28,0,56,56,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2005Size.csv
1450,228778,The University of Texas at Austin,UT,BIG12,2004-2005,Cross-country and/or track,Athletes,Scholarship Awards,59,38,21,37,28,9,17,6,11,3,3,0,0,0,0,0,0,0,1,1,0,1,0,1,2005Size.csv
1476,228778,The University of Texas at Austin,UT,BIG12,2004-2005,Basketball,Athletes,Scholarship Awards,29,14,15,8,4,4,17,8,9,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2005Size.csv
1478,228778,The University of Texas at Austin,UT,BIG12,2004-2005,Baseball,Athletes,Scholarship Awards,34,34,0,26,26,0,0,0,0,3,3,0,0,0,0,2,2,0,3,3,0,0,0,0,2005Size.csv
1483,228778,The University of Texas at Austin,UT,BIG12,2004-2005,All other sports combined,Athletes,Scholarship Awards,194,59,135,142,43,99,7,0,7,13,5,8,5,1,4,1,0,1,4,2,2,22,8,14,2005Size.csv
1491,230728,Utah State University,UTA.ST,MWC,2004-2005,Basketball,Athletes,Scholarship Awards,27,13,14,16,5,11,7,5,2,0,0,0,0,0,0,0,0,0,2,1,1,2,2,0,2005Size.csv
1502,230728,Utah State University,UTA.ST,MWC,2004-2005,Cross-country and/or track,Athletes,Scholarship Awards,50,25,25,42,19,23,1,1,0,1,1,0,1,1,0,0,0,0,2,1,1,3,2,1,2005Size.csv
1515,230728,Utah State University,UTA.ST,MWC,2004-2005,All other sports combined,Athletes,Scholarship Awards,85,16,69,70,12,58,1,0,1,4,0,4,1,0,1,0,0,0,3,0,3,6,4,2,2005Size.csv
1523,230728,Utah State University,UTA.ST,MWC,2004-2005,Football,Athletes,Scholarship Awards,78,78,0,36,36,0,28,28,0,2,2,0,7,7,0,0,0,0,3,3,0,2,2,0,2005Size.csv
1307,221999,Vanderbilt University,VANDY,SEC,2004-2005,Baseball,Athletes,Scholarship Awards,22,22,0,17,17,0,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2005Size.csv
1308,221999,Vanderbilt University,VANDY,SEC,2004-2005,Basketball,Athletes,Scholarship Awards,25,13,12,8,3,5,13,8,5,0,0,0,0,0,0,0,0,0,1,0,1,3,2,1,2005Size.csv
1319,221999,Vanderbilt University,VANDY,SEC,2004-2005,All other sports combined,Athletes,Scholarship Awards,90,36,54,71,25,46,4,3,1,1,1,0,2,1,1,1,1,0,11,5,6,0,0,0,2005Size.csv
1323,221999,Vanderbilt University,VANDY,SEC,2004-2005,Cross-country and/or track,Athletes,Scholarship Awards,17,0,17,10,0,10,6,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2005Size.csv
1324,221999,Vanderbilt University,VANDY,SEC,2004-2005,Football,Athletes,Scholarship Awards,84,84,0,34,34,0,46,46,0,0,0,0,0,0,0,1,1,0,3,3,0,0,0,0,2005Size.csv
58,100858,Auburn University,AUB,SEC,2005-2006,All other sports combined,Athletes,Scholarship Awards,180,56,124,136,43,93,10,0,10,3,0,3,0,0,0,0,0,0,6,1,5,25,12,13,2006Size.csv
59,100858,Auburn University,AUB,SEC,2005-2006,Baseball,Athletes,Scholarship Awards,32,32,0,28,28,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2006Size.csv
60,100858,Auburn University,AUB,SEC,2005-2006,Basketball,Athletes,Scholarship Awards,27,14,13,2,1,1,21,12,9,0,0,0,0,0,0,0,0,0,1,1,0,3,0,3,2006Size.csv
88,100858,Auburn University,AUB,SEC,2005-2006,Cross-country and/or track,Athletes,Scholarship Awards,51,26,25,19,13,6,15,6,9,0,0,0,0,0,0,0,0,0,2,1,1,15,6,9,2006Size.csv
89,100858,Auburn University,AUB,SEC,2005-2006,Football,Athletes,Scholarship Awards,85,85,0,23,23,0,58,58,0,1,1,0,0,0,0,0,0,0,2,2,0,1,1,0,2006Size.csv
5,100751,The University of Alabama,BAMA,SEC,2005-2006,Cross-country and/or track,Athletes,Scholarship Awards,48,26,22,21,10,11,18,10,8,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3,2006Size.csv
6,100751,The University of Alabama,BAMA,SEC,2005-2006,Football,Athletes,Scholarship Awards,86,86,0,30,30,0,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006Size.csv
7,100751,The University of Alabama,BAMA,SEC,2005-2006,Basketball,Athletes,Scholarship Awards,26,11,15,5,1,4,19,9,10,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2006Size.csv
17,100751,The University of Alabama,BAMA,SEC,2005-2006,Baseball,Athletes,Scholarship Awards,36,36,0,34,34,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2006Size.csv
