,date,player,season,pst_team,notes,new_contract_source,pst_contract_value_millions,contract_term,contract_start_season,contract_end_season,contract_option,year
67723,1/19/10,Jason Frasor,2010,Blue Jays,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67724,1/19/10,Jeremy Accardo,2010,Blue Jays,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67726,1/19/10,Shawn Camp,2010,Blue Jays,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67727,1/19/10,Peter Moylan,2010,Braves,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67728,1/19/10,Carlos Gomez,2010,Brewers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67729,1/19/10,Rickie Weeks,2010,Brewers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67730,1/19/10,Ryan Ludwick,2010,Cardinals,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67731,1/19/10,Angel Guzman,2010,Cubs,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67732,1/19/10,Jeff Baker,2010,Cubs,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67733,1/19/10,Koyie Hill,2010,Cubs,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67734,1/19/10,Mike Fontenot,2010,Cubs,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67735,1/19/10,Tom Gorzelanny,2010,Cubs,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67736,1/19/10,Stephen Drew,2010,Diamondbacks,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67737,1/19/10,Andre Ethier,2010,Dodgers,re-signed to a 2-year contract through 2011,re-signinging,0,2,2010,2011,,2010
67738,1/19/10,George Sherrill,2010,Dodgers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67739,1/19/10,Hong-Chih Kuo,2010,Dodgers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67740,1/19/10,James Loney,2010,Dodgers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67741,1/19/10,Jonathan Broxton,2010,Dodgers,re-signed to a 2-year contract through 2011,re-signinging,0,2,2010,2011,,2010
67742,1/19/10,Russell Martin,2010,Dodgers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67743,1/19/10,Bengie Molina,2010,Giants,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67744,1/19/10,Howie Kendrick,2010,Angels,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67745,1/19/10,Jered Weaver,2010,Angels,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67746,1/19/10,Mike Napoli,2010,Angels,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67747,1/19/10,Reggie Willits,2010,Angels,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67748,1/19/10,Humberto Quintero,2010,Astros,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67749,1/19/10,Matt Lindstrom,2010,Astros,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67750,1/19/10,Michael Bourn,2010,Astros,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67757,1/20/10,Doug Davis,2010,Brewers,signed free agent to a 1-year contract with an option for 2011,free agency,0,1,2010,2011,,2010
67762,1/20/10,Brandon League,2010,Mariners,re-signed,re-signinging,0,1,2010,2011,,2010
67793,1/21/10,Joel Pineiro,2010,Angels,signed free agent to a 2-year contract through 2011,free agency,0,2,2010,2011,,2010
67794,1/21/10,Todd Coffey,2010,Brewers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67796,1/21/10,Vicente Padilla,2010,Dodgers,re-signed free agent to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67802,1/21/10,Shane Victorino,2010,Phillies,re-signed to a 3-year contract extension through 2012,re-signinging,0,3,2010,2012,,2010
67803,1/21/10,Octavio Dotel,2010,Pirates,signed free agent to a 1-year contract with a team option for 2011,free agency,0,1,2010,2011,,2010
67804,1/21/10,Alexander Smit,2010,Reds,re-signed free agent,re-signinging,0,1,2010,2011,,2010
67805,1/21/10,Brandon Yarbrough,2010,Reds,signed free agent,free agency,0,1,2010,2011,,2010
67806,1/21/10,Mike Leake,2010,Reds,re-signed,re-signinging,0,1,2010,2011,,2010
67808,1/21/10,Rick Ankiel,2010,Royals,signed free agent to a 1-year contract with an option for 2011,free agency,0,1,2010,2011,,2010
67823,1/23/10,Hunter Pence,2010,Astros,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67824,1/23/10,Miguel Tejada,2010,Orioles,signed free agent to a 1-year contract,free agency,0,1,2010,2011,,2010
67826,1/23/10,Jose Contreras,2010,Phillies,signed free agent to a 1-year contract,free agency,0,1,2010,2011,,2010
67827,1/23/10,Jason Giambi,2010,Rockies,re-signed free agent to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67828,1/24/10,Tim Byrdak,2010,Astros,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67829,1/24/10,Carlos Ruiz,2010,Phillies,re-signed to a 3-year contract extension through 2012,re-signinging,0,3,2010,2012,,2010
67830,1/25/10,Maicer Izturis,2010,Angels,re-signed to a 3-year contract through 2012,re-signinging,0,3,2010,2012,,2010
67831,1/25/10,Dave Bush,2010,Brewers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67839,1/25/10,Tyler Walker,2010,Nationals,signed free agent (from Phillies) to a 1-year contract,free agency,0,1,2010,2011,,2010
67842,1/26/10,Brad Ausmus,2010,Dodgers,re-signed free agent to a 1-year contract with an option for 2011,re-signinging,0,1,2010,2011,,2010
67843,1/26/10,Ronnie Belliard,2010,Dodgers,re-signed free agent to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67844,1/26/10,Jon Garland,2010,Padres,signed free agent to a 1-year contract with a mutual option for 2011,free agency,0,1,2010,2011,,2010
67845,1/26/10,Frank Francisco,2010,Rangers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67847,1/26/10,Jeremy Hermida,2010,Red Sox,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67849,1/26/10,Blake Wood,2010,Royals,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67850,1/26/10,Dusty Hughes,2010,Royals,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67851,1/26/10,Edgar Osuna,2010,Royals,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67852,1/26/10,Manuel Pina,2010,Royals,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67853,1/26/10,Jim Thome,2010,Twins,signed free agent to a 1-year contract,free agency,0,1,2010,2011,,2010
67857,1/26/10,Ben Sheets,2010,Athletics,signed free agent to a 1-year contract,free agency,0,1,2010,2011,,2010
67858,1/26/10,Carlos Villanueva,2010,Brewers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67859,1/26/10,Pete Parise,2010,Cardinals,signed free agent,free agency,0,1,2010,2011,,2010
67861,1/27/10,Randy Winn,2010,Yankees,signed free agent to a 1-year contract,free agency,0,1,2010,2011,,2010
67866,1/27/10,Sean Marshall,2010,Cubs,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67868,1/27/10,Audy Ciriaco,2010,Tigers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67869,1/27/10,Austin Jackson,2010,Tigers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67870,1/27/10,Casper Wells,2010,Tigers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67871,1/27/10,Jay Sborz,2010,Tigers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67872,1/27/10,Phil Coke,2010,Tigers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67873,1/27/10,Ryan Strieby,2010,Tigers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67874,1/27/10,Scott Sizemore,2010,Tigers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67877,1/28/10,Xavier Nady,2010,Cubs,signed free agent to a 1-year contract,free agency,0,1,2010,2011,,2010
67878,1/28/10,Mark Hendrickson,2010,Orioles,re-signed free agent to a 1-year contract with an option for 2011,re-signinging,0,1,2010,2011,,2010
67888,1/29/10,Scott Feldman,2010,Rangers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67893,1/29/10,Joe Saunders,2010,Angels,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67894,1/29/10,Michael Wuertz,2010,Athletics,re-signed to a 2-year contract with an option for 2012,re-signinging,0,2,2010,2012,,2010
67895,1/29/10,Eric Byrnes,2010,Mariners,signed free agent to a 1-year contract,free agency,0,1,2010,2011,,2010
67899,1/29/10,Fernando Tatis,2010,Mets,re-signed free agent to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67901,1/30/10,Brian Wilson,2010,Giants,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67919,2/1/10,Gabe Gross,2010,Athletics,signed free agent to a 1-year contract,free agency,0,1,2010,2011,,2010
67921,2/1/10,Barry Enright,2010,Diamondbacks,re-signed,re-signinging,0,1,2010,2011,,2010
67922,2/1/10,Reed Johnson,2010,Dodgers,signed free agent to a 1-year contract,free agency,0,1,2010,2011,,2010
67924,2/1/10,Ryan Garko,2010,Mariners,signed free agent to a 1-year contract,free agency,0,1,2010,2011,,2010
67928,2/1/10,Orlando Cabrera,2010,Reds,signed free agent to a 1-year contract with an option for 2011,free agency,0,1,2010,2011,,2010
67929,2/1/10,Melvin Mora,2010,Rockies,signed free agent to a 1-year contract,free agency,0,1,2010,2011,,2010
67935,2/2/10,Alberto Arias,2010,Astros,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67936,2/2/10,Brian Bogusevic,2010,Astros,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67938,2/2/10,Polin Trinidad,2010,Astros,"re-signed to a 1-year, $400K contract",re-signinging,0,1,2010,2011,,2010
67939,2/2/10,Samuel Gervacio,2010,Astros,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67940,2/2/10,Yordany Ramirez,2010,Astros,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67944,2/2/10,Scott Hairston,2010,Padres,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67947,2/3/10,Gary Patchett,2010,Angels,signed free agent,free agency,0,1,2010,2011,,2010
67948,2/3/10,Kevin Gregg,2010,Blue Jays,signed free agent to a 1-year contract with an option for 2011,free agency,0,1,2010,2011,,2010
67951,2/3/10,Casey Kotchman,2010,Mariners,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67971,2/4/10,Carlos Marmol,2010,Cubs,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
67972,2/4/10,Carlos Muniz,2010,Mets,re-signed free agent and invited to spring training,re-signinging,0,1,2010,2011,,2010
67978,2/4/10,Justin Verlander,2010,Tigers,re-signed to a 5-year contract extension through 2019 with a 1-year option for 2020,re-signinging,0,5,2010,2019,1-year option for 2020,2010
67979,2/4/10,Orlando Hudson,2010,Twins,signed free agent to a 1-year contract,free agency,0,1,2010,2011,,2010
67986,2/5/10,Adam Kennedy,2010,Nationals,signed free agent to a 1-year contract,free agency,0,1,2010,2011,,2010
67988,2/5/10,Yorvit Torrealba,2010,Padres,signed free agent to a 1-year contract with an option for 2011,free agency,0,1,2010,2011,,2010
67989,2/5/10,Hector Gimenez,2010,Pirates,re-signed free agent,re-signinging,0,1,2010,2011,,2010
67998,2/6/10,Erik Bedard,2010,Mariners,re-signed free agent to a 1-year contract with an option for 2011,re-signinging,0,1,2010,2011,,2010
67999,2/6/10,Andrew Brown,2010,Nationals,signed free agent,free agency,0,1,2010,2011,,2010
68010,2/8/10,Jared Schumaker,2010,Cardinals,re-signed to a 2-year contract through 2011,re-signinging,0,2,2010,2011,,2010
68011,2/8/10,Gabriel Gutierrez,2010,Dodgers,signed free agent,free agency,0,1,2010,2011,,2010
68019,2/8/10,Jeff Bianchi,2010,Royals,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68020,2/8/10,Victor Marte,2010,Royals,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68035,2/9/10,Angel Pagan,2010,Mets,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68043,2/10/10,Jeff Fulchino,2010,Astros,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68044,2/10/10,Yorman Bazardo,2010,Astros,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68051,2/10/10,Evan Englebrook,2010,Astros,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68056,2/11/10,Elijah Dukes,2010,Nationals,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68073,2/12/10,Corey Hart,2010,Brewers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68074,2/12/10,Tim Lincecum,2010,Giants,re-signed to a 2-year contract through 2011,re-signinging,0,2,2010,2011,,2010
68076,2/12/10,Jeremy Guthrie,2010,Orioles,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68077,2/12/10,Juan Rincon,2010,Rockies,re-signed free agent,re-signinging,0,1,2010,2011,,2010
68078,2/13/10,B.J. Upton,2010,Rays,re-signed (player lost salary arbitration),re-signinging,0,1,2010,2011,,2010
68079,2/14/10,Edwin Jackson,2010,Diamondbacks,re-signed to a 2-year contract through 2011 (player lost salary arbitration),re-signinging,0,2,2010,2011,,2010
68092,2/16/10,Chien-Ming Wang,2010,Nationals,signed free agent to a 1-year contract,free agency,0,1,2010,2011,,2010
68093,2/16/10,Alex Avila,2010,Tigers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68094,2/16/10,Brennan Boesch,2010,Tigers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68095,2/16/10,Brent Dlugach,2010,Tigers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68096,2/16/10,Eddie Bonine,2010,Tigers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68097,2/16/10,Wilkin Ramirez,2010,Tigers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68100,2/17/10,Brian Bruney,2010,Nationals,re-signed (player lost salary arbitration),re-signinging,0,1,2010,2011,,2010
68102,2/18/10,Erick Aybar,2010,Angels,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68103,2/18/10,Wandy Rodriguez,2010,Astros,re-signed to a 1-year contract (player lost salary arbitration),re-signinging,0,1,2010,2011,,2010
68118,2/19/10,Jose Vallejo,2010,Astros,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68119,2/19/10,Matt Nevarez,2010,Astros,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68120,2/19/10,Jose Molina,2010,Blue Jays,signed free agent to a 1-year contract with an option for 2011,free agency,0,1,2010,2011,,2010
68121,2/19/10,Sean Burnett,2010,Nationals,re-signed to a 1-year contract (player lost salary arbitration),re-signinging,0,1,2010,2011,,2010
68124,2/19/10,Jeff Mathis,2010,Angels,re-signed to a 1-year contract (player won salary arbitration),re-signinging,0,1,2010,2011,,2010
68125,2/19/10,Henry Villar,2010,Astros,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68128,2/20/10,Ryan Theriot,2010,Cubs,re-signed (player lost salary arbitration),re-signinging,0,1,2010,2011,,2010
68130,2/20/10,Rod Barajas,2010,Mets,signed free agent to a 1-year contract,free agency,0,1,2010,2011,,2010
68132,2/20/10,Johnny Damon,2010,Tigers,signed free agent to a 1-year contract,free agency,0,1,2010,2011,,2010
68134,2/22/10,Jonny Gomes,2010,Reds,re-signed free agent to a 1-year contract with a 1-year option for 2011,re-signinging,0,1,2010,2011,,2010
68135,2/22/10,Chan Ho Park,2010,Yankees,signed free agent to a 1-year contract,free agency,0,1,2010,2011,,2010
68138,2/23/10,Felipe Paulino,2010,Astros,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68139,2/23/10,Edward Salcedo,2010,Braves,signed non-drafted free agent,free agency,0,1,2010,2011,,2010
68147,2/24/10,Fernando Abad,2010,Astros,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68148,2/24/10,Wilton Lopez,2010,Astros,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68152,2/24/10,Clint Sammons,2010,Braves,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68153,2/24/10,Gregor Blanco,2010,Braves,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68154,2/24/10,James Parr,2010,Braves,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68155,2/24/10,Jeff Lyman,2010,Braves,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68156,2/24/10,Jesse Chavez,2010,Braves,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68157,2/24/10,Jo-Jo Reyes,2010,Braves,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68158,2/24/10,Jonny Venters,2010,Braves,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68159,2/24/10,Kyle Cofield,2010,Braves,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68160,2/24/10,Manny Acosta,2010,Braves,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68161,2/24/10,Todd Redmond,2010,Braves,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68162,2/24/10,Alex Periard,2010,Brewers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68163,2/24/10,John Axford,2010,Brewers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68164,2/24/10,Josh Butler,2010,Brewers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68165,2/24/10,Lorenzo Cain,2010,Brewers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68172,2/25/10,Josh Fields,2010,Royals,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68173,2/25/10,Kila Ka'aihue,2010,Royals,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68176,2/26/10,Shawn Kelley,2010,Mariners,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68177,2/26/10,Brett Hayes,2010,Marlins,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68178,2/26/10,Brett Sinkbeil,2010,Marlins,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68179,2/26/10,Gaby Sanchez,2010,Marlins,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68180,2/26/10,Jay Buente,2010,Marlins,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68181,2/26/10,Jorge Jimenez,2010,Marlins,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68182,2/26/10,Jose Ceda,2010,Marlins,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68183,2/26/10,Anthony Lerew,2010,Royals,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68184,2/26/10,Mike Aviles,2010,Royals,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68185,2/26/10,Mitch Maier,2010,Royals,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68186,2/26/10,Tommy Manzella,2010,Astros,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68187,2/26/10,Felipe Lopez,2010,Cardinals,signed free agent to a 1-year contract,free agency,0,1,2010,2011,,2010
68188,2/26/10,Adam Moore,2010,Mariners,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68189,2/26/10,Anthony Varvaro,2010,Mariners,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68190,2/26/10,Dan Cortes,2010,Mariners,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68191,2/26/10,Doug Fister,2010,Mariners,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68192,2/26/10,Edward Paredes,2010,Mariners,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68193,2/26/10,Enrique Orta,2010,Mariners,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68194,2/26/10,Ezequiel Carrera,2010,Mariners,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68195,2/26/10,Garrett Olson,2010,Mariners,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68196,2/26/10,Greg Halman,2010,Mariners,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68197,2/26/10,Jack Hannahan,2010,Mariners,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68198,2/26/10,Jason Vargas,2010,Mariners,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68199,2/26/10,Kanekoa Texeira,2010,Mariners,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68200,2/26/10,Michael Saunders,2010,Mariners,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68201,2/26/10,Mike Carp,2010,Mariners,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68202,2/26/10,Rob Johnson,2010,Mariners,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68203,2/26/10,Ryan Feierabend,2010,Mariners,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68204,2/26/10,Ryan Rowland-Smith,2010,Mariners,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68205,2/27/10,Brian Sanches,2010,Marlins,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68206,2/27/10,Bryan Harvey,2010,Marlins,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68207,2/27/10,Burke Badenhop,2010,Marlins,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68208,2/27/10,Chris Volstad,2010,Marlins,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68209,2/27/10,Cristhian Martinez,2010,Marlins,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68210,2/27/10,Dan Meyer,2010,Marlins,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68211,2/27/10,Emilio Bonifacio,2010,Marlins,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68212,2/27/10,Hayden Penn,2010,Marlins,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68213,2/27/10,Hunter Jones,2010,Marlins,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68214,2/27/10,Rick VandenHurk,2010,Marlins,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68215,2/27/10,Scott Cousins,2010,Marlins,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68216,2/27/10,Sean West,2010,Marlins,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68220,2/28/10,Brayan Pena,2010,Royals,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68221,2/28/10,Chris Getz,2010,Royals,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68235,3/2/10,Steve Pearce,2010,Pirates,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68236,3/2/10,Carlos Rosa,2010,Royals,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68237,3/2/10,Luke Hochevar,2010,Royals,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68238,3/2/10,Alfredo Figaro,2010,Tigers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68239,3/2/10,Armando Galarraga,2010,Tigers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68240,3/2/10,Clete Thomas,2010,Tigers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68241,3/2/10,Daniel Schlereth,2010,Tigers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68242,3/2/10,Don Kelly,2010,Tigers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68243,3/2/10,Fu-Te Ni,2010,Tigers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68244,3/2/10,Ryan Perry,2010,Tigers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68245,3/2/10,Ryan Raburn,2010,Tigers,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68250,3/2/10,Argenis Diaz,2010,Pirates,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68251,3/2/10,Avery Morris,2010,Pirates,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68252,3/2/10,Brad Lincoln,2010,Pirates,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68253,3/2/10,Brandon Jones,2010,Pirates,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68254,3/2/10,Brandon Moss,2010,Pirates,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68255,3/2/10,Charlie Morton,2010,Pirates,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68256,3/2/10,Chris Jakubauskas,2010,Pirates,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68257,3/2/10,Daniel McCutchen,2010,Pirates,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68258,3/2/10,Delwyn Young,2010,Pirates,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68259,3/2/10,Donnie Veal,2010,Pirates,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68260,3/2/10,Evan Meek,2010,Pirates,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68261,3/2/10,Garrett Jones,2010,Pirates,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68262,3/2/10,Gorkys Hernandez,2010,Pirates,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68263,3/2/10,Jason Jaramillo,2010,Pirates,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68264,3/2/10,Jeff Clement,2010,Pirates,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68265,3/2/10,Joel Hanrahan,2010,Pirates,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68266,3/2/10,John Raynor,2010,Pirates,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68267,3/2/10,Jose Ascanio,2010,Pirates,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68268,3/2/10,Jose Tabata,2010,Pirates,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68269,3/2/10,Kevin Hart,2010,Pirates,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68270,3/2/10,Lastings Milledge,2010,Pirates,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68271,3/2/10,Neil Walker,2010,Pirates,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68272,3/2/10,Ramon Aguero,2010,Pirates,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68273,3/2/10,Ronald Uviedo,2010,Pirates,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68274,3/2/10,Ross Ohlendorf,2010,Pirates,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
68275,3/2/10,Edwin Maysonet,2010,Astros,re-signed to a 1-year contract,re-signinging,0,1,2010,2011,,2010
